Time,Frame,nose_dist,body_dist,freezing,darting,Left,Right
0.07,1,0.0,0.0,0,0,0,0
0.13,2,0.0,0.0,0,0,0,0
0.2,3,0.0,0.0,0,0,0,0
0.27,4,0.0,0.0,0,0,0,0
0.33,5,0.0,0.0,0,0,0,0
0.4,6,0.0,0.0,0,0,0,0
0.47,7,0.0,0.0,0,0,0,0
0.53,8,0.0,0.0,0,0,0,0
0.6,9,0.0,0.0,0,0,0,0
0.67,10,0.0,0.0,0,0,0,0
0.73,11,0.0,0.0,0,0,0,0
0.8,12,0.0,0.0,0,0,0,0
0.87,13,0.0,0.0,0,0,0,0
0.93,14,0.0,0.0,0,0,0,0
1.0,15,0.0,0.0,0,0,0,0
1.07,16,0.0,0.0,0,0,0,0
1.13,17,0.0,0.0,0,0,0,0
1.2,18,0.0,0.0,0,0,0,0
1.27,19,0.0,0.0,0,0,0,0
1.33,20,0.0,0.0,0,0,0,0
1.4,21,0.0,0.0,0,0,0,0
1.47,22,0.0,0.0,0,0,0,0
1.53,23,0.0,0.0,0,0,0,0
1.6,24,0.0,0.0,0,0,0,0
1.67,25,0.0,0.0,0,0,0,0
1.73,26,0.0,0.0,0,0,0,0
1.8,27,0.0,0.0,0,0,0,0
1.87,28,0.0,0.0,0,0,0,0
1.93,29,0.0,0.0,0,0,0,0
2.0,30,0.0,0.0,0,0,0,0
2.07,31,0.0,0.0,0,0,0,0
2.13,32,0.0071554869472868,0.0047669883839341,0,0,0,0
2.2,33,0.0056765977312547,0.0048272733119019,0,0,0,0
2.27,34,0.0028796985034189,0.0020005167715652,0,0,0,0
2.33,35,0.0037933351382519,0.0004474709628207,0,0,0,0
2.4,36,0.0037680118728226,0.0004310565624631,0,0,0,0
2.47,37,0.0013173190892569,0.0005535651959434,0,0,0,0
2.53,38,0.0033822684741894,0.0012087634839777,0,0,0,0
2.6,39,0.0034866553961185,0.0015016059680364,0,0,0,0
2.67,40,0.0034559872340317,0.0011339911815235,0,0,0,0
2.73,41,0.0060237057114039,0.0013047356477344,0,0,0,0
2.8,42,0.0095565769589079,0.0023881531918059,0,0,0,0
2.87,43,0.006983848505336,0.0034580244473955,0,0,0,0
2.93,44,0.0043239648667095,0.002914159988259,0,0,0,0
3.0,45,0.0033590688198466,0.002473702972196,0,0,0,0
3.07,46,0.0023657943878857,0.0017857772527086,0,0,0,0
3.13,47,0.0011419111791993,0.0001958871503991,0,0,0,0
3.2,48,0.0015423659855657,0.0006683805690042,0,0,0,0
3.27,49,0.000519031577101,0.0001562592365832,0,0,0,0
3.33,50,0.0025512596857322,0.0010970698180459,0,0,0,0
3.4,51,0.0071228213193946,0.0036602726136921,0,0,0,0
3.47,52,0.018953403991351,0.0060477945380911,0,0,0,0
3.53,53,0.019386445861806,0.0059706314506855,0,0,0,0
3.6,54,0.0191005969810127,0.0012781700715047,0,0,0,0
3.67,55,0.0201114503533693,0.0026292989343413,0,0,0,0
3.73,56,0.0235087285235651,0.0115557953680996,0,0,0,0
3.8,57,0.0211616049451275,0.0172540335971454,0,0,0,0
3.87,58,0.0194239281321551,0.018105766943194,0,0,0,0
3.93,59,0.016244600966012,0.0181210891403205,0,0,0,0
4.0,60,0.0130363022318134,0.0131729749756734,0,0,0,0
4.07,61,0.0101094723894054,0.0086603782716753,0,0,0,0
4.13,62,0.0170881983584617,0.0087295987592528,0,0,0,0
4.2,63,0.0133503008712714,0.0063741561271585,0,0,0,0
4.27,64,0.0132541105463261,0.0077155748531844,0,0,0,0
4.33,65,0.0124962572524143,0.0084853609973723,0,0,0,0
4.4,66,0.0029881511252681,0.0043946954468487,0,0,0,0
4.47,67,0.0027362545868081,0.0001620000135515,0,0,0,0
4.53,68,0.0041474839770102,0.0023396466474362,0,0,0,0
4.6,69,0.0001805218144068,0.0013570675325492,0,0,0,0
4.67,70,0.0040275088336767,0.0003556070883835,0,0,0,0
4.73,71,0.0059030674231274,0.0020586449068366,0,0,0,0
4.8,72,0.0068175919515951,0.0044144598997407,0,0,0,0
4.87,73,0.0077977963629671,0.0066628641197134,0,0,0,0
4.93,74,0.0066066136068645,0.0059224045084804,0,0,0,0
5.0,75,0.0022605534021174,0.0040324376418325,0,0,0,0
