obj_1_x,obj_1_y,obj_2_x,obj_2_y,nose_x,nose_y,L_ear_x,L_ear_y,R_ear_x,R_ear_y,head_x,head_y,neck_x,neck_y,body_x,body_y,tail_1_x,tail_1_y,tail_2_x,tail_2_y,tail_3_x,tail_3_y
219.38983154296875,148.94036865234375,501.6061248779297,151.7772216796875,470.3904473188109,362.42062344018893,478.7695145884908,409.0282287597657,506.0075879453562,388.12677001953125,485.3035718382579,385.26251481750694,495.4555159577796,403.52899169921875,528.2497521505211,421.571628680267,568.0006160255114,420.1357752705143,609.9605896428482,406.2915194964131,634.7878168039605,427.78339531470107
219.38983154296875,148.94036865234375,501.6061248779297,151.7772216796875,470.1558270347891,362.9240280328996,478.5299986827747,409.04916824272436,505.7067948565261,388.12677001953125,485.1476159891626,385.5200596484648,495.2436460977723,403.52899169921875,528.1762509342384,421.42023808274115,567.9564180492379,420.01911096089316,610.0610539964874,406.21719019837406,634.7440185546875,427.73577880859375
219.38983154296875,148.94036865234375,501.6061248779297,151.7772216796875,469.7292617768291,363.3997808827825,478.5299986827747,409.1500568188818,505.26476514916124,388.14233246261284,485.0528797942118,385.92090504381474,495.2268701395532,403.5952272848628,528.1762509342385,421.30819816168054,567.9171724682197,419.9996337890625,610.0892136406409,406.13838787647325,634.8097717807581,427.73577880859375
219.38983154296875,148.94036865234375,501.6061248779297,151.7772216796875,469.02323591849256,365.6360313959067,478.879005134204,409.65510564419185,504.2654734635278,388.2369808053196,484.7227077144722,386.9430190776736,495.2564977803687,403.93186124943315,528.3573538776939,421.17345479556514,567.9653170311233,420.00704689408667,610.113967962427,405.78483743692516,635.0803428586253,427.77849555692825
219.38983154296875,148.94036865234375,501.6061248779297,151.7772216796875,468.26465137869906,374.41121815595363,479.9857052949666,412.86964105643176,502.05923661643067,388.82773914769484,484.2449450155486,391.8030629472595,495.42940591632293,405.12028513835173,529.611979874853,421.1429138183594,568.4678437627774,420.03677634810083,610.5537236970899,405.34451860503833,635.3288650223013,428.1350325212453
219.38983154296875,148.94036865234375,501.6061248779297,151.7772216796875,467.9298582924122,383.7847165679565,482.4716899286767,420.5032126668455,499.2336088014268,391.92355645169204,483.7045819717644,398.9476159452837,496.18449035024895,409.6740179808846,532.4848700542383,421.45360923584855,569.993946813793,420.044189453125,612.5169458292104,404.793593363648,636.0057507129219,428.98712367840386
219.38983154296875,148.94036865234375,501.6061248779297,151.7772216796875,467.1242513200509,390.9914345122411,484.355107299975,426.51009835535444,498.0521039271941,397.4867973981851,483.58843994140625,405.19224130299426,496.75400376817015,415.03834365631764,534.326206037105,422.71749221548225,571.7339681075634,420.03558822030925,614.1106262387316,404.24122162971173,636.358560850886,429.4392225110007
219.38983154296875,148.94036865234375,501.6061248779297,151.7772216796875,466.5325603094121,394.44487082448615,485.86489672612646,428.41433836786837,497.06791150759375,398.7921535140928,483.61131901759734,407.4117491365396,497.40194770544036,416.32646725423854,534.9107099753244,423.0998641248412,572.4108432635578,419.928597803436,614.9420642825487,403.8608883020348,636.4330051612266,429.4835538945391
219.38983154296875,148.94036865234375,501.6061248779297,151.7772216796875,466.4286499023438,398.22577647872606,489.6095649055101,430.13504038102667,496.2856376238045,399.053174477867,483.7030730722464,409.7087861253034,499.10137199745435,416.84375900701883,535.4492782498886,423.0998641248412,572.8702286872137,419.6292588004736,615.6102797263635,403.0546427312604,636.4405909002033,429.3944673456953
219.38983154296875,148.94036865234375,501.6061248779297,151.7772216796875,465.82844734631476,400.32286920683805,491.3856970668291,431.29124518760193,495.7618996162542,399.9289420038567,483.7259521484375,411.1447136534633,499.6618002818945,417.6144140493983,535.7737580092129,423.0281876329714,572.9732576074092,419.5567626953126,616.7740432123052,402.8227120568614,636.4441747247968,429.3722534179688
219.38983154296875,148.94036865234375,501.6061248779297,151.7772216796875,463.4197346558989,400.9929147382398,491.6151428222656,432.25288844747746,495.5779453164,400.5889840606718,483.7230122937738,412.11502131691975,499.7006530761719,418.3320488380932,535.9070295108834,423.0281876329714,572.9732576074091,419.556772850251,617.117138340371,402.8227120568614,636.449739631034,429.3722534179688
219.38983154296875,148.94036865234375,501.6061248779297,151.7772216796875,462.34614741807286,401.2402303926875,490.9657802094941,432.80462733089917,495.50858969703677,400.83976542273945,483.3155351510286,412.4408947955069,499.37530408258704,418.68576484839883,535.9283447265625,423.1793925248368,572.9094572142114,419.60711098537246,617.1357421875001,403.0511748198005,636.4799381850324,429.4229011731853
219.38983154296875,148.94036865234375,501.6061248779297,151.7772216796875,460.34418680195006,401.281982421875,488.1837638023874,434.36817970672735,495.2812843042858,401.64680308124764,481.5373454422314,413.1747976513582,497.8463518738286,419.9666500749266,535.6971878640074,423.5174390675968,572.6398385733075,419.8088334495329,617.1357421875001,403.8466759709437,636.5305882972148,429.66713585008733
219.38983154296875,148.94036865234375,501.6061248779297,151.7772216796875,459.29204765101184,401.2402303926875,486.74194572726486,435.54924677139286,495.0392822525536,402.98456632428577,480.38614324577867,414.21155457306804,496.62197197327185,421.9885312235449,534.7701583273989,423.66277921228436,572.459430242556,419.859130859375,616.9464947556775,404.12639149809763,636.5420532226562,429.8826802618837
219.38983154296875,148.94036865234375,501.6061248779297,151.7772216796875,458.80569485997995,400.8195090103045,486.21431864470776,435.7979505831237,494.98995971679693,403.4458183751252,480.1356869228147,414.4386291503906,496.3864586421478,422.4412231445313,534.4963405686705,423.90809999981076,572.2992913554306,419.859130859375,616.1471725673503,404.12639149809763,636.5273488718685,429.9237976074219
219.38983154296875,148.94036865234375,501.6061248779297,151.7772216796875,458.2737902551032,399.65203451789324,485.99632887652297,435.8081359863281,494.9845471346354,403.48828125,479.8009597078267,414.33334274917064,496.3288435613043,422.3066752883426,534.3252536696109,423.96896362304693,572.1006219797417,419.85039253489106,615.7780679086795,403.9690226686577,636.4473071700362,429.9237976074219
219.38983154296875,148.94036865234375,501.6061248779297,151.7772216796875,457.6030353012917,398.71338781290586,485.8882241929148,435.4891998363361,494.9487658160696,403.13055323536094,479.35149894508726,413.6382804768444,496.2595317570646,421.72135293294957,534.2825724635608,423.85974218320104,572.0568237304688,419.74406584188233,615.562606588897,403.62010217450785,636.3347847401169,429.92330509291
