Time,Frame,nose_dist,body_dist,freezing,Left,Right
0.04,1,0.0,0.0,0,0.01,0.01
0.08,2,0.0,0.0,0,0.01,0.01
0.12,3,0.0,0.0,0,0.01,0.01
0.16,4,0.0,0.0,0,0.01,0.01
0.2,5,0.0,0.0,0,0.01,0.01
0.24,6,0.0,0.0,0,0.0,0.0
0.28,7,0.0,0.0,0,0.0,0.0
0.32,8,0.0,0.0,0,0.0,0.0
0.36,9,0.0,0.0,0,0.0,0.0
0.4,10,0.0,0.0,0,0.0,0.0
0.44,11,0.0,0.0,0,0.0,0.0
0.48,12,0.0,0.0,0,0.0,0.0
0.52,13,0.0,0.0,0,0.0,0.01
0.56,14,0.0,0.0,0,0.0,0.01
0.6,15,0.0,0.0,0,0.0,0.02
0.64,16,0.0,0.0,0,0.0,0.1
0.68,17,0.0,0.0,0,0.0,0.48
0.72,18,0.0,0.0,0,0.0,0.86
0.76,19,0.0,0.0,0,0.0,0.93
0.8,20,0.0,0.0,0,0.0,0.95
0.84,21,0.0,0.0,0,0.0,0.96
0.88,22,0.0,0.0,0,0.0,0.96
0.92,23,0.0,0.0,0,0.0,0.96
0.96,24,0.0,0.0,0,0.0,0.96
1.0,25,0.0,0.0,0,0.0,0.96
1.04,26,0.0,0.0,0,0.0,0.96
1.08,27,0.0,0.0,0,0.0,0.96
1.12,28,0.0,0.0,0,0.0,0.96
1.16,29,0.0,0.0,0,0.0,0.96
1.2,30,0.0,0.0,0,0.0,0.96
1.24,31,0.0,0.0,0,0.0,0.96
1.28,32,0.0,0.0,0,0.0,0.97
1.32,33,0.0,0.0,0,0.0,0.97
1.36,34,0.0,0.0,0,0.0,0.97
1.4,35,0.0,0.0,0,0.0,0.97
1.44,36,0.0,0.0,0,0.0,0.97
1.48,37,0.0,0.0,0,0.0,0.97
1.52,38,0.0,0.0,0,0.0,0.97
1.56,39,0.0,0.0,0,0.0,0.97
1.6,40,0.0,0.0,0,0.0,0.97
1.64,41,0.0,0.0,0,0.0,0.97
1.68,42,0.0,0.0,0,0.0,0.97
1.72,43,0.0,0.0,0,0.0,0.97
1.76,44,0.0,0.0,0,0.0,0.97
1.8,45,0.0,0.0,0,0.0,0.97
1.84,46,0.0,0.0,0,0.0,0.97
1.88,47,0.0,0.0,0,0.0,0.96
1.92,48,0.0,0.0,0,0.0,0.96
1.96,49,0.0,0.0,0,0.0,0.94
2.0,50,0.0,0.0,0,0.0,0.89
2.04,51,0.0,0.0,0,0.0,0.64
2.08,52,0.0084905066454914,0.0041705614521543,0,0.0,0.16
2.12,53,0.0078465087890557,0.0023276264810007,0,0.0,0.05
2.16,54,0.006064760244299,0.0010018931381702,0,0.0,0.02
2.2,55,0.0073102611812276,0.0007224025822697,0,0.0,0.01
2.24,56,0.0102203711062966,0.0026034229740594,0,0.0,0.01
2.28,57,0.0101924418968788,0.0037917036059963,0,0.0,0.01
2.32,58,0.0147380203901667,0.0068158010876711,0,0.01,0.01
2.36,59,0.0119680898104081,0.0070476168750633,0,0.01,0.01
2.4,60,0.0111862287081371,0.0081533451603622,0,0.01,0.01
2.44,61,0.0114529427131598,0.0129298706476698,0,0.01,0.01
2.48,62,0.0111054947019412,0.0131678384288623,0,0.01,0.0
2.52,63,0.01209315083777,0.0129094520465253,0,0.01,0.0
2.56,64,0.017439863327852,0.0150095954999821,0,0.01,0.0
2.6,65,0.0092783667401092,0.008463103981377,0,0.01,0.0
2.64,66,0.0025450396843215,0.0030897176367983,0,0.01,0.0
2.68,67,0.0019798691280474,0.0007585614917732,0,0.01,0.0
2.72,68,0.0017585808088106,0.0003862321931131,0,0.01,0.0
2.76,69,0.0015786676121458,0.001344287699013,0,0.01,0.0
2.8,70,0.0038003676034422,0.0026028243397054,0,0.01,0.0
2.84,71,0.001794375052448,0.0021734391576742,0,0.01,0.0
2.88,72,0.0010636640714299,0.0011974933483648,0,0.01,0.0
2.92,73,0.0013862271407656,0.0021687430179462,0,0.01,0.0
2.96,74,0.0018102892404043,0.0021055013075425,0,0.01,0.0
3.0,75,0.002459588342948,0.0013117409517318,0,0.01,0.0
3.04,76,0.0015383290327599,0.0008073793648711,0,0.01,0.0
3.08,77,0.0017705510671067,0.0007679194390621,0,0.01,0.0
3.12,78,0.0027292353095456,0.0011173848525613,0,0.01,0.0
3.16,79,0.0010097932088152,0.0019906845289805,0,0.01,0.0
3.2,80,0.0014976845199547,0.0015707891149938,0,0.01,0.0
3.24,81,0.0069317980733746,0.0045500798689694,0,0.01,0.0
3.28,82,0.0074317905634568,0.0015946764656776,0,0.01,0.0
3.32,83,0.0016324245095406,0.0003976189949845,0,0.01,0.0
