Time,Frame,nose_dist,body_dist,freezing,body,Known,Novel
0.07,1,0.0,0.0,0,center,0,0
0.13,2,0.0,0.0,0,center,0,0
0.2,3,0.0,0.0,0,center,0,0
0.27,4,0.0,0.0,0,center,0,0
0.33,5,0.0,0.0,0,center,0,0
0.4,6,0.0,0.0,0,center,0,0
0.47,7,0.0,0.0,0,center,0,0
0.53,8,0.0,0.0,0,center,0,0
0.6,9,0.0,0.0,0,center,0,0
0.67,10,0.0,0.0,0,center,0,0
0.73,11,0.0,0.0,0,center,0,0
0.8,12,0.0,0.0,0,center,0,0
0.87,13,0.0,0.0,0,center,0,0
0.93,14,0.0,0.0,0,center,0,0
1.0,15,0.0,0.0,0,center,0,0
1.07,16,0.0,0.0,0,center,0,0
1.13,17,0.0,0.0,0,center,0,0
1.2,18,0.0,0.0,0,center,0,0
1.27,19,0.0,0.0,0,center,0,0
1.33,20,0.0,0.0,0,center,0,0
1.4,21,0.0,0.0,0,center,0,0
1.47,22,0.0,0.0,0,center,0,0
1.53,23,0.0,0.0,0,center,0,0
1.6,24,0.0,0.0,0,center,0,0
1.67,25,0.0,0.0,0,center,0,0
1.73,26,0.0,0.0,0,center,0,0
1.8,27,0.0,0.0,0,center,0,0
1.87,28,0.0,0.0,0,center,0,0
1.93,29,0.0,0.0,0,center,0,0
2.0,30,0.0,0.0,0,center,0,0
2.07,31,0.0,0.0,0,center,0,0
2.13,32,0.00198925939378,0.001173040253511,0,center,0,0
2.2,33,0.0009762131086939,0.0002029016193309,0,center,0,0
2.27,34,0.0010133828515496,0.0004020825106917,0,center,0,0
2.33,35,0.0020042779240065,0.0009323261324396,0,center,0,0
2.4,36,0.0050602448221987,0.0015816550243164,0,center,0,0
2.47,37,0.0054433910023657,0.0025062977234364,0,center,0,0
2.53,38,0.0040547177849828,0.0014521028327978,0,center,0,0
2.6,39,0.0053072875010834,0.0006783613745811,0,center,0,0
2.67,40,0.0048938661491635,0.0006792245918735,0,center,0,0
2.73,41,0.0035014553900967,0.0007567368562293,0,center,0,0
2.8,42,0.002194730786553,0.0003441319825013,0,center,0,0
2.87,43,0.0039930786663005,5.965191404185666e-05,0,center,0,0
2.93,44,0.0025537079645719,0.000563362004111,0,center,0,0
3.0,45,0.0004303966829406,0.0010036999227361,0,center,0,0
3.07,46,1.9987933697312385e-05,0.0002668534401809,0,center,0,0
3.13,47,1.909984634221893e-05,0.0004103699811811,0,center,0,0
3.2,48,2.2336073087280745e-05,0.0007940956499418,0,center,0,0
3.27,49,2.9454738199841413e-05,0.0008121161404687,0,center,0,0
3.33,50,3.940694103540851e-05,0.0004062655145557,0,center,0,0
3.4,51,5.156060160036907e-05,0.0008576655625793,0,center,0,0
3.47,52,6.559701314681025e-05,0.0011027265248799,0,center,0,0
3.53,53,0.0009123333962057,0.0011324069608484,0,center,0,0
3.6,54,0.0049081585896163,0.0010716384005777,0,center,0,0
3.67,55,0.0083640324984193,0.000547338499509,0,center,0,0
3.73,56,0.0066388102888678,0.0005136384720188,0,center,0,0
3.8,57,0.0073109014517602,0.0016287503626989,0,center,0,0
3.87,58,0.0051582735701487,0.0012025373736119,0,center,0,0
3.93,59,0.0001407897514918,0.0002166063258177,0,center,0,0
4.0,60,0.0037085144332576,0.0003030254935701,0,center,0,0
4.07,61,0.0033123143671026,0.0002033128199272,0,center,0,0
4.13,62,0.0036317042238786,0.0001218741302171,0,center,0,0
4.2,63,0.0030623000773848,0.0002877355231328,0,center,0,0
4.27,64,0.0012368262859117,0.0003183082636936,0,center,0,0
