nose_x,nose_y,L_ear_x,L_ear_y,R_ear_x,R_ear_y,head_x,head_y,neck_x,neck_y,body_x,body_y,tail_1_x,tail_1_y,tail_2_x,tail_2_y,tail_3_x,tail_3_y
18.379742444154765,5.551408083352118,20.159977823801935,6.127638330101924,19.85282801873785,4.3833253543570745,19.44662196570004,5.334500843082252,20.36559215257385,5.165684861719018,22.743338755416108,4.457110632553059,25.38757522917929,4.324549506867085,28.894030672135738,4.740935825875824,31.173551982004586,3.0299270691446254
17.418777676026195,5.462974029589573,19.228457745002515,6.093136917209444,18.927777744681848,4.350939065635996,18.454728278071673,5.284400414361142,19.442372618504535,5.13981543487798,21.774130343732363,4.419700483398713,24.385760641278182,4.034363092932308,27.953572443296622,4.6441034478034275,30.96720843926931,3.068040504595653
16.580791590260837,5.073432428314878,18.211761254191362,5.92586797257655,17.930183273683955,4.20154168983386,17.57884005538687,5.0445096948444625,18.45210234287034,5.005863900640499,20.89037836810773,4.269671136003766,23.550234766815056,3.945163896539891,27.090467544091016,4.255767693541553,30.34925686422503,3.220601059083305
16.145970221678827,4.8450901847209105,17.722798562841778,5.7754471186259595,17.51642688830759,4.090889898220015,17.183048693332854,4.838130795939141,17.973369928182628,4.85886058591105,20.399183395043718,4.23226098684942,23.22056315905286,3.940685623639282,26.79775116368559,4.158935315469156,30.0579354559189,3.2604838437579713
15.898037451621034,4.810203768560413,17.48957399823613,5.746542349957888,17.325089212658398,4.071374222202636,16.959290935488877,4.799162414214371,17.751814356144255,4.828655583408293,20.179739528468357,4.274189571594164,23.026454688981875,4.063772498315254,26.628486128389063,4.392396310106737,29.841779138757026,3.6336011831652844
15.084239654709048,4.953084465828912,16.744437382995326,5.810130327534805,16.624254639433243,4.131614998655973,16.17156565532636,4.891478551015513,17.02881934033408,4.884558988847883,19.504415679536308,4.488232669555192,22.292273913628353,4.607501621393247,25.90166198899926,5.425366505599063,29.00920856348769,5.292769290853159
14.341770206108613,5.611934109330233,16.002820729752482,6.187961520567312,15.671373204963972,4.496060905309488,15.329281222320999,5.375763849835897,16.198852240524392,5.225791337385364,18.622358649366774,4.769403019409347,21.410395229935165,4.9315193672710995,24.829922301190198,6.046633116404082,28.20876050346439,6.32630137559584
13.819255269676662,6.099075896637408,15.371559859059314,6.744174661172894,14.818717350375888,5.04902851395122,14.658814432171784,5.925543277943746,15.45658423360989,5.751094607480977,17.82086468815119,5.036689667022307,20.637731915475808,4.981621923816835,24.024694415444728,6.143333303371672,27.553638480148138,6.491100195871961
13.646140761515056,6.184920660719694,15.178821464382278,6.888988201247988,14.586315528232609,5.180286473575076,14.458555957858328,6.043494318069983,15.244508993036987,5.881532921478835,17.593546204385827,5.092080714324572,20.416159856403233,4.939063303499642,23.778036866546756,6.082141588794686,27.317479176190275,6.488766437720381
13.357845141042194,6.184921325664889,14.9243523189873,6.976067588787049,14.346017325382467,5.213632380120398,14.189747994168712,6.058606703344775,15.003967140885775,5.9347847820946225,17.335854457776936,5.092080714324573,20.156523582018483,4.76813448994959,23.399005895321302,5.836391816632456,26.912065771174795,6.479407020676773
13.20860125308761,6.1669134793721385,14.75119847254657,6.997762356703604,14.186711540849943,5.221941535279571,14.018053479075279,6.062366968423611,14.840911787884123,5.948055159849677,17.166733477703367,5.087999498064441,19.98303152137939,4.629010507318168,23.197576676346912,5.578858261015933,26.677212312157927,6.228315135795633
12.820078201125309,5.997928748094477,14.208743002457004,6.911026041013434,13.728460289503584,5.143385042908109,13.527717775535246,5.984535000336834,14.333783897338126,5.88010407787996,16.71890181474524,5.005805503070434,19.481782177462264,4.18769143554958,22.74816651964459,4.692188202263999,26.140342126233726,5.187778893876378
12.417893199994115,5.591769293447799,13.684102692840057,6.563125589818902,13.37598837074358,4.828335365994019,13.13961483726493,5.67237997792209,13.85392409587769,5.607569758964949,16.381113603698598,4.7349159510982695,19.10986277891854,3.8598531977107475,22.5294578062832,4.078165010080092,25.99621361161099,4.766161712663014
12.322615711918505,5.412786547950831,13.535402925536138,6.421279453039121,13.297014130779186,4.684387953438736,13.060130196744646,5.528250389360083,13.75349261120678,5.478315136551413,16.283038269804774,4.629020460643715,19.023277662471152,3.8009653723026413,22.464960149930043,3.9736682077097836,25.942190699005522,4.720311070212845
12.267751933242906,5.084286419708413,13.35490168860974,6.201077554735494,13.23433389155332,4.4222551541829755,13.025030988957345,5.262646521630957,13.727953791186644,5.232822530961713,16.135273918360852,4.471670712802516,18.940342722172026,3.800965372302642,22.33513147372305,3.9739609165847094,25.804208225262535,4.720311070212846
12.157630716974538,4.776332169080712,13.159685213593507,5.970861335477009,13.149716755197433,4.214196785185636,12.90177394236822,5.002290808027179,13.589331189644954,5.031828401201233,16.008298108946843,4.4152035474789,18.837226933581988,3.8285716489369674,22.201176108922596,4.0823687100711155,25.631457645371896,4.933876184631034
11.653484981120593,3.843908918736784,12.4501532012108,5.229326591854683,12.757061438105948,3.5904070941439645,12.331241363479355,4.196867855231317,12.960284079689588,4.415734035379042,15.546138070683996,4.322824059348749,18.426375567265865,4.011357771283389,21.673441534892177,4.622632640294167,24.860212881776402,5.9100359794062705
11.086508529100454,3.5140448854100867,11.870423331595681,4.8997748211416114,12.21920250093146,3.241036816769835,11.770278463119636,3.894854366842504,12.432371315313771,4.053254569771795,15.053136307921003,4.212008773079598,18.021907574042277,4.342570950722265,21.080838970050596,5.171000255320447,23.76490659942155,6.644850780963864
10.82582569281334,3.43726131100629,11.614766710369155,4.818862037428356,11.981164519755266,3.149926579820877,11.522168112179566,3.8146715872330965,12.189363004135103,3.965818100548129,14.836848745526638,4.173443888096019,17.807651691685802,4.441979954534289,20.81578768845597,5.399207644656863,23.379123670142317,6.995406141426424
10.251239007838166,3.233262691277547,11.01910780159809,4.648655539586058,11.495761520372422,2.9911319909602025,10.97362333464733,3.601205804333094,11.611134076788366,3.8385324292855962,14.372631688747326,4.11569191583567,17.27137190206413,4.535539918937314,20.24675885935702,5.868968506197084,22.79584201658597,7.8767853999658755
10.043639740657131,3.081568054582388,10.769663644160913,4.5610423614674955,11.29045170638418,2.9091013154402776,10.747398559109595,3.4848879985800205,11.378728652244883,3.7762906437812114,14.14470375947837,4.101350178382115,17.007097206280612,4.558935891143737,19.97636960799664,6.000968217343271,22.529468301964343,8.11637258672124
