Frame,nose_dist,body_dist,freezing
1,0.0,0.0,0
2,0.0,0.0,0
3,0.0,0.0,0
4,0.0,0.0,0
5,0.0,0.0,0
6,0.0,0.0,0
7,0.0,0.0,0
8,0.0,0.0,0
9,0.0,0.0,0
10,0.0,0.0,0
11,0.0,0.0,0
12,0.0,0.0,0
13,0.0,0.0,0
14,0.0,0.0,0
15,0.0,0.0,0
16,0.0,0.0,0
17,0.0,0.0,0
18,0.0,0.0,0
19,0.0,0.0,0
20,0.0,0.0,0
21,0.0,0.0,0
22,0.0,0.0,0
23,0.0,0.0,0
24,0.0,0.0,0
25,0.0,0.0,0
26,0.0,0.0,0
27,0.0,0.0,0
28,0.0,0.0,0
29,0.0,0.0,0
30,0.0,0.0,0
31,0.0,0.0,0
32,0.0,0.0,0
33,0.0,0.0,0
34,0.0,0.0,0
35,0.0,0.0,0
36,0.0,0.0,0
37,0.0,0.0,0
38,0.0,0.0,0
39,0.0,0.0,0
40,0.0,0.0,0
41,0.0,0.0,0
42,0.0,0.0,0
43,0.0,0.0,0
44,0.0,0.0,0
45,0.0,0.0,0
46,0.0,0.0,0
47,0.0,0.0,0
48,0.0,0.0,0
49,0.0,0.0,0
50,0.0,0.0,0
51,0.0,0.0,0
52,0.00536871557912332,0.0014054114715124542,0
53,0.005358386338601938,0.001253101341569503,0
54,0.005642571030344955,0.0013982580731232745,0
55,0.005949078288589677,0.0018408970276200642,0
56,0.006340128895894634,0.002581018588500126,0
57,0.006817570436552015,0.0046955708934445515,0
58,0.007568708990129992,0.010020366476600696,0
59,0.008818714816426538,0.01098438911878036,0
60,0.00888700398591596,0.010559748114765495,0
61,0.009050549345188895,0.010172051354160983,0
62,0.009155879215326375,0.006405258442775604,0
63,0.008535369368443903,0.007027825593707304,0
64,0.007299564097423123,0.008848551477793376,0
65,0.006160229079242783,0.008140933897598596,0
66,0.003919377549153631,0.004677996406218329,0
67,0.0012242683846885977,0.001456254711274301,0
68,0.003216070650920978,0.00018173303570530997,0
69,0.00849922790887189,0.00047194213634964516,0
70,0.009174745383420408,0.0029660522674903466,0
71,0.00779150017171409,0.00592446880113599,0
72,0.007343822390724196,0.006164562286014241,0
73,0.0069645902825891245,0.00490577604181122,0
74,0.005675761535897419,0.004093990182938925,0
75,0.004801004007564464,0.003108127301544003,0
76,0.0035076132035811673,0.002318323226278515,0
77,0.0030824694830475863,0.0027729687217339736,0
78,0.004126383937117771,0.004552305141716896,0
79,0.0040778180482100865,0.00619384071798115,0
80,0.004293244728890919,0.00511946296175718,0
81,0.006763012710492199,0.0041938189807585215,0
82,0.006929365527974915,0.004503901913032218,0
83,0.005431835155538737,0.004452793226031319,0
84,0.00462931318698026,0.0028697555117973158,0
85,0.003621674049907099,0.002025301970429007,0
86,0.0034550695375081732,0.0018885121713281372,0
87,0.00275350248560968,0.0016864784207840675,0
88,0.0022299821687957392,0.0016005185173966108,0
89,0.00256910346354403,0.001832710835742558,0
90,0.0032462875559740494,0.0014654157646335952,0
91,0.0034109669023743633,0.00027199052064923374,0
92,0.002154072305041596,0.00015408375415982065,0
93,0.0018229888455547475,0.0002456871243534095,0
94,0.0008448529773295869,0.00033402049769583076,0
95,5.5892737632858616e-05,0.00042332022983677475,0
96,0.00028475646079334797,0.000512970831239302,0
97,7.612887528117561e-05,0.0006027470286108327,0
98,0.00011801780540723101,0.0006926281428472604,0
99,0.000960316835758154,0.0007825892324314072,0
100,0.002879764039006041,0.0008726760708204282,0
101,0.004472310196802733,0.0009629493704494643,0
102,0.007886069081604429,0.0012352573536706427,0
103,0.008138806087986367,0.002001696387421012,0
104,0.006259155684974475,0.001843494214074667,0
105,0.005544742713957681,0.002003830260420443,0
106,0.003226940590139528,0.0021565682830920864,0
107,0.0015601271580071006,0.0016129564715971784,0
108,0.000810060671051421,0.0012146896938861587,0
109,0.00034034191079172814,0.00020243244761784657,0
110,0.001096326401631142,0.00032916723293066385,0
111,0.000789978114549281,0.00022629716616266222,0
112,0.0015626305993927468,0.00021168927504321234,0
113,0.000777002601979626,0.00012851881008549098,0
114,0.0012242300211615263,0.00037210907400740526,0
115,0.0019433791191486047,0.0002816265694762271,0
116,0.002063393260615368,0.0004522012795610945,0
117,0.0016553183808471874,0.0009677791589471455,0
118,0.0010091171194675154,0.000482553766982391,0
119,0.0006604669903997533,0.00040408240354406356,0
120,0.0002136021440842035,6.063092546659325e-05,0
121,5.5249912864806965e-05,0.00013980399857132426,0
122,1.5825432169249844e-05,5.3020281130298244e-05,0
123,8.022971939103693e-05,0.00014925087981703785,0
124,4.856290964723362e-05,5.3676001742684636e-05,0
125,0.00011132139494897138,4.6543704633490816e-05,0
126,0.0003458430059892369,8.223252988820318e-05,0
127,0.0017358991757707185,0.00047777869489593977,0
128,0.006332551267796002,0.002085544900243438,0
129,0.0062601570886113575,0.002613410469454093,0
130,0.003260252185627592,0.0012758959162727681,0
131,0.0025876351761478346,0.0010649532292465753,0
132,0.0020981197946706607,0.0013050546198000671,0
133,0.001376894139242184,0.0007835035775960174,0
134,0.0008669213412285179,0.00027808007293146305,0
135,0.0005597052890287789,0.00048211375970146325,0
136,0.0001574506110319442,0.00041945447475046413,0
137,9.656429546556539e-05,0.0003445167822949399,0
138,2.7093617365023547e-05,0.00016850284687855397,0
139,0.00011346368590416534,7.560974451645687e-05,0
140,0.00012266072434159066,0.00014878765539443528,0
141,6.393290096764528e-05,0.0004657791059330832,0
142,0.00012020265317313641,0.0002143224214917024,0
143,0.0003488599236392159,8.8330700550783e-05,0
144,0.0013515392151303468,0.00028974717688251306,0
145,0.002160629230820656,0.00047534064106705137,0
146,0.003977315903777299,0.0009891213209294342,0
147,0.004988799930178039,0.0010996077178977686,0
148,0.004348891193855852,0.0005509259080655925,0
149,0.0031506472213795977,0.0006035386868936005,0
150,0.0017344394443224787,0.0007790051109332217,0
151,0.0010438199603249466,0.00037057563066007944,0
152,0.0006544289524668965,0.0002773760941699774,0
153,0.0009067571106609583,0.0005141944207408207,0
154,0.0013659016354887832,0.0005162087384109347,0
155,0.0008315833407670828,0.00012654145554655968,0
156,0.0017308647678900698,0.0006654222776959603,0
157,0.002013843457115048,0.0008530213301992008,0
158,0.002126568030596334,0.0005370723762734324,0
159,0.004191441687459158,0.0006794392077062781,0
160,0.006276058706152238,0.0007699303410543252,0
161,0.004470774055459066,0.0009313651630536069,0
162,0.0013524062833445633,0.0007661925818283978,0
163,0.00043624794837890315,0.00023074202051438992,0
164,0.0004005134332285366,4.665903048251203e-05,0
165,0.000189133961163289,6.366630629588309e-05,0
166,0.00019651422223168082,0.000152743951920801,0
167,0.00018120424680572982,3.631885224532367e-05,0
168,5.541310642786773e-05,6.74128287258444e-05,0
169,2.7336241324621328e-05,4.1859145318192484e-05,0
170,0.0003111553562919292,8.14075564761315e-05,0
171,0.001723521726570031,0.0002500434105499424,0
172,0.0031118265251629572,0.0005818278877686168,0
173,0.004048565170184962,0.0016322075194515656,0
174,0.004174305258345055,0.0013437173833573451,0
175,0.003888699930803148,0.0015183638504388264,0
176,0.004507591959224972,0.0008783897527146935,0
177,0.005348541906588915,0.00021757598336099353,0
178,0.005534780237318215,0.0001504626331031325,0
179,0.004323137467499644,6.300994642601835e-05,0
180,0.003946684401449576,7.396751182618626e-05,0
181,0.005747298775957544,0.00025392346414397475,0
182,0.005770033613146271,0.00036918490721315616,0
183,0.004341174128377686,0.0007013833772911769,0
184,0.004830802631447165,0.0011004576018026852,0
185,0.006080604360296258,0.002847501454545,0
186,0.0065516898640786405,0.0043465003812065235,0
187,0.008412664434275583,0.004032324232217029,0
188,0.008109813711343346,0.005412621087874258,0
189,0.006658433917332404,0.00776320280091795,0
190,0.006225913822279069,0.00707914892706105,0
191,0.004734362302144015,0.0034155570625126197,0
192,0.0038889029360055466,0.003427716871912666,0
193,0.004163811414060568,0.00422568948526867,0
194,0.006886646417808026,0.007453852316712101,0
195,0.008271255061777612,0.007906084292137296,0
196,0.006856121589121903,0.006977129342493829,0
197,0.006669288650004919,0.006677682316461149,0
198,0.008467093752133652,0.008453097472279823,0
199,0.010504103327002934,0.00975343194862521,0
200,0.009965778115703773,0.009610887684093407,0
201,0.008964773211475735,0.009107059294639877,0
202,0.009132917462693792,0.008805329763010343,0
203,0.009874332393607216,0.00943708064853286,0
204,0.008640125204012177,0.009173398812451819,0
205,0.008495224513731733,0.00916609569932026,0
206,0.0094072887205392,0.009286710465905039,0
207,0.008715418201150415,0.009099646249359421,0
208,0.007566285921651804,0.008527864190374997,0
209,0.007079399851622192,0.007563240892485539,0
210,0.0052497593230812125,0.006198822433430014,0
211,0.004804048258325613,0.004731834334746263,0
212,0.004956880796244654,0.004152005080825552,0
213,0.003368813837942061,0.00497849449564411,0
214,0.004365178954222566,0.005288078061739837,0
215,0.0034272167053340523,0.0033596508634605752,0
216,0.002718594257386361,0.0023169258339236164,0
217,0.00392384074961768,0.002118695114223292,0
218,0.002250720455391432,0.0023116199913397377,0
219,0.0012962747672137572,0.0021655604499301257,0
220,0.0017426478741481555,0.0021082332110773754,0
221,0.0029076766870394567,0.001832318453659511,0
222,0.0026920512663243757,0.0024200926755581584,0
223,0.0027169481892599595,0.00242452398386462,0
224,0.002940815899055218,0.0022841885253251236,0
225,0.003116382495971182,0.0025008137548003196,0
226,0.002657105519844427,0.0028737980644111087,0
227,0.00313841984641412,0.002655139550713872,0
228,0.0032354292124322347,0.0031910292545105985,0
229,0.002646840158759505,0.0031259785042737453,0
230,0.0024023360976873393,0.0022557915252102855,0
231,0.0013855398975051426,0.0018061983326230944,0
232,0.0011797353249419903,0.001667034106101576,0
233,0.0009170758531630595,0.0005359887018446045,0
234,0.0008775748393820516,0.0006052568327556577,0
235,0.001222858477905666,0.0005940274242098704,0
236,0.0014650852697530277,0.000563356214750799,0
237,0.0003216782736474047,0.0006510692214429394,0
238,0.0004120459373217078,0.00034319105620883827,0
239,0.000626835325791751,0.00014508042622927454,0
240,0.0002703883277882603,0.0005250299096710823,0
241,0.000953965884430806,0.0003936798130728661,0
242,0.0015042064217466735,0.00016214752403022407,0
243,0.000749280023928623,0.0001105370548271253,0
244,0.0008829684514397588,0.00036381288572399245,0
245,0.001152744078883249,0.00030183249252717793,0
246,0.0007672620249061721,0.00010150416843078642,0
247,0.0006115015364030434,0.0001216412228515073,0
248,0.0011956702511062573,0.00030787229207424673,0
249,0.0010779524021857546,0.0007272057290387674,0
250,0.0009206300077211552,0.0007269255935375278,0
251,0.0004328286274317489,0.00043271376066281425,0
252,0.00016516383381859036,0.0002214907734833705,0
253,0.00038608187524587505,5.805840089966183e-05,0
254,0.0020376646572606645,5.1607121382516745e-05,0
255,0.006159553903560056,0.000293634798633772,0
256,0.0076242262182358725,0.0008591821246986753,0
257,0.004993934695935044,0.0007568315337010128,0
258,0.0036420902296869645,0.0007233408758659871,0
259,0.0032394071643910777,0.0019432890612480222,0
260,0.0026663125810868034,0.00288477201389525,0
261,0.0027298483149721265,0.002970724085234777,0
262,0.001978906752642508,0.0030748947167923086,0
263,0.0017907196274154144,0.00205628205958968,0
264,0.0013704718291580238,0.0009546308777265617,0
265,0.0015824664032729968,0.0009674309596413318,0
266,0.0009672504408200881,0.00013306343193037007,0
267,0.001099105884356453,0.001270475979892934,0
268,0.002168922473909645,0.0016600767444175072,0
269,0.0015527915798820404,0.0008856557232472523,0
270,0.0015129943063708423,0.0007066561169651095,0
271,0.0013115775012926129,0.0005811772907019917,0
272,0.0012194268363456384,0.000586069036610164,0
273,0.0011937077674053585,0.00031302614274505405,0
274,0.003954781677204187,0.00036259213650702645,0
275,0.005534616179787085,0.00010526476217697053,0
276,0.0041813061204255516,7.670797527336015e-05,0
277,0.002785256611577269,0.00018809381768992748,0
278,0.0022841692064570255,0.0004254826614680904,0
279,0.00096856577206733,0.000692416004439306,0
280,0.0008013342872013489,0.0006895780898527768,0
281,0.001394493999108588,0.0009577607622223964,0
282,0.0009523857116430482,0.0006089630220586144,0
283,0.001743150818736838,0.00103033963168803,0
284,0.002102149420426663,0.0010331190794779592,0
285,0.001915717732675882,0.0013330175591942351,0
286,0.001450471488044281,0.001872655094351894,0
287,0.0018701182288259136,0.002104771260124552,0
288,0.0020925317867389113,0.0021674288841900817,0
289,0.0013556921476921616,0.001383708456332799,0
290,0.0006821705263639757,0.000896934316796015,0
291,0.001428462044831008,0.0005058650117336045,0
292,0.0021477475734583687,0.0006731934916099507,0
293,0.0031907635821857533,0.0005457088700135567,0
294,0.0034648415541221607,0.0004035420322662908,0
295,0.002083143157568637,0.0004426832461490887,0
296,0.0020642483592584345,2.1430888383663545e-05,0
297,0.002388049075537943,0.00041546938853665507,0
298,0.0017414464186875944,0.000541837052949131,0
299,0.00186910031328412,0.0006909164814640278,0
300,0.001894996594814767,0.0011381790856959007,0
301,0.0013349420662703282,0.0009927845571167304,0
302,0.0015152758959168216,0.0008669668820494477,0
303,0.0012989103410742443,0.000825891329324826,0
304,0.0004924365459499506,0.0006750585616363283,0
305,0.0011604469321188878,0.0007565366937737023,0
306,0.00122756059863634,0.0005249215499532746,0
307,0.0006079264353569504,0.0004454037209970556,0
308,0.0007290846554019525,0.00031869445140258893,0
309,0.00017451575419653414,0.0001321461903651503,0
310,0.0006587902865075493,0.00011200252151837104,0
311,0.001224182520428454,0.00013236524340563266,0
312,0.0016620738502800044,0.0006080760119233319,0
313,0.001249659046594004,0.0011794109845948662,0
314,0.0012872565639678788,0.001254629185492349,0
315,0.0010256040822744477,0.0014933846485466113,0
316,0.0008621633129934779,0.0012639297781874114,0
317,0.0013858552158932777,0.0009939094332990482,0
318,0.0011689610525365815,0.0006541141232136955,0
319,0.0003616534649870171,0.00033825603222966544,0
320,0.0014953577841234516,0.0002641983820039222,0
321,0.0014630235019472025,0.000655992611596445,0
322,0.0015863928030486819,0.00033525577729754167,0
323,0.0034772430092680313,0.0007309830557699602,0
324,0.0037078466454725572,0.0012138742958361167,0
325,0.0023068532803792604,0.0014529203364915396,0
326,0.0003749469559234364,0.0009613698102002012,0
327,0.0005861667630912427,0.0001416302393725052,0
328,0.0015034192357082537,0.00034459224531357274,0
329,0.002444640109471913,0.0008311633658763931,0
330,0.0033184421636634205,0.0010921387410679658,0
331,0.003082217660788222,0.0015312709303012826,0
332,0.002665519657626138,0.0020958840038851597,0
333,0.002778771763205315,0.0019016548729197036,0
334,0.0025437889849883304,0.0020494835052041207,0
335,0.0019320387062728608,0.001519192102236539,0
336,0.0013017622871938578,0.0008696436019066184,0
337,0.001317543893731274,6.444847112470377e-05,0
