Frame,nose_dist,body_dist,freezing,location,Novel,Known
1,0.0,0.0,0,left,0.0,0.0
2,0.0,0.0,0,left,0.0,0.0
3,0.0,0.0,0,left,0.0,0.0
4,0.0,0.0,0,left,0.0,0.0
5,0.0,0.0,0,left,0.0,0.0
6,0.0,0.0,0,left,0.0,0.0
7,0.0,0.0,0,left,0.0,0.0
8,0.0,0.0,0,left,0.0,0.0
9,0.0,0.0,0,left,0.0,0.0
10,0.0,0.0,0,left,0.0,0.0
11,0.0,0.0,0,left,0.0,0.0
12,0.0,0.0,0,left,0.0,0.0
13,0.0,0.0,0,left,0.0,0.0
14,0.0,0.0,0,left,0.0,0.0
15,0.0,0.0,0,left,0.0,0.0
16,0.0,0.0,0,left,0.0,0.0
17,0.0,0.0,0,left,0.0,0.0
18,0.0,0.0,0,left,0.14674759,0.0
19,0.0,0.0,0,left,0.69398683,0.0
20,0.0,0.0,0,left,0.888848,0.0
21,0.0,0.0,0,left,0.9269444,0.0
22,0.0,0.0,0,left,0.9258909,0.0
23,0.0,0.0,0,left,0.8837136,0.0
24,0.0,0.0,0,left,0.5166398,0.0
25,0.0,0.0,0,left,0.0,0.0
26,0.0,0.0,0,left,0.0,0.0
27,0.0,0.0,0,left,0.0,0.0
28,0.0,0.0,0,left,0.0,0.0
29,0.0,0.0,0,left,0.0,0.0
30,0.0,0.0,0,left,0.0,0.0
31,0.0,0.0,0,left,0.0,0.0
32,0.0,0.0,0,left,0.0,0.0
33,0.0,0.0,0,left,0.0,0.0
34,0.0,0.0,0,left,0.0,0.0
35,0.0,0.0,0,left,0.0,0.0
36,0.0,0.0,0,right,0.0,0.0
37,0.0,0.0,0,right,0.0,0.0
38,0.0,0.0,0,right,0.0,0.0
39,0.0,0.0,0,right,0.0,0.0
40,0.0,0.0,0,right,0.0,0.0
41,0.0,0.0,0,right,0.0,0.0
42,0.0,0.0,0,right,0.0,0.0
43,0.0,0.0,0,right,0.0,0.0
44,0.0,0.0,0,right,0.0,0.0
45,0.0,0.0,0,right,0.0,0.0
46,0.0,0.0,0,right,0.0,0.0
47,0.0,0.0,0,right,0.0,0.0
48,0.0,0.0,0,right,0.0,0.0
49,0.0,0.0,0,right,0.0,0.0
50,0.0,0.0,0,right,0.0,0.0
51,0.0,0.0,0,right,0.0,0.0
52,0.0044428107342051,0.0013729717887374,0,right,0.0,0.0
53,0.0073452502876857,0.0003145526946103,0,right,0.0,0.0
54,0.0091256318298292,0.000195225438944,0,right,0.0,0.0
55,0.0089941619859383,0.0009191852223944,0,right,0.0,0.0
56,0.0068561603341284,0.0019361078185601,0,right,0.0,0.1758887
57,0.0045892988912414,0.0027080708020388,0,right,0.0,0.33147708
58,0.0016576550297807,0.0011845134368008,0,right,0.0,0.4594268
59,0.0015815743637322,0.0004960877228867,0,right,0.0,0.49052393
60,0.00184852940379,0.000390634446175,0,right,0.0,0.49890274
61,0.0019827618754464,0.0006487752525423,0,right,0.0,0.41924733
62,0.0027939324262133,0.0016912251222498,0,right,0.0,0.32255077
63,0.0049038730029805,0.0008110069407989,0,right,0.0,0.1777621
64,0.0068557926985368,0.0004996896151538,0,right,0.0,0.0
65,0.0060521550055385,0.0012789596334673,0,right,0.0,0.0
66,0.0071915847622329,0.0044739113453151,0,right,0.0,0.0
67,0.0135309967883359,0.0132437349369498,0,right,0.0,0.0
68,0.0125128029211026,0.0142013112946231,0,right,0.0,0.0
69,0.0117881111247035,0.0109955420075564,0,right,0.0,0.0
70,0.0135158337139917,0.0095458124508957,0,right,0.0,0.0
71,0.0152494446764213,0.0145731506743418,0,right,0.0,0.0
72,0.0212075387110275,0.0249003129234017,0,right,0.0,0.0
73,0.0136246394973114,0.0149962944335849,0,right,0.0,0.0
74,0.01091988121659,0.0105416158690544,0,right,0.0,0.0
75,0.0083919443193632,0.0096769686122326,0,right,0.0,0.0
76,0.0035708855691012,0.0075127199787594,0,right,0.0,0.0
77,0.0024146338496695,0.0054184301630158,0,right,0.0,0.0
78,7.365572998465942e-05,0.0008803874709432,0,right,0.0,0.0
79,0.0017345416548785,0.0009886672928778,0,right,0.0,0.0
80,0.0002842901731614,0.0005034586682048,0,right,0.0,0.0
81,0.0032080848396464,0.0006480352496192,0,right,0.0,0.0
82,0.0118329666150299,0.0025812673683768,0,right,0.0,0.0
83,0.009076984839641,0.0022511043135926,0,right,0.0,0.0
84,0.0056046786640378,0.0022535825409842,0,right,0.0,0.0
85,0.0058479254004956,0.0034262602379277,0,right,0.0,0.0
86,0.0030829976694552,0.0045108683771935,0,right,0.0,0.0
87,0.0021080177420257,0.0039069136371632,0,right,0.0,0.0
88,0.0009560740706333,0.0004591961272246,0,right,0.0,0.0
89,0.002633859546557,0.0019208550439818,0,right,0.0,0.0
90,0.0023192143433185,0.0022357232300942,0,right,0.0,0.0
91,0.0016278327180305,0.0026170486650487,0,right,0.0,0.0
92,0.0036708653829601,0.0042884856374868,0,right,0.0,0.0
93,0.0068017690502813,0.0016048295974862,0,right,0.0,0.0
94,0.00487558071842,7.972703675843397e-05,0,right,0.0,0.0
95,0.0036324083332522,0.000658516177975,0,right,0.0,0.0
96,0.0042878579995389,7.654345512557299e-05,0,right,0.0,0.0
97,0.0078315478093061,0.0005259163635111,0,right,0.0,0.0
98,0.0055576916383347,0.000627994172381,0,right,0.0,0.0
99,0.0034495485627895,0.0003523880072646,0,right,0.0,0.0
100,0.0023544271337911,0.0005100583686955,0,right,0.0,0.0
101,0.0028401987956063,0.0008303542374621,0,right,0.0,0.0
102,0.0067005824119311,0.0007948467704126,0,right,0.0,0.0
103,0.0073490413397899,0.0011085369767106,0,right,0.0,0.0
104,0.0053427420444372,0.0018504567650903,0,right,0.0,0.0
105,0.0019773440518526,0.0019133327308686,0,right,0.0,0.0
106,0.0032028373113417,0.0020857978676697,0,right,0.0,0.0
107,0.0053894402999781,0.0036201062486441,0,right,0.0,0.0
108,0.0008994104474388,0.0024341483238113,0,right,0.0,0.0
109,0.0022613974856452,0.0009474110399535,0,right,0.0,0.0
110,0.0037725067215095,0.0003414060679698,0,right,0.0,0.0
111,0.0062915750625541,0.0003228418632161,0,right,0.0,0.0
112,0.009804283720429,0.0009990603883886,0,right,0.0,0.0
113,0.0112157353975052,0.0007388117231513,0,right,0.0,0.0
114,0.0092425627066909,0.0009351201140091,0,right,0.0,0.0
115,0.0100200857623062,0.0013561110037215,0,right,0.0,0.0
