Time,Frame,nose_dist,body_dist,freezing,darting,Mice,Object
0.07,1,0.0,0.0,0,0,0,0
0.13,2,0.0,0.0,0,0,0,0
0.2,3,0.0,0.0,0,0,0,0
0.27,4,0.0,0.0,0,0,0,0
0.33,5,0.0,0.0,0,0,0,0
0.4,6,0.0,0.0,0,0,0,0
0.47,7,0.0,0.0,0,0,0,0
0.53,8,0.0,0.0,0,0,0,0
0.6,9,0.0,0.0,0,0,0,0
0.67,10,0.0,0.0,0,0,0,0
0.73,11,0.0,0.0,0,0,0,0
0.8,12,0.0,0.0,0,0,0,0
0.87,13,0.0,0.0,0,0,0,0
0.93,14,0.0,0.0,0,0,0,0
1.0,15,0.0,0.0,0,0,0,0
1.07,16,0.0,0.0,0,0,0,0
1.13,17,0.0,0.0,0,0,0,0
1.2,18,0.0,0.0,0,0,0,0
1.27,19,0.0,0.0,0,0,0,0
1.33,20,0.0,0.0,0,0,0,0
1.4,21,0.0,0.0,0,0,0,0
1.47,22,0.0,0.0,0,0,0,0
1.53,23,0.0,0.0,0,0,0,0
1.6,24,0.0,0.0,0,0,0,0
1.67,25,0.0,0.0,0,0,0,0
1.73,26,0.0,0.0,0,0,0,0
1.8,27,0.0,0.0,0,0,0,0
1.87,28,0.0,0.0,0,0,0,0
1.93,29,0.0,0.0,0,0,0,0
2.0,30,0.0,0.0,0,0,0,0
2.07,31,0.0,0.0,0,0,0,0
2.13,32,0.0221963185188953,0.0221427304450262,0,0,0,0
2.2,33,0.0213890224437386,0.0201841660782615,0,0,0,0
2.27,34,0.0210782224562131,0.0212297359505264,0,0,0,0
2.33,35,0.0240968349363443,0.0236829972691493,0,0,0,0
2.4,36,0.0204324265202508,0.0197131940417571,0,0,0,0
2.47,37,0.0152757927513396,0.0168992782594016,0,0,0,0
2.53,38,0.0184356566477246,0.0195512724826557,0,0,0,0
2.6,39,0.0228823738686129,0.0236727152095265,0,0,0,0
2.67,40,0.024335849728983,0.0244429489073434,0,0,0,0
2.73,41,0.0231521869618992,0.0245618323522697,0,0,0,0
2.8,42,0.0226723839669363,0.0234878487233964,0,0,0,0
2.87,43,0.0197165379768766,0.0215001948660812,0,0,0,0
2.93,44,0.0078094598094051,0.0118882373034274,0,0,0,0
3.0,45,0.007686246444912,0.0066287760399104,0,0,0,0
3.07,46,0.0078714201357609,0.0101358330189695,0,0,0,0
3.13,47,0.0183078726102719,0.014178034277767,0,0,0,0
3.2,48,0.0226735513498675,0.0204205470384136,0,0,0,0
3.27,49,0.0243292673936316,0.030981444726315,0,0,0,0
3.33,50,0.0257422277668304,0.0256867564434394,0,0,0,0
3.4,51,0.0257389687665793,0.025936844545201,0,0,0,0
3.47,52,0.0255211108553506,0.0249738562270565,0,0,0,0
3.53,53,0.0255936730397244,0.0237246738774548,0,0,0,0
3.6,54,0.0194293739494919,0.0202138987664356,0,0,0,0
3.67,55,0.0177334435274395,0.0179382073448032,0,0,0,0
3.73,56,0.0155776832994374,0.0158822275542858,0,0,0,0
3.8,57,0.0151366825255319,0.0151162342745529,0,0,0,0
3.87,58,0.014791637072257,0.0129375216094711,0,0,0,0
3.93,59,0.0146344833936072,0.0121648833838328,0,0,0,0
4.0,60,0.0100602496471476,0.0109708946114617,0,0,0,0
4.07,61,0.0122290120996814,0.0083160399165155,0,0,0,0
4.13,62,0.0136465292068207,0.0072757426173693,0,0,0,0
4.2,63,0.0134817265557289,0.0036554822575608,0,0,0,0
4.27,64,0.0187765996519636,0.0049797075172697,0,1,0,0
4.33,65,0.0194536542751828,0.0045769068092817,0,1,0,0
4.4,66,0.0123560845986191,0.0033407564714929,0,1,0,0
4.47,67,0.0047433139923179,0.0047291931089818,0,1,0,0
4.53,68,0.0063758855295898,0.0043919243125749,0,1,0,0
4.6,69,0.0155463511949721,0.0149315033615549,0,1,0,0
4.67,70,0.0265940735094998,0.028808842760291,0,1,0,0
4.73,71,0.0268464468848851,0.0249574672602546,0,1,0,0
4.8,72,0.0216206736104499,0.0190070527905694,0,0,0,0
4.87,73,0.0162715209356836,0.0170190591729782,0,0,0,0
4.93,74,0.0120222503956519,0.0182187985652966,0,0,0,0
5.0,75,0.003691259622406,0.0108208674620897,0,0,0,0
