Time,Frame,nose_dist,body_dist,freezing,darting,Object,Mice
0.07,1,0.0,0.0,0,0,0,0
0.13,2,0.0,0.0,0,0,0,0
0.2,3,0.0,0.0,0,0,0,0
0.27,4,0.0,0.0,0,0,0,0
0.33,5,0.0,0.0,0,0,0,0
0.4,6,0.0,0.0,0,0,0,0
0.47,7,0.0,0.0,0,0,0,0
0.53,8,0.0,0.0,0,0,0,0
0.6,9,0.0,0.0,0,0,0,0
0.67,10,0.0,0.0,0,0,0,0
0.73,11,0.0,0.0,0,0,0,0
0.8,12,0.0,0.0,0,0,0,0
0.87,13,0.0,0.0,0,0,0,0
0.93,14,0.0,0.0,0,0,0,0
1.0,15,0.0,0.0,0,0,0,0
1.07,16,0.0,0.0,0,0,0,0
1.13,17,0.0,0.0,0,0,0,0
1.2,18,0.0,0.0,0,0,0,0
1.27,19,0.0,0.0,0,0,0,0
1.33,20,0.0,0.0,0,0,0,0
1.4,21,0.0,0.0,0,0,0,0
1.47,22,0.0,0.0,0,0,0,0
1.53,23,0.0,0.0,0,0,0,0
1.6,24,0.0,0.0,0,0,0,0
1.67,25,0.0,0.0,0,0,0,0
1.73,26,0.0,0.0,0,0,0,0
1.8,27,0.0,0.0,0,0,0,0
1.87,28,0.0,0.0,0,0,0,0
1.93,29,0.0,0.0,0,0,0,0
2.0,30,0.0,0.0,0,0,0,0
2.07,31,0.0,0.0,0,0,0,0
2.13,32,0.0009410825744521,0.0002897228930553,0,0,0,0
2.2,33,0.0006374043358929,0.0003139056268797,0,0,0,0
2.27,34,0.0012815043736221,0.0004468657332195,0,0,0,0
2.33,35,0.0074777683984107,0.0005187069717799,0,0,0,0
2.4,36,0.0094248917062341,0.0008359512539953,0,0,0,0
2.47,37,0.0089055466195243,0.0060159367582404,0,0,0,0
2.53,38,0.0113610793612833,0.0121829871239259,0,0,0,0
2.6,39,0.0121453172894385,0.0113151048520687,0,0,0,0
2.67,40,0.0089343393578266,0.0087177359310808,0,0,0,0
2.73,41,0.0039313990003215,0.0048238264860926,0,0,0,0
2.8,42,0.0083447833747468,0.0012300968215628,0,0,0,0
2.87,43,0.0117985954347689,0.0015457766971324,0,0,0,0
2.93,44,0.0128783055506576,0.0063701578384957,0,0,0,0
3.0,45,0.0153984931347831,0.0115871810738033,0,0,0,0
3.07,46,0.0156548835404926,0.0140383943037676,0,0,0,0
3.13,47,0.0122865593500376,0.0121198568087564,0,0,0,0
3.2,48,0.0111009165130805,0.008218304505713,0,0,0,0
3.27,49,0.0117563780535896,0.0060553586657583,0,0,0,0
3.33,50,0.0176652148385885,0.0092967494782396,0,0,0,0
3.4,51,0.0196141728098469,0.0139128864152909,0,0,0,0
3.47,52,0.0190435906109004,0.0187699740355609,0,0,0,0
3.53,53,0.0207891319477756,0.0180624233905772,0,0,0,0
3.6,54,0.0219187753160218,0.0202490871659156,0,0,0,0
3.67,55,0.0194603864581654,0.0190094665873382,0,0,0,0
3.73,56,0.0138974941818236,0.0118119846105469,0,0,0,0
3.8,57,0.003874764776078,0.0018754502092118,0,0,0,0
3.87,58,0.002817740847781,0.0010400117875085,0,0,0,0
3.93,59,0.0144673658625897,0.0002114653602838,0,0,0,0
4.0,60,0.0150257770749023,0.0009404905284397,0,0,0,0
4.07,61,0.0111135549691569,0.0050294000386853,0,0,0,0
4.13,62,0.0132123419954047,0.01149917239235,0,0,0,0
4.2,63,0.0100130990196887,0.0129378796487169,0,0,0,0
4.27,64,0.0023146103900453,0.0091080429047282,0,0,0,0
4.33,65,0.0019197264004716,0.0061808777853733,0,0,0,0
4.4,66,0.0053147061881814,0.0038837657860493,0,0,0,0
4.47,67,0.007275855865184,0.0015431056957592,0,0,0,0
4.53,68,0.0059066424047828,0.0004897600071193,0,0,0,0
4.6,69,0.0012810649122423,0.00095179218981,0,0,0,0
4.67,70,0.0003445986397573,0.0003050668432256,0,0,0,0
4.73,71,0.0009541307689139,0.0002410280259918,0,0,0,0
4.8,72,0.0012622999104045,0.0004278575603725,0,0,0,0
4.87,73,0.0011351607087314,0.0018056399166211,0,0,0,0
4.93,74,0.0022348216842816,0.0017915814173358,0,0,0,0
5.0,75,0.0043176453178059,0.000146430658484,0,0,0,0
