Frame,obj_1,obj_2
431,0.01,0.02
432,0.01,0.02
433,0.01,0.02
434,0.01,0.02
435,0.01,0.02
436,0.01,0.01
437,0.01,0.01
438,0.01,0.01
439,0.01,0.01
440,0.01,0.01
441,0.01,0.01
442,0.01,0.01
443,0.01,0.01
444,0.01,0.01
445,0.01,0.01
446,0.01,0.02
447,0.01,0.02
448,0.01,0.02
449,0.01,0.02
450,0.01,0.02
451,0.02,0.02
452,0.02,0.02
453,0.01,0.02
454,0.01,0.02
455,0.01,0.02
456,0.01,0.02
457,0.01,0.02
458,0.01,0.02
459,0.01,0.02
460,0.01,0.02
461,0.01,0.02
462,0.01,0.02
463,0.01,0.02
464,0.01,0.02
465,0.01,0.02
466,0.01,0.02
467,0.01,0.02
468,0.01,0.02
469,0.01,0.02
470,0.01,0.02
471,0.01,0.02
472,0.01,0.02
473,0.01,0.02
474,0.01,0.02
475,0.01,0.02
476,0.01,0.02
477,0.01,0.02
478,0.01,0.02
479,0.01,0.02
480,0.01,0.02
481,0.01,0.02
482,0.01,0.02
483,0.01,0.02
484,0.01,0.02
485,0.01,0.02
486,0.01,0.02
487,0.01,0.02
488,0.01,0.02
489,0.01,0.02
490,0.01,0.02
491,0.01,0.02
492,0.01,0.02
493,0.01,0.02
494,0.01,0.02
495,0.01,0.02
496,0.01,0.02
497,0.01,0.02
498,0.01,0.02
499,0.01,0.02
500,0.01,0.02
501,0.01,0.02
502,0.01,0.02
503,0.01,0.02
504,0.01,0.02
505,0.01,0.02
506,0.01,0.02
507,0.01,0.02
508,0.01,0.02
509,0.01,0.02
510,0.01,0.02
511,0.01,0.02
512,0.01,0.02
513,0.01,0.02
514,0.01,0.02
515,0.01,0.02
516,0.01,0.02
517,0.01,0.02
518,0.01,0.02
519,0.01,0.02
520,0.01,0.02
521,0.01,0.02
522,0.01,0.02
523,0.01,0.02
524,0.01,0.02
525,0.01,0.02
526,0.01,0.02
527,0.01,0.02
528,0.01,0.02
529,0.01,0.02
530,0.01,0.02
531,0.01,0.02
532,0.01,0.02
533,0.01,0.02
534,0.01,0.02
535,0.01,0.02
536,0.01,0.02
537,0.01,0.02
538,0.01,0.02
539,0.01,0.02
540,0.01,0.02
541,0.01,0.02
542,0.01,0.02
543,0.01,0.02
544,0.01,0.02
545,0.01,0.02
546,0.01,0.02
547,0.01,0.02
548,0.01,0.02
549,0.01,0.02
550,0.01,0.02
551,0.01,0.02
552,0.01,0.02
553,0.01,0.02
554,0.01,0.02
555,0.01,0.02
556,0.01,0.02
557,0.01,0.02
558,0.01,0.02
559,0.01,0.02
560,0.01,0.02
561,0.01,0.02
562,0.01,0.02
563,0.01,0.02
564,0.01,0.02
565,0.01,0.02
566,0.01,0.02
567,0.01,0.02
568,0.01,0.02
569,0.01,0.02
570,0.01,0.02
571,0.01,0.02
572,0.01,0.02
573,0.01,0.02
574,0.01,0.02
575,0.01,0.02
576,0.01,0.02
577,0.01,0.02
578,0.01,0.02
579,0.01,0.02
580,0.01,0.02
581,0.01,0.02
582,0.01,0.02
583,0.01,0.02
584,0.01,0.02
585,0.01,0.02
586,0.01,0.02
587,0.01,0.02
588,0.01,0.02
589,0.01,0.02
590,0.01,0.02
591,0.01,0.02
592,0.02,0.02
593,0.02,0.02
594,0.02,0.02
595,0.02,0.02
596,0.02,0.02
597,0.02,0.02
598,0.02,0.02
599,0.02,0.02
600,0.01,0.02
601,0.01,0.02
602,0.01,0.02
603,0.01,0.02
604,0.01,0.02
605,0.01,0.02
606,0.01,0.02
607,0.01,0.02
608,0.01,0.02
609,0.01,0.02
610,0.01,0.02
611,0.01,0.02
612,0.01,0.02
613,0.02,0.02
614,0.02,0.02
615,0.02,0.02
616,0.03,0.02
617,0.04,0.02
618,0.07,0.02
619,0.14,0.02
620,0.29,0.02
621,0.52,0.02
622,0.87,0.02
623,0.99,0.02
624,1.0,0.02
625,1.0,0.02
626,1.0,0.02
627,1.0,0.02
628,1.0,0.02
629,1.0,0.02
630,1.0,0.02
631,1.0,0.02
632,1.0,0.02
633,1.0,0.02
634,1.0,0.02
635,1.0,0.02
636,1.0,0.02
637,1.0,0.02
638,1.0,0.02
639,1.0,0.02
640,1.0,0.02
641,1.0,0.02
642,1.0,0.02
643,1.0,0.02
644,1.0,0.02
645,1.0,0.02
646,1.0,0.02
647,1.0,0.02
648,1.0,0.02
649,1.0,0.02
650,1.0,0.02
651,0.99,0.02
652,0.72,0.02
653,0.04,0.02
654,0.02,0.02
655,0.02,0.02
656,0.02,0.02
657,0.02,0.02
658,0.02,0.02
659,0.02,0.02
660,0.02,0.02
661,0.02,0.02
662,0.02,0.02
663,0.02,0.02
664,0.02,0.02
665,0.02,0.02
666,0.02,0.02
667,0.02,0.02
668,0.02,0.02
669,0.02,0.02
670,0.02,0.02
671,0.02,0.02
672,0.02,0.02
673,0.02,0.02
674,0.02,0.02
675,0.02,0.02
676,0.02,0.02
677,0.02,0.02
678,0.02,0.02
679,0.02,0.02
680,0.02,0.02
681,0.02,0.02
682,0.02,0.02
683,0.01,0.02
684,0.01,0.02
685,0.01,0.02
686,0.01,0.02
687,0.02,0.02
688,0.02,0.02
689,0.02,0.02
690,0.02,0.02
691,0.02,0.02
692,0.02,0.02
693,0.02,0.02
694,0.02,0.02
695,0.02,0.02
696,0.02,0.02
697,0.02,0.02
698,0.02,0.02
699,0.02,0.02
700,0.02,0.02
701,0.02,0.02
702,0.02,0.02
703,0.02,0.02
704,0.02,0.02
705,0.02,0.02
706,0.02,0.02
707,0.02,0.02
708,0.02,0.02
709,0.02,0.02
710,0.02,0.02
711,0.02,0.02
712,0.02,0.02
713,0.02,0.02
714,0.02,0.02
715,0.02,0.02
716,0.02,0.02
717,0.01,0.02
718,0.01,0.02
719,0.01,0.02
720,0.01,0.02
721,0.01,0.02
722,0.01,0.02
723,0.01,0.02
724,0.01,0.02
725,0.01,0.02
726,0.01,0.02
727,0.01,0.02
728,0.01,0.02
729,0.01,0.02
730,0.01,0.02
731,0.01,0.02
732,0.01,0.02
733,0.01,0.02
734,0.01,0.02
735,0.01,0.02
736,0.01,0.02
737,0.02,0.02
738,0.02,0.02
739,0.02,0.02
740,0.02,0.02
741,0.02,0.02
742,0.02,0.02
743,0.02,0.02
744,0.03,0.02
745,0.03,0.02
746,0.03,0.02
747,0.04,0.03
748,0.05,0.03
749,0.05,0.03
750,0.06,0.03
751,0.06,0.03
752,0.07,0.03
753,0.07,0.03
754,0.07,0.03
755,0.06,0.03
756,0.05,0.03
757,0.04,0.03
758,0.03,0.02
759,0.02,0.02
760,0.02,0.02
761,0.02,0.02
762,0.02,0.01
763,0.02,0.01
764,0.02,0.01
765,0.01,0.01
766,0.01,0.01
767,0.02,0.01
768,0.02,0.01
769,0.02,0.02
770,0.02,0.02
