Frame,obj_1,obj_2
319,0.01,0.01
320,0.01,0.01
321,0.01,0.02
322,0.01,0.02
323,0.01,0.02
324,0.01,0.02
325,0.01,0.02
326,0.01,0.02
327,0.01,0.02
328,0.01,0.02
329,0.01,0.02
330,0.01,0.02
331,0.01,0.01
332,0.01,0.01
333,0.01,0.01
334,0.01,0.01
335,0.01,0.01
336,0.01,0.01
337,0.01,0.01
338,0.01,0.01
339,0.01,0.01
340,0.01,0.01
341,0.01,0.01
342,0.01,0.01
343,0.01,0.01
344,0.01,0.01
345,0.01,0.01
346,0.01,0.01
347,0.01,0.01
348,0.01,0.01
349,0.01,0.01
350,0.01,0.01
351,0.01,0.01
352,0.01,0.01
353,0.01,0.01
354,0.01,0.01
355,0.01,0.01
356,0.01,0.01
357,0.01,0.01
358,0.01,0.01
359,0.01,0.01
360,0.01,0.01
361,0.01,0.01
362,0.01,0.01
363,0.01,0.01
364,0.01,0.01
365,0.01,0.01
366,0.01,0.01
367,0.01,0.01
368,0.01,0.01
369,0.01,0.01
370,0.01,0.01
371,0.01,0.01
372,0.01,0.01
373,0.01,0.01
374,0.01,0.01
375,0.01,0.01
376,0.01,0.01
377,0.01,0.01
378,0.01,0.01
379,0.01,0.01
380,0.01,0.01
381,0.01,0.01
382,0.01,0.01
383,0.01,0.01
384,0.01,0.01
385,0.01,0.01
386,0.01,0.01
387,0.01,0.01
388,0.01,0.01
389,0.01,0.01
390,0.01,0.01
391,0.01,0.01
392,0.01,0.01
393,0.01,0.01
394,0.01,0.01
395,0.01,0.01
396,0.01,0.01
397,0.01,0.01
398,0.01,0.01
399,0.01,0.01
400,0.01,0.01
401,0.01,0.01
402,0.01,0.01
403,0.01,0.01
404,0.01,0.01
405,0.01,0.01
406,0.01,0.01
407,0.01,0.01
408,0.01,0.01
409,0.01,0.01
410,0.01,0.02
411,0.01,0.02
412,0.01,0.02
413,0.01,0.02
414,0.01,0.02
415,0.01,0.02
416,0.01,0.02
417,0.01,0.02
418,0.01,0.02
419,0.01,0.02
420,0.01,0.02
421,0.01,0.02
422,0.01,0.02
423,0.01,0.02
424,0.01,0.02
425,0.01,0.02
426,0.01,0.02
427,0.01,0.02
428,0.01,0.02
429,0.01,0.02
430,0.01,0.02
431,0.01,0.02
432,0.01,0.02
433,0.01,0.02
434,0.01,0.02
435,0.01,0.02
436,0.01,0.02
437,0.01,0.02
438,0.01,0.02
439,0.01,0.02
440,0.01,0.02
441,0.01,0.02
442,0.01,0.02
443,0.01,0.02
444,0.01,0.02
445,0.01,0.02
446,0.01,0.02
447,0.01,0.02
448,0.01,0.02
449,0.01,0.02
450,0.01,0.02
451,0.01,0.02
452,0.01,0.02
453,0.01,0.02
454,0.01,0.02
455,0.01,0.02
456,0.01,0.02
457,0.01,0.02
458,0.01,0.02
459,0.01,0.02
460,0.01,0.02
461,0.01,0.02
462,0.01,0.02
463,0.01,0.02
464,0.01,0.02
465,0.01,0.02
466,0.01,0.02
467,0.01,0.02
468,0.01,0.02
469,0.01,0.02
470,0.01,0.02
471,0.01,0.02
472,0.01,0.02
473,0.01,0.02
474,0.01,0.02
475,0.01,0.02
476,0.01,0.02
477,0.01,0.02
478,0.01,0.02
479,0.01,0.02
480,0.01,0.02
481,0.01,0.02
482,0.01,0.02
483,0.01,0.02
484,0.01,0.02
485,0.01,0.02
486,0.01,0.02
487,0.01,0.02
488,0.01,0.02
489,0.01,0.02
490,0.01,0.02
491,0.01,0.02
492,0.01,0.02
493,0.01,0.02
494,0.01,0.02
495,0.01,0.02
496,0.01,0.02
497,0.01,0.02
498,0.01,0.02
499,0.01,0.02
500,0.02,0.02
501,0.02,0.02
502,0.02,0.02
503,0.02,0.02
504,0.02,0.02
505,0.02,0.02
506,0.02,0.02
507,0.02,0.02
508,0.02,0.02
509,0.02,0.02
510,0.02,0.02
511,0.03,0.02
512,0.03,0.02
513,0.03,0.02
514,0.04,0.03
515,0.05,0.03
516,0.06,0.03
517,0.07,0.03
518,0.08,0.03
519,0.1,0.03
520,0.13,0.03
521,0.15,0.03
522,0.18,0.03
523,0.21,0.03
524,0.22,0.03
525,0.21,0.03
526,0.22,0.03
527,0.21,0.03
528,0.18,0.03
529,0.16,0.03
530,0.09,0.03
531,0.05,0.03
532,0.04,0.03
533,0.03,0.03
534,0.03,0.03
535,0.02,0.03
536,0.02,0.03
537,0.02,0.03
538,0.02,0.03
539,0.02,0.03
540,0.02,0.03
541,0.02,0.03
542,0.03,0.03
543,0.02,0.03
544,0.02,0.02
545,0.02,0.02
546,0.02,0.02
547,0.02,0.02
548,0.02,0.02
549,0.02,0.01
550,0.02,0.01
551,0.02,0.01
552,0.02,0.01
553,0.02,0.01
554,0.02,0.01
555,0.01,0.01
556,0.01,0.01
557,0.01,0.01
558,0.01,0.01
559,0.01,0.01
560,0.01,0.01
561,0.01,0.01
562,0.01,0.01
563,0.01,0.01
564,0.01,0.01
565,0.01,0.01
566,0.01,0.01
567,0.02,0.01
568,0.02,0.01
569,0.02,0.01
570,0.02,0.01
571,0.02,0.01
572,0.02,0.01
573,0.02,0.01
574,0.02,0.01
575,0.02,0.01
576,0.02,0.01
577,0.02,0.01
578,0.02,0.01
579,0.02,0.01
580,0.02,0.01
581,0.02,0.01
582,0.02,0.01
583,0.02,0.01
584,0.02,0.01
585,0.02,0.01
586,0.02,0.01
587,0.02,0.01
588,0.02,0.01
589,0.02,0.01
590,0.01,0.01
591,0.01,0.02
592,0.01,0.02
593,0.01,0.02
594,0.01,0.02
595,0.01,0.02
596,0.02,0.02
597,0.02,0.03
598,0.02,0.03
599,0.02,0.03
600,0.02,0.03
601,0.02,0.03
602,0.02,0.03
603,0.02,0.03
604,0.02,0.03
605,0.02,0.03
606,0.02,0.03
607,0.02,0.03
608,0.02,0.03
609,0.02,0.03
610,0.02,0.03
611,0.02,0.03
612,0.02,0.03
613,0.02,0.03
614,0.02,0.03
615,0.02,0.03
616,0.02,0.03
617,0.02,0.03
618,0.02,0.03
619,0.02,0.03
620,0.02,0.03
621,0.02,0.03
622,0.03,0.03
623,0.03,0.03
624,0.03,0.03
625,0.03,0.03
626,0.03,0.03
627,0.03,0.03
628,0.03,0.03
629,0.02,0.03
630,0.02,0.03
631,0.02,0.02
632,0.02,0.02
633,0.02,0.02
634,0.02,0.02
635,0.02,0.02
636,0.02,0.02
637,0.02,0.02
638,0.02,0.02
639,0.02,0.02
640,0.02,0.02
641,0.02,0.02
642,0.02,0.02
643,0.02,0.02
644,0.02,0.02
645,0.02,0.02
646,0.02,0.02
647,0.02,0.02
648,0.02,0.02
649,0.02,0.02
650,0.02,0.02
651,0.02,0.02
652,0.02,0.02
653,0.02,0.02
654,0.02,0.02
655,0.01,0.02
656,0.01,0.02
657,0.01,0.02
658,0.01,0.02
659,0.01,0.02
660,0.02,0.02
661,0.02,0.02
662,0.02,0.02
663,0.02,0.02
664,0.02,0.02
665,0.02,0.02
666,0.02,0.02
667,0.02,0.02
668,0.01,0.02
669,0.01,0.02
670,0.01,0.02
671,0.01,0.02
672,0.01,0.02
673,0.01,0.02
674,0.01,0.02
675,0.01,0.02
676,0.01,0.02
677,0.01,0.02
678,0.01,0.02
679,0.01,0.02
680,0.01,0.02
681,0.01,0.02
682,0.01,0.02
683,0.01,0.02
684,0.01,0.02
685,0.01,0.02
686,0.01,0.02
687,0.01,0.02
688,0.01,0.02
689,0.01,0.02
690,0.01,0.02
691,0.01,0.02
692,0.01,0.02
693,0.01,0.02
694,0.01,0.02
695,0.01,0.02
696,0.01,0.02
697,0.01,0.02
698,0.01,0.02
699,0.01,0.02
700,0.01,0.02
701,0.01,0.02
702,0.01,0.02
703,0.01,0.02
704,0.01,0.02
705,0.01,0.02
706,0.01,0.02
707,0.01,0.02
708,0.01,0.02
709,0.01,0.02
710,0.01,0.02
711,0.01,0.02
712,0.01,0.02
713,0.01,0.02
714,0.01,0.02
715,0.01,0.02
716,0.01,0.02
717,0.01,0.02
718,0.01,0.02
719,0.01,0.02
720,0.01,0.02
721,0.01,0.02
722,0.01,0.02
723,0.01,0.02
