Time,Frame,nose_dist,body_dist,freezing,darting,Homecage,Known
0.07,1,0.0,0.0,0,0,0,0
0.13,2,0.0,0.0,0,0,0,0
0.2,3,0.0,0.0,0,0,0,0
0.27,4,0.0,0.0,0,0,0,0
0.33,5,0.0,0.0,0,0,0,0
0.4,6,0.0,0.0,0,0,0,0
0.47,7,0.0,0.0,0,0,0,0
0.53,8,0.0,0.0,0,0,0,0
0.6,9,0.0,0.0,0,0,0,0
0.67,10,0.0,0.0,0,0,0,0
0.73,11,0.0,0.0,0,0,0,0
0.8,12,0.0,0.0,0,0,0,0
0.87,13,0.0,0.0,0,0,0,0
0.93,14,0.0,0.0,0,0,0,0
1.0,15,0.0,0.0,0,0,0,0
1.07,16,0.0,0.0,0,0,0,0
1.13,17,0.0,0.0,0,0,0,0
1.2,18,0.0,0.0,0,0,0,0
1.27,19,0.0,0.0,0,0,0,0
1.33,20,0.0,0.0,0,0,0,0
1.4,21,0.0,0.0,0,0,0,0
1.47,22,0.0,0.0,0,0,0,0
1.53,23,0.0,0.0,0,0,0,0
1.6,24,0.0,0.0,0,0,0,0
1.67,25,0.0,0.0,0,0,0,0
1.73,26,0.0,0.0,0,0,0,0
1.8,27,0.0,0.0,0,0,0,0
1.87,28,0.0,0.0,0,0,0,0
1.93,29,0.0,0.0,0,0,0,0
2.0,30,0.0,0.0,0,0,0,0
2.07,31,0.0,0.0,0,0,0,0
2.13,32,0.0056382672857532,0.0028744595958962,0,0,0,0
2.2,33,0.0044311594566296,0.003546353075194,0,0,0,0
2.27,34,0.0046274633822839,0.0043157198497231,0,0,0,0
2.33,35,0.0059856802093615,0.0053157445729567,0,0,0,0
2.4,36,0.0053463508093716,0.004964898913272,0,0,0,0
2.47,37,0.0041335960765607,0.0036033981833312,0,0,0,0
2.53,38,0.0030160329003433,0.0025652043137255,0,0,0,0
2.6,39,0.0026626606886911,0.0013974741376401,0,0,0,0
2.67,40,0.0027105721949107,0.0010377780627128,0,0,0,0
2.73,41,0.0036031093006713,0.0018964109453263,0,0,0,0
2.8,42,0.0092275363365973,0.0048669454148963,0,0,0,0
2.87,43,0.0148330255440379,0.0101982534505159,0,0,0,0
2.93,44,0.0180783690989616,0.016093700019881,0,0,0,0
3.0,45,0.0183997927463654,0.0183311390374448,0,0,0,0
3.07,46,0.0192019705552996,0.0177429171696557,0,0,0,0
3.13,47,0.0184299813115,0.0176769625313724,0,0,0,0
3.2,48,0.0127665181668951,0.0122977491352751,0,0,0,0
3.27,49,0.0027611651487977,0.0061546550398376,0,0,0,0
3.33,50,0.0025445355748994,0.0022759207530891,0,0,0,0
3.4,51,0.0047578997954618,0.0016597832300563,0,0,0,0
3.47,52,0.0031299705986429,0.0008677233691364,0,0,0,0
3.53,53,0.0025860210803721,0.0006630511055701,0,0,0,0
3.6,54,0.0012692147399555,9.117908176160316e-05,0,0,0,0
3.67,55,0.0051306267401375,0.0021171078150749,0,0,0,0
3.73,56,0.0100730561714637,0.007079631625588,0,0,0,0
3.8,57,0.0118696716284448,0.0077936426824551,0,0,0,1
3.87,58,0.0097280399779619,0.0052732699625125,0,0,0,1
3.93,59,0.0034277977787564,0.0017061027281193,0,0,0,1
4.0,60,0.0020932922562756,0.0008200458333493,0,0,0,1
4.07,61,0.0053539449442926,0.0004620104206453,0,0,0,1
4.13,62,0.0062994820018243,0.0010321747741983,0,0,0,1
4.2,63,0.0055506519411447,0.0010590507695566,0,0,0,1
4.27,64,0.0050643004624142,0.0014241392014172,0,0,0,1
4.33,65,0.0034966966504546,0.0011081213823654,0,0,0,1
4.4,66,0.0028127254784599,0.0014235972492676,0,0,0,1
4.47,67,0.0003167223423144,0.0010607248062445,0,0,0,1
4.53,68,0.0032214442485184,0.0002392179792493,0,0,0,1
4.6,69,0.0017657195152491,0.0003342935410299,0,0,0,1
4.67,70,0.0016265636814478,0.0002238924063077,0,0,0,1
4.73,71,0.0033784082486869,0.0012713041880554,0,0,0,1
4.8,72,0.0033106451475669,0.0013511500624766,0,0,0,1
4.87,73,0.004206392454378,0.0016170546974218,0,0,0,1
4.93,74,0.0032637418966311,0.0021113594524478,0,0,0,1
5.0,75,0.0018564229930108,0.0012956516448536,0,0,0,1
