Time,Frame,nose_dist,body_dist,freezing,darting,Known,Homecage
0.07,1,0.0,0.0,0,0,0,0
0.13,2,0.0,0.0,0,0,0,0
0.2,3,0.0,0.0,0,0,0,0
0.27,4,0.0,0.0,0,0,0,0
0.33,5,0.0,0.0,0,0,0,0
0.4,6,0.0,0.0,0,0,0,0
0.47,7,0.0,0.0,0,0,0,0
0.53,8,0.0,0.0,0,0,0,0
0.6,9,0.0,0.0,0,0,0,0
0.67,10,0.0,0.0,0,0,0,0
0.73,11,0.0,0.0,0,0,0,0
0.8,12,0.0,0.0,0,0,0,0
0.87,13,0.0,0.0,0,0,0,0
0.93,14,0.0,0.0,0,0,0,0
1.0,15,0.0,0.0,0,0,0,0
1.07,16,0.0,0.0,0,0,0,0
1.13,17,0.0,0.0,0,0,0,0
1.2,18,0.0,0.0,0,0,0,0
1.27,19,0.0,0.0,0,0,0,0
1.33,20,0.0,0.0,0,0,0,0
1.4,21,0.0,0.0,0,0,0,0
1.47,22,0.0,0.0,0,0,0,0
1.53,23,0.0,0.0,0,0,0,0
1.6,24,0.0,0.0,0,0,0,0
1.67,25,0.0,0.0,0,0,0,0
1.73,26,0.0,0.0,0,0,0,0
1.8,27,0.0,0.0,0,0,0,0
1.87,28,0.0,0.0,0,0,0,0
1.93,29,0.0,0.0,0,0,0,0
2.0,30,0.0,0.0,0,0,0,0
2.07,31,0.0,0.0,0,0,0,0
2.13,32,0.0226465874200569,0.0213916166125257,0,0,0,0
2.2,33,0.0177356619155542,0.0188365560819146,0,0,0,0
2.27,34,0.018704118470552,0.019559396527686,0,0,0,0
2.33,35,0.0186096451123968,0.0186478708226945,0,0,0,0
2.4,36,0.0176932260296622,0.0178724479341006,0,0,0,0
2.47,37,0.0156128100981928,0.0147860767647558,0,0,0,0
2.53,38,0.0124945457577211,0.0109675775614311,0,0,1,0
2.6,39,0.0102398506153421,0.0102098680948691,0,0,1,0
2.67,40,0.0100620304832333,0.0095492134760858,0,0,1,0
2.73,41,0.0096833087576772,0.0075019499180559,0,0,1,0
2.8,42,0.0058515891701798,0.0041140625146846,0,0,1,0
2.87,43,0.0017233685053968,0.0019208957469345,0,0,1,0
2.93,44,0.0020502792888304,0.0004702409763004,0,0,1,0
3.0,45,0.0005546550720089,5.873247510708031e-05,0,0,1,0
3.07,46,0.0003269090930148,8.173642462420493e-05,0,0,1,0
3.13,47,0.000839437560711,0.0001334668410018,0,0,1,0
3.2,48,0.0018604049106718,0.000542374873224,0,0,1,0
3.27,49,0.0042915337056021,0.0012352367700202,0,0,1,0
3.33,50,0.0103373591671839,0.0017625029749359,0,0,0,0
3.4,51,0.0113654130022494,0.0011925685325528,0,0,0,0
3.47,52,0.0126047956328681,0.0001598321866309,0,0,0,0
3.53,53,0.0096273579970447,0.0007236993304531,0,0,0,0
3.6,54,0.0072633013458746,0.0028916298556326,0,0,0,0
3.67,55,0.0067385201303379,0.0054345843961156,0,0,0,0
3.73,56,0.0053449533950685,0.00587358296813,0,0,0,0
3.8,57,0.0069035783847366,0.0085284376079574,0,0,0,0
3.87,58,0.0099695529030615,0.0084843549419897,0,0,0,0
3.93,59,0.0099220782650178,0.0087057677048622,0,0,0,0
4.0,60,0.0092801494989086,0.0088254726043844,0,0,0,0
4.07,61,0.0097409569964564,0.0069171504150679,0,0,0,0
4.13,62,0.0100222931932795,0.0026197990600177,0,0,0,0
4.2,63,0.0076690967777352,0.0006486736731906,0,0,0,0
4.27,64,0.0043931404360979,0.0001208122799291,0,0,0,0
4.33,65,0.0011462021289493,0.0001905438738096,0,0,0,0
4.4,66,0.0024745569626424,0.0004011153392193,0,0,0,0
4.47,67,0.0050203648608939,0.0012224435687606,0,0,1,0
4.53,68,0.0034031076289721,0.0013447032174034,0,0,1,0
4.6,69,0.0013409498706497,0.0013394771209624,0,0,1,0
4.67,70,0.0011679311018996,0.0009681281169409,0,0,1,0
4.73,71,0.0015328693740755,0.0003423507872214,0,0,1,0
4.8,72,0.0006975319998941,0.0004856340181549,0,0,1,0
4.87,73,4.944334131737364e-05,0.0002723561095168,0,0,1,0
4.93,74,0.0004409727381157,0.000665156107355,0,0,1,0
5.0,75,0.0003053118776624,0.0001637358800411,0,0,1,0
