Time,Frame,nose_dist,body_dist,freezing,darting,Homecage,Known
0.07,1,0.0,0.0,0,0,0,0
0.13,2,0.0,0.0,0,0,0,0
0.2,3,0.0,0.0,0,0,0,0
0.27,4,0.0,0.0,0,0,0,0
0.33,5,0.0,0.0,0,0,0,1
0.4,6,0.0,0.0,0,0,0,0
0.47,7,0.0,0.0,0,0,0,0
0.53,8,0.0,0.0,0,0,0,0
0.6,9,0.0,0.0,0,0,0,0
0.67,10,0.0,0.0,0,0,0,0
0.73,11,0.0,0.0,0,0,0,0
0.8,12,0.0,0.0,0,0,0,0
0.87,13,0.0,0.0,0,0,0,0
0.93,14,0.0,0.0,0,0,0,0
1.0,15,0.0,0.0,0,0,0,0
1.07,16,0.0,0.0,0,0,0,0
1.13,17,0.0,0.0,0,0,0,0
1.2,18,0.0,0.0,0,0,0,0
1.27,19,0.0,0.0,0,0,0,0
1.33,20,0.0,0.0,0,0,0,0
1.4,21,0.0,0.0,0,0,0,0
1.47,22,0.0,0.0,0,0,0,0
1.53,23,0.0,0.0,0,0,0,0
1.6,24,0.0,0.0,0,0,0,0
1.67,25,0.0,0.0,0,0,0,0
1.73,26,0.0,0.0,0,0,0,0
1.8,27,0.0,0.0,0,0,0,0
1.87,28,0.0,0.0,0,0,0,0
1.93,29,0.0,0.0,0,0,0,0
2.0,30,0.0,0.0,0,0,0,0
2.07,31,0.0,0.0,0,0,0,0
2.13,32,0.0115321075637824,0.0145175159616028,0,0,0,0
2.2,33,0.0090588692696474,0.0084487542578156,0,0,0,0
2.27,34,0.0190041803566299,0.0168288137992783,0,0,0,0
2.33,35,0.0306011900528422,0.0313300685605136,0,0,0,0
2.4,36,0.0297285120221335,0.0289487229817352,0,0,0,0
2.47,37,0.0277442333531056,0.0250347739565517,0,0,0,0
2.53,38,0.0218446161975134,0.0215061023063774,0,0,0,0
2.6,39,0.0121942767247963,0.014275751095789,0,0,0,0
2.67,40,0.0043526674973286,0.0107259857439378,0,0,0,0
2.73,41,0.0065936695454746,0.0086379942926833,0,0,0,0
2.8,42,0.0156958963149066,0.0070794417797397,0,0,0,0
2.87,43,0.007163995890236,0.0049383374125064,0,0,0,0
2.93,44,0.0013571551897137,0.0044063046470937,0,0,0,0
3.0,45,0.0002254756227605,0.0047419116567473,0,0,0,0
3.07,46,0.0001259903505186,0.001396777253271,0,0,0,0
3.13,47,9.378076625423296e-05,0.0002882929310883,0,0,0,0
3.2,48,0.0001176796580277,0.0011165226489431,0,0,0,0
3.27,49,0.0001815875321774,0.000719466068265,0,0,0,0
3.33,50,0.0002929297138159,0.0004098402513593,0,0,0,0
3.4,51,0.0009026058026252,0.0004351358445543,0,0,0,0
3.47,52,0.0033703928364547,0.0013696316435927,0,0,0,0
3.53,53,0.0035500291178653,0.00114180057596,0,0,0,0
3.6,54,0.0018556251567349,0.0011169449095793,0,0,0,0
3.67,55,0.0056458810926308,0.0014160386860295,0,0,0,0
3.73,56,0.0034424264296574,0.0030238797488861,0,0,0,0
3.8,57,0.0012554848918097,0.000560686278996,0,0,0,0
3.87,58,0.0055237680852307,0.0007084357058312,0,0,0,0
3.93,59,0.0026752818871433,7.442953144374798e-05,0,0,0,0
4.0,60,0.0061459327236651,0.0016698362834749,0,0,0,0
4.07,61,0.0034303448548702,0.0044472425426131,0,0,0,0
4.13,62,0.0011917541711942,0.0026998819695647,0,0,0,0
4.2,63,0.0007307048297554,0.0016873833271998,0,0,0,0
4.27,64,0.0035698429557796,0.0013571136633431,0,0,0,0
4.33,65,0.0050895880112879,0.0044455767916057,0,0,0,0
4.4,66,0.0039726466457373,0.0063145874140981,0,0,0,0
4.47,67,0.0026387318287995,0.000826601046518,0,0,0,0
4.53,68,0.0043184827679499,0.0029843717978439,0,0,0,0
4.6,69,0.0002020296461306,0.0006701947581709,0,0,0,0
4.67,70,0.0032728109116521,0.0005393550108433,0,0,0,0
4.73,71,0.0011928096983977,0.0004489213383831,0,0,0,0
4.8,72,0.0045293223574274,0.0001343093973501,0,0,0,0
4.87,73,0.0041038037820452,0.0001868814328141,0,0,0,0
4.93,74,0.0047991981775506,0.0012472902283895,0,0,0,0
5.0,75,0.0047572291453214,0.0039069084028421,0,0,0,0
