Time,Frame,nose_dist,body_dist,freezing,darting,Homecage,Known
0.07,1,0.0,0.0,0,0,0,0
0.13,2,0.0,0.0,0,0,0,0
0.2,3,0.0,0.0,0,0,0,0
0.27,4,0.0,0.0,0,0,0,0
0.33,5,0.0,0.0,0,0,0,0
0.4,6,0.0,0.0,0,0,0,0
0.47,7,0.0,0.0,0,0,0,0
0.53,8,0.0,0.0,0,0,0,0
0.6,9,0.0,0.0,0,0,0,0
0.67,10,0.0,0.0,0,0,0,0
0.73,11,0.0,0.0,0,0,0,0
0.8,12,0.0,0.0,0,0,0,0
0.87,13,0.0,0.0,0,0,0,0
0.93,14,0.0,0.0,0,0,0,0
1.0,15,0.0,0.0,0,0,0,0
1.07,16,0.0,0.0,0,0,0,0
1.13,17,0.0,0.0,0,0,0,0
1.2,18,0.0,0.0,0,0,0,0
1.27,19,0.0,0.0,0,0,0,0
1.33,20,0.0,0.0,0,0,0,0
1.4,21,0.0,0.0,0,0,0,0
1.47,22,0.0,0.0,0,0,0,0
1.53,23,0.0,0.0,0,0,0,0
1.6,24,0.0,0.0,0,0,0,0
1.67,25,0.0,0.0,0,0,0,0
1.73,26,0.0,0.0,0,0,0,0
1.8,27,0.0,0.0,0,0,0,0
1.87,28,0.0,0.0,0,0,0,0
1.93,29,0.0,0.0,0,0,0,0
2.0,30,0.0,0.0,0,0,0,0
2.07,31,0.0,0.0,0,0,0,0
2.13,32,0.01512188218273,0.0148289051764757,0,0,0,0
2.2,33,0.0129048621105947,0.0123275197901865,0,0,0,0
2.27,34,0.0117941739228545,0.011925325833063,0,0,0,0
2.33,35,0.0114580628129226,0.0104987632102983,0,0,0,0
2.4,36,0.0068519220478247,0.0053633784020893,0,0,0,0
2.47,37,0.0010164661644616,0.0023685226350457,0,0,0,0
2.53,38,0.0047296550601177,0.0010604716305257,0,0,0,0
2.6,39,0.0131147767514137,0.0026616927683495,0,0,0,0
2.67,40,0.0142165636204407,0.0059798891827579,0,0,0,0
2.73,41,0.0162394841456424,0.0138492956952682,0,0,0,0
2.8,42,0.0182691912547689,0.0163641519846405,0,0,0,0
2.87,43,0.0182554597043402,0.0159253061295198,0,0,0,0
2.93,44,0.017213484884372,0.017681385133246,0,0,0,0
3.0,45,0.0173628260310943,0.0173244941123079,0,0,0,0
3.07,46,0.0180422555499143,0.0148088713487402,0,0,0,0
3.13,47,0.0150641545547163,0.0121130678598345,0,0,0,0
3.2,48,0.0092859133180512,0.0093270155327552,0,0,0,0
3.27,49,0.0083451666585266,0.0072516177544852,0,0,0,0
3.33,50,0.0064108140203961,0.0067495227449605,0,0,0,0
3.4,51,0.0021727828836651,0.0041766638820924,0,0,0,0
3.47,52,0.0031659373109339,0.0007662030630921,0,0,0,0
3.53,53,0.0025694106577118,0.0002304068272846,0,0,0,0
3.6,54,0.0011097149868324,0.0007180278835453,0,0,0,0
3.67,55,0.0015381505096589,0.0003307349490727,0,0,0,0
3.73,56,0.000885730295796,0.0006301806562554,0,0,0,0
3.8,57,0.0020515894625217,0.0011541016446477,0,0,0,0
3.87,58,0.0030071789665434,0.0006532966591149,0,0,0,0
3.93,59,0.0050691448267586,0.0013711860159356,0,0,0,0
4.0,60,0.0055775767766265,0.0002483762685865,0,0,0,0
4.07,61,0.0053672942538332,0.0019831816173375,0,0,0,0
4.13,62,0.0076483125545662,0.0054870753856437,0,0,0,0
4.2,63,0.0115388352663548,0.0101187102408455,0,0,0,0
4.27,64,0.0114188226048461,0.010422845242856,0,0,0,0
4.33,65,0.0077040990431979,0.0078991354270521,0,0,0,0
4.4,66,0.0060160265345985,0.0057031205253812,0,0,0,0
4.47,67,0.002762611263796,0.0039114482540854,0,0,0,0
4.53,68,0.0007835910852644,0.0025953075011715,0,0,0,0
4.6,69,0.000153236318223,0.0014850430185423,0,0,0,0
4.67,70,0.0012823590976813,0.0006313928207291,0,0,0,0
4.73,71,0.0044348219148389,8.047484651900863e-05,0,0,0,0
4.8,72,0.0048749201643837,0.0007605758147083,0,0,0,0
4.87,73,0.0041252833744218,0.0023979828180084,0,0,0,0
4.93,74,0.0027001399973422,0.002325331356491,0,0,0,0
5.0,75,0.0051116286937866,0.0025795616240389,0,0,0,0
