Time,Frame,nose_dist,body_dist,freezing,Novel,Known
0.04,1,0.0,0.0,0,0.0,0.01
0.08,2,0.0,0.0,0,0.01,0.0
0.12,3,0.0,0.0,0,0.01,0.0
0.16,4,0.0,0.0,0,0.01,0.0
0.2,5,0.0,0.0,0,0.01,0.0
0.24,6,0.0,0.0,0,0.01,0.01
0.28,7,0.0,0.0,0,0.01,0.0
0.32,8,0.0,0.0,0,0.01,0.0
0.36,9,0.0,0.0,0,0.01,0.0
0.4,10,0.0,0.0,0,0.02,0.0
0.44,11,0.0,0.0,0,0.05,0.0
0.48,12,0.0,0.0,0,0.17,0.0
0.52,13,0.0,0.0,0,0.47,0.0
0.56,14,0.0,0.0,0,0.76,0.0
0.6,15,0.0,0.0,0,0.87,0.01
0.64,16,0.0,0.0,0,0.92,0.01
0.68,17,0.0,0.0,0,0.92,0.01
0.72,18,0.0,0.0,0,0.91,0.01
0.76,19,0.0,0.0,0,0.81,0.01
0.8,20,0.0,0.0,0,0.23,0.01
0.84,21,0.0,0.0,0,0.03,0.01
0.88,22,0.0,0.0,0,0.02,0.01
0.92,23,0.0,0.0,0,0.01,0.01
0.96,24,0.0,0.0,0,0.01,0.01
1.0,25,0.0,0.0,0,0.0,0.01
1.04,26,0.0,0.0,0,0.01,0.01
1.08,27,0.0,0.0,0,0.01,0.01
1.12,28,0.0,0.0,0,0.01,0.01
1.16,29,0.0,0.0,0,0.01,0.01
1.2,30,0.0,0.0,0,0.01,0.01
1.24,31,0.0,0.0,0,0.01,0.02
1.28,32,0.0,0.0,0,0.01,0.04
1.32,33,0.0,0.0,0,0.01,0.21
1.36,34,0.0,0.0,0,0.01,0.69
1.4,35,0.0,0.0,0,0.01,0.89
1.44,36,0.0,0.0,0,0.01,0.92
1.48,37,0.0,0.0,0,0.01,0.93
1.52,38,0.0,0.0,0,0.01,0.94
1.56,39,0.0,0.0,0,0.01,0.94
1.6,40,0.0,0.0,0,0.01,0.94
1.64,41,0.0,0.0,0,0.01,0.95
1.68,42,0.0,0.0,0,0.01,0.95
1.72,43,0.0,0.0,0,0.01,0.94
1.76,44,0.0,0.0,0,0.01,0.94
1.8,45,0.0,0.0,0,0.01,0.93
1.84,46,0.0,0.0,0,0.01,0.86
1.88,47,0.0,0.0,0,0.01,0.22
1.92,48,0.0,0.0,0,0.01,0.04
1.96,49,0.0,0.0,0,0.01,0.02
2.0,50,0.0,0.0,0,0.01,0.01
2.04,51,0.0,0.0,0,0.01,0.01
2.08,52,0.0083969049300522,0.0100183364487426,0,0.01,0.0
2.12,53,0.0043639409874752,0.0048689562841581,0,0.01,0.0
2.16,54,0.0126944872167222,0.0134978582763986,0,0.01,0.0
2.2,55,0.0105798994141321,0.0100887014963506,0,0.01,0.0
2.24,56,0.0110112601393021,0.0088143984989009,0,0.01,0.0
2.28,57,0.0037255669557686,0.0024257358203233,0,0.01,0.0
2.32,58,0.0010881712865895,0.0005979764461905,0,0.01,0.0
2.36,59,0.0033048684152984,0.0022093788155293,0,0.01,0.0
2.4,60,0.0022282522759117,0.0021476429020363,0,0.01,0.0
2.44,61,0.0007276671875626,0.000649056066812,0,0.01,0.0
2.48,62,0.0001446252266826,0.0003277413524815,0,0.01,0.0
2.52,63,0.0002198622095631,0.0003382504524607,0,0.01,0.0
2.56,64,0.0008510736880767,0.0014971352878422,0,0.01,0.0
2.6,65,0.0015442795755519,0.002587169677884,0,0.01,0.0
2.64,66,0.004658311034209,0.0045985060778726,0,0.01,0.0
2.68,67,0.0020013082205121,0.0030690347594881,0,0.01,0.0
2.72,68,0.0010663706547067,0.0023580195728081,0,0.01,0.0
2.76,69,0.0002547852723251,0.0018504403490916,0,0.01,0.0
2.8,70,2.9278439728983582e-05,0.0020951883345024,0,0.01,0.0
2.84,71,0.0001239142765456,0.0004618265710562,0,0.01,0.0
2.88,72,0.0005306066426493,0.0002403916803933,0,0.01,0.0
2.92,73,0.0024818441122502,0.001175403528838,0,0.01,0.0
2.96,74,0.0032570552284995,0.0019525522324811,0,0.01,0.01
3.0,75,0.0023964359093606,0.0029943566451097,0,0.01,0.01
3.04,76,0.0004970450466145,0.0008870356684888,0,0.01,0.0
3.08,77,0.000721753833472,0.0006235463782994,0,0.01,0.0
3.12,78,0.0036214000812458,0.0028907151952258,0,0.01,0.0
3.16,79,0.008663589138106,0.0038938882886468,0,0.01,0.0
3.2,80,0.0150958439834513,0.003196354865251,0,0.01,0.01
3.24,81,0.0063510420007365,0.0006297176008527,0,0.01,0.01
3.28,82,0.0009579917618226,0.0002134413675576,0,0.01,0.01
3.32,83,0.0008906650451587,0.001198023960883,0,0.01,0.01
3.36,84,0.000870524000058,0.0018980845343741,0,0.01,0.01
3.4,85,0.0008047147311725,0.0009153940134935,0,0.01,0.01
3.44,86,0.0035838014130214,0.0027290156835584,0,0.01,0.01
3.48,87,0.0072583972447291,0.0057935944676344,0,0.01,0.01
3.52,88,0.0112214806688876,0.0089955474875557,0,0.01,0.01
3.56,89,0.0058140631747129,0.0050045378463064,0,0.01,0.0
3.6,90,0.0145267689399548,0.0133211848564338,0,0.01,0.0
3.64,91,0.0126011728166811,0.0127956799127879,0,0.01,0.01
3.68,92,0.0183776271692164,0.0188813839731768,0,0.0,0.01
3.72,93,0.0124794073728749,0.0125758915444481,0,0.0,0.01
3.76,94,0.0111368945615972,0.0109857049343847,0,0.0,0.0
3.8,95,0.0125672720864081,0.0128855484196471,0,0.0,0.0
3.84,96,0.0184501028383867,0.0183869959227023,0,0.01,0.0
