Time,Frame,nose_dist,body_dist,freezing,body,Left,Right
0.04,1,0.0,0.0,0,other,0,0
0.08,2,0.0,0.0,0,other,0,0
0.12,3,0.0,0.0,0,other,0,0
0.16,4,0.0,0.0,0,other,0,0
0.2,5,0.0,0.0,0,other,0,0
0.24,6,0.0,0.0,0,other,0,0
0.28,7,0.0,0.0,0,other,0,0
0.32,8,0.0,0.0,0,other,0,0
0.36,9,0.0,0.0,0,other,0,0
0.4,10,0.0,0.0,0,other,0,0
0.44,11,0.0,0.0,0,other,0,0
0.48,12,0.0,0.0,0,other,0,0
0.52,13,0.0,0.0,0,other,0,0
0.56,14,0.0,0.0,0,other,0,0
0.6,15,0.0,0.0,0,other,0,0
0.64,16,0.0,0.0,0,other,0,0
0.68,17,0.0,0.0,0,other,0,0
0.72,18,0.0,0.0,0,other,0,0
0.76,19,0.0,0.0,0,other,0,0
0.8,20,0.0,0.0,0,other,0,1
0.84,21,0.0,0.0,0,other,0,1
0.88,22,0.0,0.0,0,other,0,1
0.92,23,0.0,0.0,0,other,0,1
0.96,24,0.0,0.0,0,other,0,1
1.0,25,0.0,0.0,0,other,0,0
1.04,26,0.0,0.0,0,other,0,0
1.08,27,0.0,0.0,0,other,0,0
1.12,28,0.0,0.0,0,other,0,0
1.16,29,0.0,0.0,0,other,0,0
1.2,30,0.0,0.0,0,other,0,0
1.24,31,0.0,0.0,0,other,0,0
1.28,32,0.0,0.0,0,other,0,0
1.32,33,0.0,0.0,0,other,0,0
1.36,34,0.0,0.0,0,other,0,0
1.4,35,0.0,0.0,0,centre,0,0
1.44,36,0.0,0.0,0,centre,0,0
1.48,37,0.0,0.0,0,centre,0,0
1.52,38,0.0,0.0,0,centre,0,0
1.56,39,0.0,0.0,0,centre,0,0
1.6,40,0.0,0.0,0,centre,0,0
1.64,41,0.0,0.0,0,centre,0,0
1.68,42,0.0,0.0,0,centre,0,0
1.72,43,0.0,0.0,0,centre,0,0
1.76,44,0.0,0.0,0,centre,0,0
1.8,45,0.0,0.0,0,centre,0,0
1.84,46,0.0,0.0,0,centre,0,0
1.88,47,0.0,0.0,0,other,0,0
1.92,48,0.0,0.0,0,other,0,0
1.96,49,0.0,0.0,0,other,0,0
2.0,50,0.0,0.0,0,other,0,0
2.04,51,0.0,0.0,0,other,0,0
2.08,52,0.0,0.0,0,other,0,0
2.12,53,0.0,0.0,0,other,0,0
2.16,54,0.0,0.0,0,other,0,0
2.2,55,0.0,0.0,0,other,0,0
2.24,56,0.0,0.0,0,other,0,0
2.28,57,0.0,0.0,0,other,0,0
2.32,58,0.0,0.0,0,other,0,0
2.36,59,0.0,0.0,0,other,0,0
2.4,60,0.0,0.0,0,other,0,0
2.44,61,0.0,0.0,0,other,0,0
2.48,62,0.0021236777748367,0.0003887214929179,0,other,0,0
2.52,63,0.0018469736761307,0.0008168386106808,0,other,0,0
2.56,64,0.0021318008221517,0.0013528660531848,0,other,0,0
2.6,65,0.001453278138777,0.0009221013871667,0,other,0,0
2.64,66,0.0020179268800224,0.0009955443353587,0,other,0,0
2.68,67,0.0015909852313115,0.0016982174562195,0,other,0,0
2.72,68,0.0049435133056763,0.0015706206726302,0,other,0,0
2.76,69,0.0070970025948938,0.0016462426600213,0,other,0,0
2.8,70,0.004253110473912,0.0009458563207117,0,other,0,0
2.84,71,0.003730309967185,0.0011728020636098,0,other,0,0
2.88,72,0.0038447088908989,0.0016134922892559,0,other,0,0
2.92,73,0.0034286577080951,0.0020044877118748,0,other,0,0
2.96,74,0.0037139953998578,0.0024186480447961,0,other,0,0
3.0,75,0.0028087768901815,0.0007688593798515,0,other,0,0
3.04,76,0.0008121728681834,0.0001771938547996,0,other,0,0
3.08,77,0.0016873044681547,0.0003446715125366,0,other,0,0
3.12,78,0.0029650185770314,0.0013570422364018,0,other,0,0
3.16,79,0.0010903172790979,0.0012893168330287,0,other,0,0
3.2,80,0.0034540198179087,0.0027471152964131,0,other,0,0
3.24,81,0.0127128548228284,0.005729476626422,0,other,0,0
3.28,82,0.0300932817965342,0.0092134740302399,0,other,0,0
3.32,83,0.0216244671200655,0.0025956817342934,0,other,0,0
3.36,84,0.0121487523026282,0.0009007794253423,0,other,0,0
3.4,85,0.0080389137687156,0.0025941847323181,0,other,0,0
3.44,86,0.0069950552265426,0.0037256656186944,0,other,0,0
3.48,87,0.0085260224305173,0.0061197715486637,0,other,0,0
3.52,88,0.0108418034175958,0.0090796603145697,0,other,0,0
3.56,89,0.0055979842688945,0.0061801660817395,0,other,0,0
3.6,90,0.0046760010462754,0.0047101307002927,0,other,0,0
3.64,91,0.0053160805567819,0.0049971237128546,0,other,0,0
3.68,92,0.0034946571488006,0.0044286419392147,0,other,0,0
3.72,93,0.0051769825688041,0.0058055449349461,0,other,0,0
3.76,94,0.0094153324744387,0.009533166803756,0,other,0,0
3.8,95,0.0076471413827262,0.0084471209824284,0,other,0,0
3.84,96,0.0083687500903372,0.0078568085100913,0,other,0,0
3.88,97,0.0089445967020574,0.0094395406327499,0,other,0,0
3.92,98,0.0119563576492842,0.0124868184528606,0,other,0,0
3.96,99,0.0073878635544769,0.0052510688739368,0,other,0,0
4.0,100,0.0040628300469656,0.0036087861016177,0,other,0,0
4.04,101,0.0068470141797848,0.0079860662874338,0,other,0,0
4.08,102,0.0052045214038006,0.0063775481585254,0,other,0,0
4.12,103,0.0032893974821833,0.0029190231545137,0,other,0,0
4.16,104,0.0031914605141359,0.0023099970895284,0,other,0,0
4.2,105,0.0045477925601745,0.0030775692213929,0,other,0,0
