Time,Frame,nose_dist,body_dist,freezing,darting,Left,Right
0.04,1,0.0,0.0,0,0,0.0,0.0
0.08,2,0.0,0.0,0,0,0.0,0.0
0.12,3,0.0,0.0,0,0,0.0,0.0
0.16,4,0.0,0.0,0,0,0.0,0.0
0.2,5,0.0,0.0,0,0,0.0,0.0
0.24,6,0.0,0.0,0,0,0.0,0.0
0.28,7,0.0,0.0,0,0,0.0,0.0
0.32,8,0.0,0.0,0,0,0.0,0.0
0.36,9,0.0,0.0,0,0,0.0,0.0
0.4,10,0.0,0.0,0,0,0.0,0.0
0.44,11,0.0,0.0,0,0,0.0,0.0
0.48,12,0.0,0.0,0,0,0.0,0.0
0.52,13,0.0,0.0,0,0,0.0,0.0
0.56,14,0.0,0.0,0,0,0.0,0.0
0.6,15,0.0,0.0,0,0,0.0,0.0
0.64,16,0.0,0.0,0,0,0.0,0.0
0.68,17,0.0,0.0,0,0,0.0,0.0
0.72,18,0.0,0.0,0,0,0.0,0.01
0.76,19,0.0,0.0,0,0,0.0,0.01
0.8,20,0.0,0.0,0,0,0.0,0.04
0.84,21,0.0,0.0,0,0,0.0,0.07
0.88,22,0.0,0.0,0,0,0.0,0.11
0.92,23,0.0,0.0,0,0,0.0,0.16
0.96,24,0.0,0.0,0,0,0.0,0.2
1.0,25,0.0,0.0,0,0,0.0,0.25
1.04,26,0.0,0.0,0,0,0.0,0.25
1.08,27,0.0,0.0,0,0,0.0,0.22
1.12,28,0.0,0.0,0,0,0.0,0.16
1.16,29,0.0,0.0,0,0,0.0,0.07
1.2,30,0.0,0.0,0,0,0.0,0.03
1.24,31,0.0,0.0,0,0,0.0,0.01
1.28,32,0.0,0.0,0,0,0.0,0.01
1.32,33,0.0,0.0,0,0,0.0,0.01
1.36,34,0.0,0.0,0,0,0.0,0.0
1.4,35,0.0,0.0,0,0,0.0,0.0
1.44,36,0.0,0.0,0,0,0.0,0.0
1.48,37,0.0,0.0,0,0,0.0,0.0
1.52,38,0.0,0.0,0,0,0.0,0.0
1.56,39,0.0,0.0,0,0,0.0,0.0
1.6,40,0.0,0.0,0,0,0.0,0.0
1.64,41,0.0,0.0,0,0,0.0,0.0
1.68,42,0.0,0.0,0,0,0.0,0.0
1.72,43,0.0,0.0,0,0,0.0,0.0
1.76,44,0.0,0.0,0,0,0.0,0.0
1.8,45,0.0,0.0,0,0,0.0,0.0
1.84,46,0.0,0.0,0,0,0.0,0.0
1.88,47,0.0,0.0,0,0,0.0,0.0
1.92,48,0.0,0.0,0,0,0.0,0.0
1.96,49,0.0,0.0,0,0,0.0,0.0
2.0,50,0.0,0.0,0,0,0.0,0.0
2.04,51,0.0,0.0,0,0,0.0,0.0
2.08,52,0.0024616983056954,0.0016858272667728,0,0,0.0,0.0
2.12,53,0.0049117699174701,0.0045008543855349,0,0,0.0,0.0
2.16,54,0.0051886362289913,0.0040368417300892,0,0,0.0,0.0
2.2,55,0.0078798921083078,0.0064885890572344,0,0,0.0,0.0
2.24,56,0.0043669239636189,0.0089350281667678,0,0,0.0,0.0
2.28,57,0.0045049773388872,0.0052495538317394,0,0,0.0,0.0
2.32,58,0.0062459524647784,0.0056717220786625,0,0,0.0,0.0
2.36,59,0.0117240846988233,0.0116270920369016,0,0,0.0,0.0
2.4,60,0.0038156374425278,0.0038715971676587,0,0,0.0,0.0
2.44,61,0.0064777015217859,0.0065744438175605,0,0,0.0,0.0
2.48,62,0.0113475342663359,0.0118558001576877,0,0,0.0,0.0
2.52,63,0.0095409595369921,0.0108550545638032,0,0,0.0,0.0
2.56,64,0.0138269091858687,0.0150110400103677,0,0,0.0,0.0
2.6,65,0.0103834766610939,0.0106756444229671,0,0,0.0,0.0
2.64,66,0.0070401022861867,0.0056318260288399,0,0,0.0,0.0
2.68,67,0.0023372627318072,0.0020300219085032,0,0,0.01,0.0
2.72,68,0.005591561040391,0.0059253702328278,0,0,0.05,0.0
2.76,69,0.0080753815706403,0.0085057380188912,0,0,0.57,0.0
2.8,70,0.0027183360850174,0.0018841642694242,0,0,0.92,0.0
2.84,71,0.0013500455436144,0.000190539215062,0,0,0.96,0.0
2.88,72,0.0004781958698896,0.000126108347019,0,0,0.97,0.0
2.92,73,0.0008728151955333,0.0004423545198369,0,0,0.98,0.0
2.96,74,0.0005110429447839,0.000172740482268,0,0,0.98,0.0
3.0,75,0.0002841164968155,0.0001967406821651,0,0,0.98,0.0
3.04,76,0.0009893553492928,0.0003733359095518,0,0,0.98,0.0
3.08,77,0.0021658682966502,0.0004715161206479,0,0,0.98,0.0
3.12,78,0.0020914426847792,0.001542597564594,0,0,0.98,0.0
3.16,79,0.000736838682343,0.0003886449665439,0,0,0.98,0.0
3.2,80,0.000344693372219,5.488109445267863e-05,0,0,0.98,0.0
3.24,81,0.0001219142201362,2.1832347896241217e-05,0,0,0.98,0.0
3.28,82,0.0004063997143703,3.857143332189745e-05,0,0,0.98,0.0
3.32,83,0.000704074999771,4.777133021663716e-05,0,0,0.98,0.0
3.36,84,0.0009027441991194,9.206897632880296e-05,0,0,0.98,0.0
3.4,85,0.0016115748306161,0.0001802859266307,0,0,0.97,0.0
3.44,86,0.0059167102547989,0.0004671696708278,0,0,0.92,0.0
3.48,87,0.007985525759027,0.0015741044677235,0,0,0.28,0.0
3.52,88,0.0072859970947229,0.0022506125955742,0,0,0.04,0.0
3.56,89,0.0078122206609688,0.0042120079699445,0,0,0.01,0.0
3.6,90,0.0060281772032792,0.0054012464695768,0,0,0.01,0.0
3.64,91,0.0021285860571479,0.0018271346355245,0,0,0.0,0.0
