Time,Frame,nose_dist,body_dist,freezing,darting,Known,Novel
0.04,1,0.0,0.0,0,0,0.0,0.0
0.08,2,0.0,0.0,0,0,0.0,0.0
0.12,3,0.0,0.0,0,0,0.0,0.0
0.16,4,0.0,0.0,0,0,0.0,0.0
0.2,5,0.0,0.0,0,0,0.0,0.0
0.24,6,0.0,0.0,0,0,0.0,0.0
0.28,7,0.0,0.0,0,0,0.0,0.0
0.32,8,0.0,0.0,0,0,0.0,0.0
0.36,9,0.0,0.0,0,0,0.0,0.0
0.4,10,0.0,0.0,0,0,0.0,0.0
0.44,11,0.0,0.0,0,0,0.0,0.0
0.48,12,0.0,0.0,0,0,0.0,0.0
0.52,13,0.0,0.0,0,0,0.0,0.0
0.56,14,0.0,0.0,0,0,0.0,0.0
0.6,15,0.0,0.0,0,0,0.0,0.0
0.64,16,0.0,0.0,0,0,0.0,0.0
0.68,17,0.0,0.0,0,0,0.0,0.0
0.72,18,0.0,0.0,0,0,0.0,0.0
0.76,19,0.0,0.0,0,0,0.0,0.0
0.8,20,0.0,0.0,0,0,0.0,0.0
0.84,21,0.0,0.0,0,0,0.0,0.0
0.88,22,0.0,0.0,0,0,0.0,0.0
0.92,23,0.0,0.0,0,0,0.0,0.0
0.96,24,0.0,0.0,0,0,0.0,0.0
1.0,25,0.0,0.0,0,0,0.0,0.0
1.04,26,0.0,0.0,0,0,0.0,0.0
1.08,27,0.0,0.0,0,0,0.0,0.0
1.12,28,0.0,0.0,0,0,0.0,0.0
1.16,29,0.0,0.0,0,0,0.0,0.0
1.2,30,0.0,0.0,0,0,0.0,0.0
1.24,31,0.0,0.0,0,0,0.0,0.0
1.28,32,0.0,0.0,0,0,0.0,0.0
1.32,33,0.0,0.0,0,0,0.0,0.0
1.36,34,0.0,0.0,0,0,0.0,0.0
1.4,35,0.0,0.0,0,0,0.0,0.0
1.44,36,0.0,0.0,0,0,0.0,0.0
1.48,37,0.0,0.0,0,0,0.0,0.0
1.52,38,0.0,0.0,0,0,0.0,0.0
1.56,39,0.0,0.0,0,0,0.0,0.0
1.6,40,0.0,0.0,0,0,0.0,0.0
1.64,41,0.0,0.0,0,0,0.0,0.0
1.68,42,0.0,0.0,0,0,0.0,0.0
1.72,43,0.0,0.0,0,0,0.0,0.0
1.76,44,0.0,0.0,0,0,0.0,0.0
1.8,45,0.0,0.0,0,0,0.0,0.0
1.84,46,0.0,0.0,0,0,0.01,0.0
1.88,47,0.0,0.0,0,0,0.02,0.0
1.92,48,0.0,0.0,0,0,0.04,0.0
1.96,49,0.0,0.0,0,0,0.07,0.0
2.0,50,0.0,0.0,0,0,0.12,0.0
2.04,51,0.0,0.0,0,0,0.19,0.0
2.08,52,0.0004918983502029,0.0002176357153812,0,0,0.19,0.0
2.12,53,0.0020336749804407,5.01019799173541e-05,0,0,0.07,0.0
2.16,54,0.0041659297235683,1.3027678870560775e-05,0,0,0.02,0.0
2.2,55,0.0074819501350832,7.155107123665516e-05,0,0,0.01,0.0
2.24,56,0.0092012488386707,9.952743935095932e-05,0,0,0.0,0.0
2.28,57,0.005411880687563,0.0011800165680236,0,0,0.0,0.0
2.32,58,0.0064443407023503,0.005524102602495,0,0,0.0,0.0
2.36,59,0.005489407549838,0.0052112672858768,0,0,0.0,0.0
2.4,60,0.0044567251881655,0.0036954343797995,0,0,0.0,0.0
2.44,61,0.0048726059673173,0.0044052038528087,0,0,0.0,0.0
2.48,62,0.0068638367648194,0.0068388661419462,0,0,0.0,0.0
2.52,63,0.0104465224155068,0.0112059847243755,0,0,0.0,0.0
2.56,64,0.0081121845470156,0.008910670218826,0,0,0.0,0.0
2.6,65,0.0070557100049049,0.007828017780271,0,0,0.0,0.0
2.64,66,0.0070179396938049,0.0076192823038921,0,0,0.0,0.0
2.68,67,0.0041068677822267,0.0045921269067737,0,0,0.0,0.0
2.72,68,0.0046553263495789,0.003113968997993,0,0,0.0,0.0
2.76,69,0.001071818149406,0.0030983303269115,0,0,0.0,0.0
2.8,70,0.000191773095559,0.0024658944628834,0,0,0.0,0.0
2.84,71,0.000724975333343,0.0023065218105829,0,0,0.0,0.0
2.88,72,0.0011880389723305,0.0020924028828429,0,0,0.0,0.0
2.92,73,0.0029124643605713,0.0006170326130675,0,0,0.0,0.0
2.96,74,0.0007391737563695,0.0001867546453753,0,0,0.0,0.0
3.0,75,0.0002045207139696,0.0007209237721002,0,0,0.0,0.0
3.04,76,0.0011258633871664,0.0003397598620431,0,0,0.0,0.0
3.08,77,0.0033871899054615,0.001064072622248,0,0,0.0,0.0
3.12,78,0.0030436616014019,0.0002676008758135,0,0,0.0,0.0
3.16,79,0.001076237609513,0.0002408198753315,0,0,0.0,0.0
3.2,80,0.0006374305299102,0.0010331361680801,0,0,0.0,0.0
3.24,81,0.0007626640523398,0.0005678357820631,0,0,0.0,0.0
3.28,82,0.0006482937430184,0.0002808186958984,0,0,0.0,0.0
3.32,83,0.0014363290755441,0.000286867205507,0,0,0.0,0.0
3.36,84,0.0008963750715349,0.0001137727084967,0,0,0.0,0.0
3.4,85,0.0016110082672047,0.0004664476928743,0,0,0.0,0.0
3.44,86,0.0007642143824884,0.0014765891317181,0,0,0.0,0.0
3.48,87,0.0018863506930291,0.0007283201728946,0,0,0.0,0.0
3.52,88,0.0038271648484555,0.0007390587949933,0,0,0.0,0.0
3.56,89,0.0022534460965695,0.0002121941815486,0,0,0.0,0.0
3.6,90,0.0010532474693613,0.0006518949029404,0,0,0.0,0.0
3.64,91,0.0016474682625656,0.0007082467440244,0,0,0.0,0.0
