Time,Frame,nose_dist,body_dist,freezing,darting,Known,Novel
0.04,1,0.0,0.0,0,0,0.0,0.0
0.08,2,0.0,0.0,0,0,0.0,0.0
0.12,3,0.0,0.0,0,0,0.0,0.0
0.16,4,0.0,0.0,0,0,0.0,0.0
0.2,5,0.0,0.0,0,0,0.0,0.0
0.24,6,0.0,0.0,0,0,0.0,0.0
0.28,7,0.0,0.0,0,0,0.0,0.0
0.32,8,0.0,0.0,0,0,0.0,0.0
0.36,9,0.0,0.0,0,0,0.0,0.0
0.4,10,0.0,0.0,0,0,0.0,0.0
0.44,11,0.0,0.0,0,0,0.0,0.0
0.48,12,0.0,0.0,0,0,0.0,0.0
0.52,13,0.0,0.0,0,0,0.0,0.0
0.56,14,0.0,0.0,0,0,0.0,0.0
0.6,15,0.0,0.0,0,0,0.0,0.0
0.64,16,0.0,0.0,0,0,0.0,0.0
0.68,17,0.0,0.0,0,0,0.0,0.0
0.72,18,0.0,0.0,0,0,0.0,0.0
0.76,19,0.0,0.0,0,0,0.0,0.0
0.8,20,0.0,0.0,0,0,0.0,0.0
0.84,21,0.0,0.0,0,0,0.0,0.0
0.88,22,0.0,0.0,0,0,0.0,0.0
0.92,23,0.0,0.0,0,0,0.0,0.0
0.96,24,0.0,0.0,0,0,0.0,0.0
1.0,25,0.0,0.0,0,0,0.0,0.0
1.04,26,0.0,0.0,0,0,0.0,0.0
1.08,27,0.0,0.0,0,0,0.0,0.0
1.12,28,0.0,0.0,0,0,0.0,0.0
1.16,29,0.0,0.0,0,0,0.0,0.0
1.2,30,0.0,0.0,0,0,0.0,0.0
1.24,31,0.0,0.0,0,0,0.0,0.0
1.28,32,0.0,0.0,0,0,0.0,0.0
1.32,33,0.0,0.0,0,0,0.0,0.0
1.36,34,0.0,0.0,0,0,0.0,0.0
1.4,35,0.0,0.0,0,0,0.0,0.0
1.44,36,0.0,0.0,0,0,0.0,0.0
1.48,37,0.0,0.0,0,0,0.0,0.0
1.52,38,0.0,0.0,0,0,0.0,0.0
1.56,39,0.0,0.0,0,0,0.0,0.0
1.6,40,0.0,0.0,0,0,0.0,0.0
1.64,41,0.0,0.0,0,0,0.0,0.0
1.68,42,0.0,0.0,0,0,0.0,0.0
1.72,43,0.0,0.0,0,0,0.0,0.0
1.76,44,0.0,0.0,0,0,0.0,0.0
1.8,45,0.0,0.0,0,0,0.0,0.0
1.84,46,0.0,0.0,0,0,0.0,0.0
1.88,47,0.0,0.0,0,0,0.0,0.0
1.92,48,0.0,0.0,0,0,0.0,0.0
1.96,49,0.0,0.0,0,0,0.0,0.0
2.0,50,0.0,0.0,0,0,0.0,0.0
2.04,51,0.0,0.0,0,0,0.0,0.0
2.08,52,0.0019825976869418,0.000421513166681,0,0,0.0,0.0
2.12,53,0.005859915894108,0.0004997786587048,0,0,0.0,0.0
2.16,54,0.0056347472984853,0.0017561287129912,0,0,0.0,0.0
2.2,55,0.0077096861921313,0.00463214719807,0,0,0.0,0.0
2.24,56,0.0026250323514176,0.0018133747022927,0,0,0.0,0.0
2.28,57,0.004234376220641,0.0031452045406735,0,0,0.0,0.0
2.32,58,0.0048979440186618,0.0036211804183606,0,0,0.0,0.0
2.36,59,0.0058886786437861,0.0049542124198107,0,0,0.0,0.01
2.4,60,0.0079850635876482,0.0041163383040527,0,0,0.0,0.17
2.44,61,0.0048608672001921,0.0015985425070309,0,0,0.0,0.57
2.48,62,0.0018295236432545,0.0005514853124543,0,0,0.0,0.73
2.52,63,0.0008725009565324,0.0003558999790475,0,0,0.0,0.8
2.56,64,0.0002656021367419,6.307730009367224e-05,0,0,0.0,0.81
2.6,65,0.0,2.138345987905293e-05,0,0,0.0,0.8
2.64,66,0.0013551714570311,0.0004088748994937,0,0,0.0,0.72
2.68,67,0.006101367820145,0.002029639237248,0,0,0.0,0.35
2.72,68,0.0061823202847613,0.0022737295204794,0,0,0.0,0.06
2.76,69,0.0036695399668561,0.0019987876204449,0,0,0.0,0.01
2.8,70,0.0107454218194113,0.0075040564729113,0,0,0.0,0.0
2.84,71,0.0097593789734118,0.0100971997031087,0,0,0.0,0.0
2.88,72,0.010318771120718,0.0133500470700585,0,0,0.0,0.0
2.92,73,0.0041535366390527,0.0055950003016678,0,0,0.0,0.0
2.96,74,0.0008543966438682,0.0014991586832787,0,0,0.0,0.0
3.0,75,0.0016643428314624,0.003206155433942,0,0,0.0,0.0
3.04,76,0.0010761684770741,0.0011246475423235,0,0,0.0,0.0
3.08,77,0.0015228965140151,0.0004339699320441,0,0,0.0,0.0
3.12,78,0.0017838098586876,0.000384896717277,0,0,0.0,0.0
3.16,79,0.0047726307707079,0.0011683300741782,0,0,0.0,0.0
3.2,80,0.0075140548402222,0.0037081111462295,0,0,0.0,0.0
3.24,81,0.0106496188244808,0.0099817219868811,0,0,0.0,0.0
3.28,82,0.0046218105235402,0.0048604960200153,0,0,0.0,0.0
3.32,83,0.0024014605670466,0.0020768248900693,0,0,0.0,0.0
3.36,84,0.0080808954488817,0.0068678592185738,0,0,0.0,0.0
3.4,85,0.0075374587040193,0.0075129657523249,0,0,0.0,0.0
3.44,86,0.0115611606069387,0.0105175982231449,0,0,0.0,0.0
3.48,87,0.0087183999330696,0.0081188168534126,0,0,0.0,0.0
3.52,88,0.0087995181275743,0.0103519871751299,0,0,0.0,0.0
3.56,89,0.0033581375889175,0.0033512950742647,0,0,0.0,0.0
3.6,90,0.0072610721336686,0.0052387763480412,0,0,0.0,0.0
3.64,91,0.0101618718956759,0.0092067814938245,0,0,0.0,0.0
