Time,Frame,nose_dist,body_dist,freezing,darting,Known,Novel
0.04,1,0.0,0.0,0,0,0.0,0.0
0.08,2,0.0,0.0,0,0,0.0,0.0
0.12,3,0.0,0.0,0,0,0.0,0.0
0.16,4,0.0,0.0,0,0,0.0,0.0
0.2,5,0.0,0.0,0,0,0.0,0.0
0.24,6,0.0,0.0,0,0,0.0,0.0
0.28,7,0.0,0.0,0,0,0.0,0.0
0.32,8,0.0,0.0,0,0,0.0,0.0
0.36,9,0.0,0.0,0,0,0.0,0.0
0.4,10,0.0,0.0,0,0,0.0,0.0
0.44,11,0.0,0.0,0,0,0.0,0.0
0.48,12,0.0,0.0,0,0,0.0,0.0
0.52,13,0.0,0.0,0,0,0.0,0.0
0.56,14,0.0,0.0,0,0,0.0,0.0
0.6,15,0.0,0.0,0,0,0.0,0.0
0.64,16,0.0,0.0,0,0,0.0,0.0
0.68,17,0.0,0.0,0,0,0.0,0.0
0.72,18,0.0,0.0,0,0,0.0,0.0
0.76,19,0.0,0.0,0,0,0.0,0.0
0.8,20,0.0,0.0,0,0,0.0,0.0
0.84,21,0.0,0.0,0,0,0.0,0.0
0.88,22,0.0,0.0,0,0,0.0,0.0
0.92,23,0.0,0.0,0,0,0.0,0.0
0.96,24,0.0,0.0,0,0,0.0,0.0
1.0,25,0.0,0.0,0,0,0.0,0.0
1.04,26,0.0,0.0,0,0,0.0,0.0
1.08,27,0.0,0.0,0,0,0.0,0.0
1.12,28,0.0,0.0,0,0,0.0,0.0
1.16,29,0.0,0.0,0,0,0.0,0.0
1.2,30,0.0,0.0,0,0,0.0,0.0
1.24,31,0.0,0.0,0,0,0.0,0.0
1.28,32,0.0,0.0,0,0,0.02,0.0
1.32,33,0.0,0.0,0,0,0.38,0.0
1.36,34,0.0,0.0,0,0,0.74,0.0
1.4,35,0.0,0.0,0,0,0.89,0.0
1.44,36,0.0,0.0,0,0,0.96,0.0
1.48,37,0.0,0.0,0,0,0.97,0.0
1.52,38,0.0,0.0,0,0,0.98,0.0
1.56,39,0.0,0.0,0,0,0.98,0.0
1.6,40,0.0,0.0,0,0,0.97,0.0
1.64,41,0.0,0.0,0,0,0.94,0.0
1.68,42,0.0,0.0,0,0,0.7,0.0
1.72,43,0.0,0.0,0,0,0.25,0.0
1.76,44,0.0,0.0,0,0,0.02,0.0
1.8,45,0.0,0.0,0,0,0.01,0.0
1.84,46,0.0,0.0,0,0,0.0,0.0
1.88,47,0.0,0.0,0,0,0.0,0.0
1.92,48,0.0,0.0,0,0,0.0,0.0
1.96,49,0.0,0.0,0,0,0.0,0.0
2.0,50,0.0,0.0,0,0,0.0,0.0
2.04,51,0.0,0.0,0,0,0.0,0.0
2.08,52,0.0043274836090859,0.0018652599220604,0,0,0.01,0.0
2.12,53,0.0029019234031864,0.0018424831901396,0,0,0.01,0.0
2.16,54,0.0019479897031975,0.003497191869987,0,0,0.01,0.0
2.2,55,0.000707537103642,0.0032333789788171,0,0,0.01,0.0
2.24,56,0.0006548956351034,0.0006517649736228,0,0,0.01,0.0
2.28,57,0.0010964455617266,0.0001429132321084,0,0,0.01,0.0
2.32,58,0.0025348040450321,0.0009029741948397,0,0,0.01,0.0
2.36,59,0.0042897270465935,0.0026372192862598,0,0,0.01,0.0
2.4,60,0.0033955438826418,0.0023190004214762,0,0,0.01,0.0
2.44,61,0.001630769590582,0.0008535947685712,0,0,0.0,0.0
2.48,62,0.0041821626435782,0.0020736649314908,0,0,0.0,0.0
2.52,63,0.0026401379354912,0.0028489843881106,0,0,0.0,0.0
2.56,64,0.0023187732768928,0.0027200924883586,0,0,0.0,0.0
2.6,65,0.0038302636778034,0.0010776898323803,0,0,0.01,0.0
2.64,66,0.0068094804143948,0.0012649189345333,0,0,0.01,0.0
2.68,67,0.0041445508961594,0.0012441293666902,0,0,0.01,0.0
2.72,68,0.0054241399350255,0.0009784395407465,0,0,0.03,0.0
2.76,69,0.0047024031939221,0.0002345467416383,0,0,0.53,0.0
2.8,70,0.0030943776868073,0.0003345022826364,0,0,0.9,0.0
2.84,71,0.0025129554732228,0.0002441153037242,0,0,0.97,0.0
2.88,72,0.0017299872401263,0.0002772119363255,0,0,0.98,0.0
2.92,73,0.0008964038296878,8.818648602129782e-05,0,0,0.98,0.0
2.96,74,0.0012399601567671,0.0003415459938564,0,0,0.98,0.0
3.0,75,0.0052090860801755,0.0006410583384773,0,0,0.93,0.0
3.04,76,0.0115881308520728,0.0006264866014376,0,0,0.73,0.0
3.08,77,0.0080339097442487,0.0005527055287329,0,0,0.51,0.0
3.12,78,0.0070086083908032,0.0017855966160486,0,0,0.14,0.0
3.16,79,0.006234058858086,0.0024754544784337,0,0,0.01,0.0
3.2,80,0.0063038605601809,0.0027486804239975,0,0,0.0,0.0
3.24,81,0.0067741995882689,0.0037051831253021,0,0,0.0,0.0
3.28,82,0.0102267640692859,0.0088655919038232,0,0,0.0,0.0
3.32,83,0.0090817171084122,0.0063103255151844,0,0,0.0,0.0
3.36,84,0.0094432849700767,0.0067338622931523,0,0,0.0,0.0
3.4,85,0.00799274160538,0.0075559333606461,0,0,0.0,0.0
3.44,86,0.005168783347046,0.0053413965548795,0,0,0.0,0.0
3.48,87,0.01614852365273,0.0164860410811688,0,0,0.0,0.0
3.52,88,0.0145983877503255,0.0139170159029587,0,0,0.0,0.0
3.56,89,0.0175428051617446,0.0179738937189161,0,0,0.0,0.0
3.6,90,0.0138756365519703,0.0143579952091363,0,0,0.0,0.0
3.64,91,0.0176832877741797,0.0191526674557618,0,0,0.0,0.0
