Time,Frame,nose_dist,body_dist,freezing,body,Novel,Known
4.24,106,0.0035228048466013,0.0009391904574628,0,other,0,0
4.28,107,0.0031764298174994,0.0019402332699186,0,other,0,0
4.32,108,0.0022565478106906,0.0035366763505443,0,other,0,0
4.36,109,0.0030205743136373,0.0046943396804887,0,other,0,0
4.4,110,0.0038527444697317,0.0071799204615673,0,other,0,0
4.44,111,0.0018557922933858,0.0029953349297175,0,other,0,0
4.48,112,0.0013786081153082,0.000821045310992,0,other,0,0
4.52,113,0.000840670627016,0.0002953618687101,0,other,0,0
4.56,114,0.0032311984560359,0.0010531296082159,0,other,0,0
4.6,115,0.004541386808021,0.002410549480874,0,other,0,0
4.64,116,0.00253351971463,0.0017207350755272,0,other,0,0
4.68,117,0.003248537649385,0.0028166756234996,0,other,0,0
4.72,118,0.0042728502894436,0.0026920503910184,0,other,0,0
4.76,119,0.005934931298599,0.000875102385561,0,other,0,0
4.8,120,0.0028474816067175,9.013211004655902e-05,0,other,0,0
4.84,121,0.0016201440859166,0.000175777655902,0,other,0,0
4.88,122,0.0064344936809116,0.0011141868122366,0,other,0,0
4.92,123,0.0106604224394697,0.0021589588549214,0,other,0,0
4.96,124,0.0068821489795795,0.0005009485772076,0,other,0,0
5.0,125,0.0038754808043961,0.0002184861340524,0,other,0,0
5.04,126,0.0030592831062304,0.0019201113819376,0,other,0,0
5.08,127,0.0071603276079649,0.0053620868924716,0,centre,0,0
5.12,128,0.0066419040979459,0.0054421022696406,0,centre,0,0
5.16,129,0.0054941458619843,0.0066020549429105,0,centre,0,0
5.2,130,0.0058795486367965,0.0062298143214166,0,centre,0,0
5.24,131,0.0074459478208035,0.0061952778740433,0,centre,0,0
5.28,132,0.0045714574104116,0.0034578746449579,0,centre,0,0
5.32,133,0.0031836663645645,0.0033272882175259,0,centre,0,0
5.36,134,0.0051952560637739,0.003615598123407,0,centre,0,0
5.4,135,0.0048783819849493,0.0050662135657497,0,centre,0,0
5.44,136,0.0059211283415279,0.0067745368595364,0,centre,0,0
5.48,137,0.0065253462193834,0.0059188731546038,0,centre,0,0
5.52,138,0.0019265052751133,0.0019002935317533,0,centre,0,0
5.56,139,0.0025622558978433,0.0034646255316821,0,centre,0,0
5.6,140,0.0029223916960985,0.0049705528741719,0,centre,0,0
5.64,141,0.0031212229617357,0.0036352003432402,0,centre,0,0
5.68,142,0.0020531613898243,0.0026742015373992,0,centre,0,0
5.72,143,0.0035628035347941,0.0023996944383841,0,centre,0,0
5.76,144,0.0031193791822205,0.0020972264795044,0,centre,0,0
5.8,145,0.0011516631775399,0.0016638300427668,0,centre,0,0
5.84,146,0.0028069106924344,0.0021126162229843,0,centre,0,0
5.88,147,0.0047549251440452,0.003088815393738,0,centre,0,0
5.92,148,0.0061189444764861,0.0052065748040477,0,centre,0,0
5.96,149,0.0040081061469365,0.0047374560089598,0,centre,0,0
6.0,150,0.0034606301725602,0.0037789620284602,0,centre,1,0
6.04,151,0.0018442530487094,0.0018205622364986,0,centre,1,0
6.08,152,0.0003702224558848,0.0003704023475002,0,centre,1,0
6.12,153,7.569071355343811e-05,8.189807495804492e-05,0,centre,1,0
6.16,154,0.0005443584935127,0.0001642943044007,0,centre,1,0
6.2,155,0.0031146623860984,0.0007276797256632,0,centre,1,0
6.24,156,0.0091426045104406,0.0012480673270389,0,centre,0,0
6.28,157,0.0136077391260793,0.0040975684685507,0,centre,0,0
6.32,158,0.0139286808636389,0.0023978184978856,0,centre,0,0
6.36,159,0.00767776989254,0.0012426894323781,0,centre,0,0
6.4,160,0.0070409536514446,0.0030348658953727,0,centre,0,0
6.44,161,0.008199781904056,0.0079360077251177,0,centre,0,0
6.48,162,0.0059366395466954,0.0046883295407884,0,centre,0,0
6.52,163,0.0055177801868628,0.0050784217160606,0,centre,0,0
6.56,164,0.0054973474916614,0.0063682262175851,0,centre,0,0
6.6,165,0.0035831449727861,0.0065804365321422,0,centre,0,0
6.64,166,0.0021430848940632,0.0033973395654515,0,other,0,0
6.68,167,0.003524147607851,0.0018303449883779,0,other,0,0
6.72,168,0.0041456576942376,0.0027940593615936,0,other,0,0
6.76,169,0.0089429652459356,0.0043890736642849,0,other,0,0
6.8,170,0.0092612693491213,0.0025380597923108,0,other,0,0
6.84,171,0.0050818065437722,0.001848536692757,0,other,0,0
6.88,172,0.0047199703073045,0.001331345496342,0,other,0,0
6.92,173,0.0068144703559543,0.0021012846506365,0,other,0,0
6.96,174,0.0080596529156822,0.0036735960663578,0,other,0,0
7.0,175,0.0100854557232707,0.0055995900254032,0,other,0,0
7.04,176,0.0059320773949181,0.0041728216273176,0,other,0,0
7.08,177,0.0016119835963656,0.0066893789226675,0,other,0,0
7.12,178,0.0006064468362188,0.0034490851868829,0,other,0,0
7.16,179,0.0021271392940155,0.001830103780083,0,other,0,0
7.2,180,0.0011339243666314,0.0013414900589619,0,other,0,0
7.24,181,0.0009055720645145,0.0009713313987218,0,other,0,0
7.28,182,0.0002223767764432,0.0004050102233746,0,other,0,0
7.32,183,0.0001658631653649,0.0001148123637408,0,other,0,0
7.36,184,0.0016488326851158,0.0002133040060744,0,other,0,0
7.4,185,0.0069213010144241,0.0001737213705823,0,other,0,0
7.44,186,0.0077616723568331,7.301128753168678e-05,0,other,0,0
7.48,187,0.0033166134383356,6.527952445448903e-05,0,other,0,0
7.52,188,0.0010165124880324,9.41261818178901e-05,0,other,0,0
7.56,189,0.0026075073358087,0.0006896498943034,0,other,0,0
7.6,190,0.0033402896915522,0.0016624729733868,0,other,0,0
7.64,191,0.0025034136700806,0.0003982055990588,0,other,0,0
7.68,192,0.0021269483052749,0.0003134169409774,0,other,0,0
7.72,193,0.0004379646475005,0.0013040731023393,0,other,0,0
7.76,194,0.0003439638877558,0.0015702966875053,0,other,0,0
7.8,195,0.0018536376399585,0.0009705291926671,0,other,0,0
7.84,196,0.0061469833216508,0.0013558164025928,0,other,0,0
7.88,197,0.0075410263024709,0.0018868329976137,0,other,0,0
7.92,198,0.0071453439702777,0.0005156613223548,0,other,0,0
