nose_x,nose_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,head_x,head_y,neck_x,neck_y,body_x,body_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_midside_x,left_midside_y,right_midside_x,right_midside_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,tail_base_x,tail_base_y,tail_mid_x,tail_mid_y,tail_end_x,tail_end_y
488.81027055582297,121.29465546542133,462.26237460614936,103.66793387698803,457.7529617182453,134.2111110035181,473.3178663467937,119.01391120206748,452.8968794695528,116.12547596843451,383.16493479820537,98.58256570107793,446.27124671688284,86.54849935655558,439.243736732118,137.54474299018463,399.8227384663787,79.43890302707116,389.0701976399527,128.95861289417846,368.0254300296517,63.50124786019042,355.36950590210193,126.96884155273438,318.72157524428553,88.54102325439453,250.1564346736392,81.13433074951173,192.85469685411815,101.00491333007814
501.47832354728916,125.7818712407436,476.11238638322624,107.71465403568237,470.7626588307874,137.35745201810602,485.82078153629726,122.48560927528607,466.2889670229001,119.54632649195688,394.7923990850576,99.07968631196827,460.31066119308264,89.61378954276907,450.1770968987547,140.80557495296975,415.3245781442321,81.81388933132729,402.470671251074,130.01901772105595,384.16637114300147,64.01399185538575,365.8760374097959,126.8805519796434,332.67732244040565,87.34801982305491,263.5447556572508,79.19897847330455,206.36182730889453,99.18819485223639
515.8101576329791,128.58919365600445,492.17662214543157,111.18677713223676,485.88150944420386,140.47343884461486,500.6291986390962,125.97875736812156,481.11639929541195,122.37335254415112,411.3694520570219,99.39181219705219,475.2565032502648,91.99324652692768,464.2785328577575,143.561237977708,433.81910658912943,82.35216199558933,416.9242969308947,130.16864566075276,406.4692809710053,64.28506079922899,378.0209977537892,126.44286934147257,351.3083731513398,82.13578896195315,279.14031422481787,68.84283632303669,222.08437421374686,88.2060067000789
531.9332585997381,131.5210555885071,508.07269231065,114.36235401813921,501.1482460219062,143.80774403251903,516.7737692271339,129.51775415734147,497.3441448258486,125.04719390634386,429.369251723241,99.28164264918503,492.7281404109266,95.56190488571961,479.3166179780612,145.48760830032026,452.5906662286833,82.13585985499661,432.26071351406495,129.70830746424727,426.93269883253095,64.93577836040404,392.7421929300828,126.01928345183326,369.03648633779756,79.22706005044117,298.5724028215541,56.50203514872713,239.19293295311218,69.77397146881533
547.4702436355975,134.5639969946552,523.7296268250611,117.75608866005841,517.7142800660455,148.23275125577206,532.6901710422459,133.39311132775327,513.1756374143381,129.42702588881795,445.6553646607702,100.0887567003906,509.83732029543137,98.20587261132586,495.1951267383971,148.5656102072217,467.30652042584165,82.97571134080881,447.6640017904042,130.9557629445975,439.8231253047266,66.05267711523886,408.862659863833,127.52484192375456,386.08285471699173,80.0379115709482,319.19309152383744,55.02001265057393,259.0368473699322,58.894273573107675
562.4959776534869,141.18599568951595,538.9861501864183,123.93274589837115,532.117629335681,153.96986555874508,547.1986600301811,139.4611792347264,528.3609213045929,135.49356983439026,462.08250479237756,103.491560584497,526.0545947363202,103.55707172099774,510.01434296637,153.82203524102007,480.4937964780245,87.43961525269144,464.1392689959257,137.43068354460814,449.6405773949052,69.8087244669732,427.67558590806914,134.37388529726533,400.4307257822734,86.65386827102867,340.4026546608987,62.65669986038928,278.2418591884179,59.9196418202517
576.5511880434383,149.74086932125755,554.2678871834341,130.98261205090188,545.8408430804087,160.8949072797326,561.4841064018977,146.9811790018418,543.1344953654941,141.9129493657484,477.90154204268094,110.48956798227472,540.3650625196684,110.12245039193905,523.9322705671298,159.72140553924967,492.3008052313726,92.86861503807783,480.591747402697,144.2854027903373,461.05884286963067,75.7741512370091,445.3487158234385,138.65061051169087,415.1480628179948,96.00729578290827,357.77996517270424,77.89381260045751,292.01580324165394,74.29229211768778
588.0186023053761,155.1595031343808,566.4735335190579,136.55083175540463,557.6819258203266,165.76560497450583,572.6928273802486,152.2611935517272,554.9407052272265,147.85902378211645,491.7474100409559,117.63465505589724,552.2347242289887,114.84493458767571,535.2589276437143,165.25397014461882,505.6999360694018,98.66997083935483,494.5919074475318,152.16625147639976,474.4432199829275,82.78879388093613,461.1347972313758,143.72584358505884,430.65459901508564,104.72272168913443,365.6281600853266,87.28715978588693,301.9765454531683,90.09776543269061
600.4555376067212,159.5622856621033,577.528417061756,141.52934810496143,569.9227707425362,170.78312295556935,584.629652714545,156.89397698998388,566.1887546103978,152.86567707842084,503.73105292411555,123.72134474057707,563.4235886339585,119.48795922980997,547.827737977287,171.78485115692592,520.8168841061167,104.28809616593448,506.3692224423181,158.7036533348093,490.82880379286246,88.23528447845331,472.76387089625536,150.7758797418684,441.8363518153075,110.37861772504297,371.67379944435527,91.22121830093455,308.1161356066777,95.77346102976054
611.641925325009,163.59908359242033,587.1904152266512,145.62035547751785,580.6318589628436,175.34118756227903,596.0400832238781,161.0063780161478,576.85608439723,156.58786476082497,513.215908683989,127.98564698679903,573.81550440245,123.99289562663465,559.5915096928147,177.19496686214555,534.176728715639,110.05767564118045,517.447688769792,162.90717635887685,506.8710297819873,92.05957691397704,481.7864452026608,154.06252395502267,452.36075677744606,111.02546825993046,382.1305897853256,90.88579433910022,318.41509118459925,95.57879086083808
621.9517570393234,169.49185979609948,594.180570773709,150.43013546685114,586.5267173121578,180.4650658491934,604.0383985232658,166.27200227751902,584.2250139214581,161.5405659852022,522.131771961869,131.25282056599164,582.6965407456464,128.40938655380046,565.2515391236677,181.1022243813114,547.4110847647968,114.26045394601493,525.3670893622641,166.1600040366131,522.5274737148495,95.58029720147056,489.26354481349875,155.94776294676515,464.40098240596404,108.75736045373716,392.98845590484257,85.46477367875463,330.5881845055204,89.15231318226458
631.4525142019675,174.06910385703034,600.60241094256,153.9754075192403,590.9603790775554,186.59373557805694,610.4291718142284,171.1295901579467,589.2862037221158,166.92777120165533,527.8403179293106,133.74852908630112,590.4591802067306,133.73369601995935,569.6205685514914,185.37146242863435,558.5122582306482,118.79006807367651,529.1298646337515,168.25088301864096,536.1357429377877,97.93414561096502,494.07545311678956,155.9232870065124,475.5434639850153,105.18271632616339,409.63438609481636,77.37038124866496,346.2609615586771,75.01295039097053
636.3557504450483,180.10388577448023,603.5063532992629,157.8393225877418,591.9944298972621,191.1122659865321,614.1586029151106,176.1306558434825,591.1425035580761,170.4679774313072,535.2223452265973,133.82318057713528,595.1006646146873,137.98840924420838,570.604004076124,187.11448700512108,567.0670425005142,120.22408200733857,531.4135459660963,167.9904164651598,547.2577945207813,98.68449958519619,498.37460964231775,153.94523394625122,485.2835538662124,103.0721585169813,418.8781852945191,71.93887891951537,354.42669896125597,67.65144574903229
636.2176026632005,188.12407297317,606.8140019194449,163.11906829731174,590.9841416333865,194.01746871847942,614.2428076642344,182.38607107090678,592.0695349825448,173.36026751145036,540.1201625366742,132.0828688921146,601.8182104368834,142.8245020089273,569.8290088168696,188.0170365576862,571.8442146821046,120.83619402624387,533.9283446442491,165.41348368132464,553.4348175289076,99.3968150986828,501.0411127468395,152.13024308532235,489.37122510791534,102.54551024934007,421.08965560826084,71.92858688945785,357.9879018297178,69.07512368335354
628.3814235412412,198.63163820417836,607.243728447264,167.87918439793015,585.9443043428357,195.00396929335972,609.8931958622226,188.52345661885903,591.1984240576359,175.42256166546713,541.5307341250247,131.3885367123908,603.9355527252661,147.07201809845787,565.4824959104958,187.9742918832711,573.3715312128198,121.72673783080029,534.1943024806643,164.99731907372444,554.6090953936641,99.62569090820223,501.7806646496946,151.83490701214697,490.37029007112176,102.49831390380861,421.1965769545616,75.78442580585467,358.5034172770495,80.21011056258251
607.8912423354764,207.90067378772514,604.263817675883,173.6512756701508,577.0281708659993,195.84890178291826,598.5355285029678,194.0096646862624,585.0708515663101,177.25884231957986,541.3799028251287,131.6263196722449,602.9011808558727,153.50165132742296,557.2053218860215,186.94492247623117,573.26990058942,123.10701256173475,532.044219995217,165.9052688169006,554.3365977769263,99.87198212646574,502.6924303770362,152.0598836372671,490.4015825137683,102.36196481542308,420.68175224374517,76.07178136682334,358.0928046467787,87.21808774490397
589.2137369260216,214.30867514690948,595.6828671204862,180.01579155301656,564.6718575972278,197.25681298751294,584.574163969164,198.75495881657963,574.5827543212464,180.92970139371548,539.6473653992526,132.89354091574913,596.471488366499,156.70910962589676,546.745136385493,186.23100841881808,571.242829085995,124.17102982928654,526.1843223961546,165.79345532903085,553.1139027113551,99.9333953857422,502.0534461112985,151.32007098826227,489.78578037785735,101.3345234221246,420.2246038104179,72.88966728849618,358.1008168931678,88.48517730738246
571.8975682240268,219.1654223105097,584.5232752320798,188.26098807334756,550.7409944833661,200.91164077877175,570.3847674537592,204.62229739574622,563.3318748413074,186.09546553265852,537.214492029525,133.7726469474708,586.9644425237466,161.8779482732823,535.1692450524796,186.65741174304924,567.2462129491805,127.54057818672767,517.8566808765314,164.4370897149145,552.8170433974213,100.4871429067422,498.42720061523937,147.8867603612626,488.61558510642124,99.27066721899531,420.67085599485347,70.15180614356228,358.69277843363363,88.13865448913606
551.8707413099207,231.99260080228106,572.4493413928762,202.20958389284166,535.025286496443,208.11464917300907,554.7242905566359,216.33065750863153,552.7504199814487,196.08637853430434,536.7957429901047,136.47893845794133,578.7807680515009,179.0769429423047,522.5495458657181,190.183010824167,565.4361257347796,135.0151375090689,511.7226925180162,164.25284359024863,553.1226380843351,103.49266348311812,496.9008649793898,146.1227584942252,489.08207758867866,98.931435155265,421.9879548557234,68.69362905693907,360.2723353725439,86.08635979113237
543.7442369057275,243.764523853192,565.8123091022566,215.19570192694823,528.6496636209614,217.4634017229653,546.0242817856612,227.2273714599748,546.9463259141304,206.490895067534,537.5945191410104,142.14062204266133,575.0786008961007,193.93877692438048,517.7398009685056,197.77602529896345,565.2812223045895,144.33635355382992,509.866652094986,165.8574513472197,555.0540646487165,108.61903951455433,496.721668225713,146.2469000772995,493.6383849049363,100.09245247172161,427.19098668148297,66.28725533030338,365.34205159390524,79.01315204075935
542.5682991686042,255.90376540535976,564.4702176697793,227.9142274814035,526.1227336869307,229.0344885026451,544.079544028776,239.14276856064754,545.7074230483903,218.20452796502659,539.2632866501103,149.81369978103328,573.2518835640927,204.42099988390794,515.6517289650268,207.85016892161684,565.904628671603,156.69968353475002,509.49145068335264,170.80108500666447,559.402502136674,116.57216979379896,496.9030912775067,147.83953263229446,502.04444755794736,103.0277303570526,437.25985901409086,63.13342834192164,373.93449814559796,68.37994289210938
542.3517451074529,268.03836718652883,564.4013671875,240.12470142250046,525.6599731445312,240.68422492074143,543.516517832829,251.84942224121906,545.6340942382812,230.4046084685639,540.5746908304407,158.17186537609606,572.9121704101562,215.51648869156853,515.368639747549,218.69464281136075,567.6405865988512,168.30338877386163,509.8022273403489,177.198969926232,564.5071216231191,127.37111945663585,498.1511831457825,149.4438365840199,511.33741344829537,106.750020006075,451.83036439995215,61.91458716555761,386.78552539108625,58.06485962391433
538.0608875232301,282.6943732607753,562.7016539097796,255.3504839238473,524.5259305548472,252.76935685129519,541.0649126068896,265.82221302887854,544.6808704815566,244.57977725789397,541.8348707398965,172.41810685734995,572.4901210157595,232.7369310790752,515.8689090805761,230.1214057601003,570.8467959808562,186.79177788283658,512.5897853329586,189.49498492708926,572.4306538753034,148.43873443806316,502.72002739804486,154.88167648352484,526.6151212511777,116.79212343853239,475.0295144369877,64.83571168007808,409.43844255582883,49.59049094065378
521.2845838966441,299.39240152693174,554.5190551505289,282.25678192368497,518.8238821796191,267.30256680352653,529.8651818475032,284.02939129321055,539.630459756128,265.1115398976921,541.8299151299625,188.49276171762048,569.4157755188946,263.9039807682891,515.3010753906628,243.87701174833444,575.7519117898196,212.8093251603182,518.3344582739581,205.9609742504756,583.2546776509612,175.30137551883064,513.2472952823115,167.46615297070912,543.2319677946407,135.30174487573794,505.97014491080665,78.12445885382748,441.1911919171314,49.19695153578491
507.86159019144077,308.4550122498184,546.0991395955195,297.86046282284957,511.7725875756806,276.7832372742185,519.0682304525233,294.9587050260567,532.648013299991,278.035619789946,540.3513322386143,204.85588953070067,562.1412147019375,282.7825012015208,511.63226658553475,252.00916143219567,577.0946300449057,228.79523931848885,519.3003858586078,218.21580754419494,588.3033273920634,189.53152010610205,517.9092500643233,181.78284522258588,550.546989892032,149.5952518634182,517.733258385282,86.8858467747178,452.5197029508413,54.908403066024896
499.453287572955,315.725470727589,538.2134886249096,308.49887096164167,504.3907504104448,284.4153130245008,511.3063486335359,303.1810621210136,525.7287754298011,287.63481787899616,538.1871045982818,221.2767566015933,554.0335153684571,292.9119005108611,506.4697693333095,259.5777777544651,576.5865277025982,242.04364139785622,517.1153939186183,229.01462693786468,588.1617573959785,199.78660671494717,518.0172681439701,197.71186521428558,552.726742093542,161.46954013456525,525.1016880153727,96.24725168821107,462.8077533178289,59.03238252630027
492.34234102125555,325.6109970510125,529.6475152498496,316.694797873223,497.3319208853826,292.22208603553787,503.7934248850825,312.19660124865015,518.3288128854373,296.7368804971349,535.8770741246065,237.4847228661661,545.5472658666644,303.51790427474947,500.42211449432625,267.53138038748796,572.8747644495163,255.5094737027796,512.8573867748102,239.93190166784183,584.0994073752296,208.90812919589564,515.439894085622,212.8861000179688,553.0360107421875,173.47502139447877,531.3404361480325,106.10999117818861,474.5893432458355,63.79744095042174
