nose_x,nose_y,L_ear_x,L_ear_y,R_ear_x,R_ear_y,head_x,head_y,neck_x,neck_y,body_x,body_y,tail_1_x,tail_1_y,tail_2_x,tail_2_y,tail_3_x,tail_3_y
261.32349489300714,363.30444489752756,279.19309363324385,389.0298543774513,289.1876625807416,368.089896320195,278.8440442481302,371.66089340443307,290.6625870426373,379.23570780066166,297.8037642827602,370.3697805196772,357.14106520216995,376.0151805765765,356.41491786423654,381.3732218676392,472.30343627929693,269.7720513276132
247.20182339102442,355.6267700728712,270.42756591576426,385.8504786710061,277.3386190033939,356.11411739412085,266.6726983247057,365.8332493863034,276.8191236617552,371.2299135368817,295.555741083931,367.64359798039663,350.7046371803913,377.83786675521344,350.8728552853759,385.4841842895463,470.40656860976594,280.2341041121933
233.0880160396266,354.8329686939198,259.03922000100044,384.13355928370436,265.80953100254925,352.1601686749837,254.10928046716083,364.5027957461833,265.16020228282065,368.5807488727601,291.02891764377426,367.2157897949219,343.94374204119373,379.3266278985857,346.0826826339522,389.0378931767461,458.27608664101604,302.0773678110806
217.33655170570927,354.4020795710575,243.75482278321942,382.78462253982286,249.92602311138225,351.28286830480045,238.25746517449733,363.6492094361669,251.02084399728042,367.87809419017515,288.89571095886777,367.70095213140803,336.8382941832981,380.439723377285,342.1600137178942,391.94867966201883,432.8402381902345,333.8420007314623
195.1381125096109,353.1749859147103,222.46311559802695,382.18407192973575,227.31747760352357,350.99767234618383,216.77964815352166,362.98416443336396,231.35237812472934,367.0966503783069,286.4422682050822,369.68850173947635,329.3682080054249,381.13541256190354,339.22046234513067,394.13087487814494,402.1424278253905,367.64866283920765
177.78845588615536,352.45392943691047,203.94256878255842,381.1195330404587,209.35225581894164,350.0191961351339,198.73528851585124,361.75012085610336,213.65575055545537,366.921142578125,273.86453449849944,370.3415336779438,320.96386702672527,381.4147807428318,337.3796423235906,395.49880995790465,376.70677739590764,394.15921947291906
156.83489078841797,350.7560925357459,180.32628520485656,380.3225990032115,188.74003636359595,347.9956399718202,176.08812948759652,361.17435162101157,191.0772122142772,366.91949747810594,251.596936452506,370.3833923339844,311.9441342509384,381.41823130039523,336.6393232229776,396.0509669142872,364.57708957010743,406.4550929513122
150.08143018521693,350.3327331542969,173.19031231131768,380.08825482130135,182.02089629055504,347.3851331974905,169.01625591866969,360.7625121324202,184.12061851069257,366.7612512103953,244.70776655757788,370.3649306559927,307.9956844582869,381.19113718403025,336.5318908691407,396.17604281140456,364.47977345507104,409.5327230296266
138.022028746973,350.4353132644362,162.4620379999322,379.43765493457255,170.0618751368092,346.76471486734334,157.3933338914198,359.38595808447496,173.03660100633755,365.78583198002946,233.1694327555879,370.2450476285552,295.42497942767955,380.83939250190275,334.4310879898589,398.08604674876653,371.69588572461646,414.2640994101045
118.4942817967696,350.9570533904933,146.1008083137927,378.12953563674375,152.90106794350027,346.06453340899185,138.99798545614692,358.9254677949363,155.94658501770715,364.1679713334225,211.74986003212533,370.0427316763896,273.46515164479393,380.76092529296875,325.15247753036215,405.0964757073562,373.4952392578125,417.4707247582842
107.0393808906638,351.7784602115291,140.39571694163922,377.59467096707033,144.41475738960938,345.18206030474084,129.41633683384117,358.8942565917969,149.2551264627483,363.9208762950654,202.47924638538728,369.99688720703125,260.10983310393385,381.4819005312615,317.1487261579014,409.0341497584886,371.8991520488854,426.226919279979
104.52809206155284,353.6761663854298,139.8439483642578,377.533203125,143.15524291992188,344.96288541369256,127.77331904684111,359.0480023590105,148.48541259765625,364.39614030649716,201.21414606319803,370.0654431960973,255.4646468881431,384.4362084813262,306.3501668179714,418.53803508572076,365.4982173358802,432.41873882017586
104.3610610961914,356.677623487276,139.84621545425324,377.53902698216626,143.16655552128753,344.96288541369256,127.72401428222656,359.6695437776114,148.49090134185568,364.5159381146754,201.1857452392578,370.37287028318553,254.8194274902344,385.4094971885843,303.87036132812506,423.6706198137747,363.9021301269531,436.559557789735
104.89082392208324,357.82429330851824,140.4454362300421,377.9663869988222,143.69215559651687,345.3538006227803,128.4072893117491,360.0863590759857,148.97797399135453,364.77185088640715,201.3053627972797,370.5717268039204,254.93482313262095,385.47241210937506,304.75445534176475,424.40545654296875,364.5868623901345,437.38049316406256
108.20698108202419,359.8699528772502,143.30458331279885,379.78375964614196,146.27215908448377,346.9794653556265,132.12355449288208,361.6441656413031,151.475635907221,365.8767699642078,202.25944368247207,370.6042175292969,255.5822825554421,384.999826664084,308.7197221388173,424.2604237128931,367.3590304759813,436.93954035185413
117.33016751985417,365.37787173346646,148.32531591621589,383.25170454695524,149.58734028135848,350.3578413583064,138.7319091917583,366.9612007856656,155.717018169532,368.3242050276221,204.8260857986681,370.61145800036843,257.3363804166289,382.74544965201403,311.76540125546904,422.4735464087505,369.8790569588657,434.45634079078405
