Frame,nose_dist,body_dist,freezing,body
1,0.0,0.0,0,center
2,0.0,0.0,0,center
3,0.0,0.0,0,center
4,0.0,0.0,0,center
5,0.0,0.0,0,center
6,0.0,0.0,0,center
7,0.0,0.0,0,center
8,0.0,0.0,0,center
9,0.0,0.0,0,center
10,0.0,0.0,0,center
11,0.0,0.0,0,center
12,0.0,0.0,0,center
13,0.0,0.0,0,center
14,0.0,0.0,0,center
15,0.0,0.0,0,center
16,0.0,0.0,0,center
17,0.0,0.0,0,center
18,0.0,0.0,0,center
19,0.0,0.0,0,center
20,0.0,0.0,0,center
21,0.0,0.0,0,center
22,0.0,0.0,0,center
23,0.0,0.0,0,center
24,0.0,0.0,0,center
25,0.0,0.0,0,center
26,0.0,0.0,0,center
27,0.0,0.0,0,center
28,0.0,0.0,0,center
29,0.0,0.0,0,center
30,0.0,0.0,0,center
31,0.0,0.0,0,center
32,0.0,0.0,0,red_corner
33,0.0,0.0,0,red_corner
34,0.0,0.0,0,red_corner
35,0.0,0.0,0,red_corner
36,0.0,0.0,0,red_corner
37,0.0,0.0,0,red_corner
38,0.0,0.0,0,red_corner
39,0.0,0.0,0,red_corner
40,0.0,0.0,0,red_corner
41,0.0,0.0,0,red_corner
42,0.0,0.0,0,red_corner
43,0.0,0.0,0,red_corner
44,0.0,0.0,0,red_corner
45,0.0,0.0,0,red_corner
46,0.0,0.0,0,red_corner
47,0.0,0.0,0,red_corner
48,0.0,0.0,0,red_corner
49,0.0,0.0,0,red_corner
50,0.0,0.0,0,red_corner
51,0.0,0.0,0,red_corner
52,0.0008126079626038146,0.00034468601081108046,0,red_corner
53,0.0004770302749195487,0.0002119730322340602,0,red_corner
54,0.00021613326776600506,8.883498744269731e-05,0,red_corner
55,0.00019336876362033368,0.00011519215429218719,0,red_corner
56,0.00010430329281713403,0.00015767178974960928,0,red_corner
57,0.00026272452160137173,0.0001324584253013009,0,red_corner
58,0.0025608286933812767,0.0018089812804745,0,red_corner
59,0.009709074491737187,0.00870501051721328,0,red_corner
60,0.014103777997101195,0.011994216596227536,0,red_corner
61,0.010566437863128426,0.010835073670871593,0,red_corner
62,0.01069890812431036,0.010590705583569662,0,red_corner
63,0.011368657191317959,0.007629086727762476,0,red_corner
64,0.008914553031497918,0.006801725880206048,0,red_corner
65,0.008897648597122705,0.008888475235989525,0,red_corner
