Frame,obj_1,obj_2
319,0.01,0.01
320,0.01,0.01
321,0.01,0.01
322,0.01,0.01
323,0.01,0.01
324,0.01,0.01
325,0.01,0.01
326,0.01,0.01
327,0.01,0.01
328,0.01,0.01
329,0.01,0.01
330,0.01,0.01
331,0.01,0.01
332,0.01,0.01
333,0.01,0.01
334,0.01,0.02
335,0.01,0.02
336,0.01,0.02
337,0.01,0.02
338,0.01,0.02
339,0.01,0.01
340,0.01,0.01
341,0.01,0.02
342,0.01,0.02
343,0.01,0.02
344,0.01,0.02
345,0.01,0.02
346,0.01,0.02
347,0.01,0.02
348,0.01,0.02
349,0.01,0.02
350,0.01,0.02
351,0.01,0.02
352,0.01,0.02
353,0.01,0.02
354,0.01,0.02
355,0.01,0.02
356,0.01,0.02
357,0.01,0.02
358,0.01,0.02
359,0.01,0.02
360,0.01,0.02
361,0.01,0.02
362,0.01,0.02
363,0.01,0.02
364,0.01,0.02
365,0.01,0.02
366,0.01,0.02
367,0.01,0.01
368,0.01,0.01
369,0.01,0.01
370,0.01,0.02
371,0.01,0.02
372,0.01,0.02
373,0.01,0.02
374,0.01,0.04
375,0.01,0.12
376,0.01,0.38
377,0.01,0.6
378,0.01,0.82
379,0.01,0.91
380,0.01,0.94
381,0.01,0.96
382,0.01,0.97
383,0.01,0.97
384,0.01,0.96
385,0.01,0.96
386,0.01,0.95
387,0.01,0.95
388,0.01,0.94
389,0.01,0.91
390,0.01,0.87
391,0.01,0.74
392,0.01,0.62
393,0.01,0.45
394,0.01,0.13
395,0.01,0.04
396,0.01,0.03
397,0.01,0.02
398,0.01,0.02
399,0.01,0.02
400,0.01,0.02
401,0.01,0.02
402,0.01,0.02
403,0.01,0.02
404,0.01,0.02
405,0.01,0.02
406,0.01,0.02
407,0.01,0.01
408,0.01,0.01
409,0.01,0.01
410,0.01,0.01
411,0.01,0.01
412,0.01,0.01
413,0.01,0.01
414,0.01,0.01
415,0.01,0.01
416,0.01,0.01
417,0.01,0.02
418,0.01,0.02
419,0.02,0.02
420,0.02,0.02
421,0.02,0.02
422,0.02,0.02
423,0.02,0.02
424,0.01,0.02
425,0.01,0.02
426,0.01,0.02
427,0.01,0.02
428,0.01,0.02
429,0.01,0.02
430,0.01,0.02
431,0.01,0.02
432,0.01,0.02
433,0.01,0.02
434,0.01,0.02
435,0.01,0.02
436,0.01,0.02
437,0.01,0.02
438,0.01,0.02
439,0.01,0.02
440,0.01,0.02
441,0.01,0.02
442,0.01,0.02
443,0.01,0.02
444,0.01,0.02
445,0.01,0.02
446,0.01,0.02
447,0.01,0.02
448,0.01,0.02
449,0.01,0.02
450,0.01,0.02
451,0.01,0.02
452,0.01,0.02
453,0.01,0.02
454,0.01,0.02
455,0.01,0.02
456,0.01,0.02
457,0.01,0.02
458,0.01,0.02
459,0.01,0.02
460,0.01,0.02
461,0.01,0.02
462,0.01,0.02
463,0.01,0.02
464,0.01,0.02
465,0.01,0.02
466,0.01,0.02
467,0.01,0.02
468,0.01,0.02
469,0.01,0.02
470,0.01,0.02
471,0.01,0.02
472,0.01,0.02
473,0.01,0.02
474,0.01,0.02
475,0.01,0.02
476,0.01,0.02
477,0.01,0.02
478,0.01,0.02
479,0.01,0.02
480,0.01,0.02
481,0.01,0.02
482,0.01,0.02
483,0.01,0.02
484,0.01,0.02
485,0.01,0.02
486,0.01,0.02
487,0.01,0.02
488,0.01,0.02
489,0.02,0.02
490,0.02,0.02
491,0.02,0.02
492,0.02,0.02
493,0.02,0.02
494,0.02,0.02
495,0.02,0.02
496,0.02,0.02
497,0.02,0.02
498,0.02,0.02
499,0.02,0.02
500,0.02,0.02
501,0.02,0.02
502,0.02,0.02
503,0.02,0.02
504,0.02,0.02
505,0.02,0.02
506,0.02,0.02
507,0.02,0.02
508,0.02,0.02
509,0.02,0.02
510,0.02,0.02
511,0.02,0.02
512,0.02,0.02
513,0.01,0.02
514,0.01,0.02
515,0.01,0.02
516,0.01,0.02
517,0.01,0.01
518,0.01,0.01
519,0.01,0.01
520,0.01,0.01
521,0.01,0.02
522,0.01,0.02
523,0.01,0.02
524,0.01,0.02
525,0.01,0.02
526,0.01,0.02
527,0.01,0.02
528,0.01,0.02
529,0.01,0.02
530,0.01,0.02
531,0.01,0.02
532,0.01,0.02
533,0.01,0.01
534,0.01,0.01
535,0.01,0.01
536,0.01,0.01
537,0.01,0.01
538,0.01,0.01
539,0.01,0.01
540,0.01,0.01
541,0.01,0.01
542,0.01,0.01
543,0.01,0.01
544,0.01,0.01
545,0.01,0.01
546,0.01,0.01
547,0.01,0.01
548,0.01,0.01
549,0.01,0.01
550,0.01,0.01
551,0.01,0.01
552,0.01,0.01
553,0.01,0.01
554,0.01,0.01
555,0.01,0.01
556,0.01,0.01
557,0.01,0.01
558,0.01,0.01
559,0.01,0.01
560,0.01,0.01
561,0.01,0.01
562,0.01,0.01
563,0.01,0.01
564,0.01,0.01
565,0.01,0.01
566,0.01,0.01
567,0.01,0.01
568,0.01,0.01
569,0.01,0.01
570,0.01,0.01
571,0.01,0.01
572,0.01,0.01
573,0.01,0.01
574,0.01,0.01
575,0.01,0.01
576,0.01,0.01
577,0.01,0.01
578,0.01,0.01
579,0.01,0.01
580,0.01,0.01
581,0.01,0.01
582,0.01,0.01
583,0.01,0.01
584,0.01,0.01
585,0.01,0.01
586,0.01,0.01
587,0.01,0.01
588,0.01,0.01
589,0.01,0.01
590,0.01,0.01
591,0.01,0.01
592,0.01,0.01
593,0.01,0.01
594,0.01,0.01
595,0.01,0.01
596,0.01,0.01
597,0.01,0.01
598,0.01,0.01
599,0.01,0.01
600,0.01,0.01
601,0.01,0.01
602,0.01,0.01
603,0.01,0.01
604,0.01,0.01
605,0.01,0.01
606,0.01,0.01
607,0.01,0.01
608,0.01,0.01
609,0.01,0.01
610,0.01,0.01
611,0.01,0.01
612,0.01,0.01
613,0.01,0.01
614,0.01,0.01
615,0.01,0.01
616,0.01,0.01
617,0.01,0.01
618,0.01,0.01
619,0.01,0.01
620,0.01,0.01
621,0.01,0.01
622,0.01,0.01
623,0.01,0.01
624,0.01,0.01
625,0.01,0.01
626,0.01,0.01
627,0.01,0.01
628,0.01,0.01
629,0.01,0.01
630,0.01,0.01
631,0.01,0.01
632,0.01,0.01
633,0.01,0.01
634,0.01,0.01
635,0.01,0.01
636,0.01,0.02
637,0.01,0.02
638,0.01,0.02
639,0.01,0.02
640,0.01,0.02
641,0.01,0.02
642,0.01,0.02
643,0.01,0.02
644,0.01,0.02
645,0.01,0.02
646,0.01,0.02
647,0.01,0.01
648,0.01,0.01
649,0.01,0.01
650,0.01,0.01
651,0.01,0.01
652,0.01,0.01
653,0.01,0.01
654,0.01,0.01
655,0.01,0.01
656,0.01,0.01
657,0.01,0.01
658,0.01,0.01
659,0.01,0.01
660,0.01,0.01
661,0.01,0.02
662,0.01,0.02
663,0.01,0.02
664,0.01,0.02
665,0.01,0.02
666,0.01,0.02
667,0.01,0.02
668,0.01,0.02
669,0.01,0.02
670,0.01,0.02
671,0.01,0.01
672,0.01,0.01
673,0.01,0.01
674,0.01,0.01
675,0.01,0.01
676,0.01,0.01
677,0.01,0.01
678,0.01,0.01
679,0.01,0.01
680,0.01,0.01
681,0.01,0.02
682,0.01,0.02
683,0.01,0.02
684,0.01,0.02
685,0.01,0.02
686,0.01,0.02
687,0.01,0.02
688,0.01,0.02
689,0.01,0.02
690,0.01,0.02
691,0.01,0.02
692,0.01,0.02
693,0.01,0.02
694,0.01,0.02
695,0.01,0.02
696,0.01,0.02
697,0.01,0.02
698,0.01,0.02
699,0.01,0.02
700,0.01,0.02
701,0.01,0.02
702,0.01,0.02
703,0.01,0.02
704,0.01,0.02
705,0.01,0.02
706,0.01,0.02
707,0.01,0.02
708,0.01,0.02
709,0.01,0.02
710,0.01,0.02
711,0.01,0.02
712,0.01,0.02
713,0.01,0.02
714,0.01,0.02
715,0.01,0.02
716,0.01,0.02
717,0.01,0.02
718,0.01,0.02
719,0.01,0.02
720,0.01,0.02
721,0.01,0.02
722,0.01,0.02
723,0.01,0.02
