Time,Frame,nose_dist,body_dist,freezing,Left,Right
0.04,1,0.0,0.0,0,0.0,0.0
0.08,2,0.0,0.0,0,0.0,0.0
0.12,3,0.0,0.0,0,0.0,0.0
0.16,4,0.0,0.0,0,0.01,0.0
0.2,5,0.0,0.0,0,0.01,0.0
0.24,6,0.0,0.0,0,0.01,0.0
0.28,7,0.0,0.0,0,0.01,0.0
0.32,8,0.0,0.0,0,0.01,0.0
0.36,9,0.0,0.0,0,0.01,0.0
0.4,10,0.0,0.0,0,0.01,0.0
0.44,11,0.0,0.0,0,0.01,0.0
0.48,12,0.0,0.0,0,0.01,0.0
0.52,13,0.0,0.0,0,0.01,0.0
0.56,14,0.0,0.0,0,0.01,0.0
0.6,15,0.0,0.0,0,0.01,0.0
0.64,16,0.0,0.0,0,0.01,0.0
0.68,17,0.0,0.0,0,0.01,0.0
0.72,18,0.0,0.0,0,0.01,0.0
0.76,19,0.0,0.0,0,0.01,0.0
0.8,20,0.0,0.0,0,0.01,0.0
0.84,21,0.0,0.0,0,0.01,0.0
0.88,22,0.0,0.0,0,0.01,0.0
0.92,23,0.0,0.0,0,0.01,0.0
0.96,24,0.0,0.0,0,0.01,0.0
1.0,25,0.0,0.0,0,0.01,0.0
1.04,26,0.0,0.0,0,0.01,0.0
1.08,27,0.0,0.0,0,0.01,0.0
1.12,28,0.0,0.0,0,0.01,0.0
1.16,29,0.0,0.0,0,0.01,0.0
1.2,30,0.0,0.0,0,0.01,0.0
1.24,31,0.0,0.0,0,0.01,0.0
1.28,32,0.0,0.0,0,0.01,0.0
1.32,33,0.0,0.0,0,0.01,0.0
1.36,34,0.0,0.0,0,0.01,0.0
1.4,35,0.0,0.0,0,0.01,0.0
1.44,36,0.0,0.0,0,0.01,0.0
1.48,37,0.0,0.0,0,0.01,0.0
1.52,38,0.0,0.0,0,0.0,0.0
1.56,39,0.0,0.0,0,0.0,0.0
1.6,40,0.0,0.0,0,0.01,0.0
1.64,41,0.0,0.0,0,0.01,0.0
1.68,42,0.0,0.0,0,0.01,0.0
1.72,43,0.0,0.0,0,0.01,0.0
1.76,44,0.0,0.0,0,0.01,0.0
1.8,45,0.0,0.0,0,0.01,0.0
1.84,46,0.0,0.0,0,0.01,0.0
1.88,47,0.0,0.0,0,0.01,0.0
1.92,48,0.0,0.0,0,0.01,0.0
1.96,49,0.0,0.0,0,0.01,0.0
2.0,50,0.0,0.0,0,0.02,0.0
2.04,51,0.0,0.0,0,0.03,0.0
2.08,52,0.003727495943915,0.0021424841285348,0,0.05,0.0
2.12,53,0.0026787623203861,0.0013076478179829,0,0.06,0.0
2.16,54,0.0008943892160155,0.0008725013413372,0,0.08,0.0
2.2,55,0.0020873631856271,0.0007774880547374,0,0.09,0.0
2.24,56,0.003387225589532,0.0014418808462484,0,0.12,0.0
2.28,57,0.0025509806206648,0.0022576084994929,0,0.16,0.0
2.32,58,0.003506308368291,0.0026135334450311,0,0.21,0.0
2.36,59,0.0040573057167546,0.0034774861256685,0,0.31,0.0
2.4,60,0.0034395167852787,0.0028990801572389,0,0.44,0.0
2.44,61,0.0043969870300515,0.0032846699180778,0,0.68,0.0
2.48,62,0.0052139969209806,0.0056547410163042,0,0.89,0.0
2.52,63,0.0023012970101244,0.0022874714333281,0,0.95,0.0
2.56,64,0.0023929646882775,0.001479308231135,0,0.97,0.0
2.6,65,0.001703047480726,0.0012246748541194,0,0.98,0.0
2.64,66,0.0006478863369533,0.0003298709853833,0,0.98,0.0
2.68,67,0.0007106056071793,0.000176540779997,0,0.98,0.0
2.72,68,0.0012459309556464,0.00043600129861,0,0.98,0.0
2.76,69,0.0009285201741072,0.0005676280169827,0,0.98,0.0
2.8,70,0.0011243638827065,0.0005119412648991,0,0.98,0.0
2.84,71,0.0005875742554292,0.000460548255559,0,0.98,0.0
2.88,72,0.0005195370871289,0.0001151848874509,0,0.98,0.0
2.92,73,0.0010539788746204,0.0004685552810913,0,0.98,0.0
2.96,74,0.0035401761911814,0.0016888417296568,0,0.96,0.0
3.0,75,0.0081481572713692,0.0038649733352701,0,0.83,0.0
3.04,76,0.0111922831878909,0.0055224966684481,0,0.26,0.0
3.08,77,0.0128744570162797,0.0063281552271054,0,0.06,0.0
3.12,78,0.012833869653534,0.0046293513520473,0,0.02,0.0
3.16,79,0.0113546758261139,0.0029910035511627,0,0.01,0.0
3.2,80,0.0106975075291441,0.0029070163176807,0,0.0,0.0
3.24,81,0.0158678859306763,0.0071026927279965,0,0.0,0.0
3.28,82,0.0166980181696607,0.0115550526532714,0,0.0,0.0
3.32,83,0.0124812024645497,0.0116733667929899,0,0.0,0.0
3.36,84,0.0103680442743103,0.0101838452595431,0,0.0,0.0
3.4,85,0.0126040915285319,0.0133710895207403,0,0.0,0.0
3.44,86,0.0162630176898442,0.0164198635276815,0,0.01,0.0
3.48,87,0.0125661175416943,0.011601471992754,0,0.01,0.0
3.52,88,0.0158143463465267,0.0161528793041229,0,0.01,0.0
3.56,89,0.0099413246288198,0.010690848911894,0,0.01,0.0
3.6,90,0.0080233084332327,0.0097607491217445,0,0.01,0.0
3.64,91,0.0071863020019178,0.0080616858682785,0,0.01,0.0
3.68,92,0.0068195517680137,0.006923500071255,0,0.01,0.0
3.72,93,0.0093714749928521,0.0082225582486668,0,0.01,0.0
3.76,94,0.0132943700169639,0.0121841560782257,0,0.01,0.0
3.8,95,0.0080617743587714,0.0080496189838027,0,0.01,0.0
3.84,96,0.0059693994561384,0.0071843881810586,0,0.01,0.0
3.88,97,0.0074413006891378,0.0091441462730333,0,0.01,0.0
3.92,98,0.0111333498471178,0.0120475177656397,0,0.01,0.0
3.96,99,0.0035871367836048,0.0035970332514915,0,0.01,0.0
4.0,100,0.006339493254636,0.0052539289243668,0,0.01,0.0
4.04,101,0.010666950480339,0.0093574303711958,0,0.01,0.0
4.08,102,0.0077562905464449,0.0084795632518228,0,0.01,0.01
4.12,103,0.0063726990381471,0.0066074237400637,0,0.01,0.01
4.16,104,0.0058781445838629,0.0059948573800797,0,0.01,0.01
4.2,105,0.0051407829028905,0.005100185557995,0,0.01,0.01
4.24,106,0.0021445986132966,0.0014704877130402,0,0.01,0.01
4.28,107,0.0009433176623695,0.0003080770616601,0,0.01,0.01
4.32,108,0.0026674656742163,0.0007159701663328,0,0.01,0.01
4.36,109,0.0035778487292665,0.0014141272880042,0,0.01,0.01
4.4,110,0.0018199005396177,0.0017258653478746,0,0.01,0.01
4.44,111,0.0008382796147789,0.0011475692816344,0,0.01,0.01
4.48,112,0.0015123626738617,0.0004853386044465,0,0.01,0.01
4.52,113,0.0049789354167388,0.0002249933408981,0,0.01,0.01
4.56,114,0.0102814483069261,0.0010648408168299,0,0.01,0.01
4.6,115,0.0118072294780607,0.0013056710322888,0,0.01,0.01
4.64,116,0.0101314538759193,0.0010139020558334,0,0.01,0.01
4.68,117,0.0099660770588113,0.0028605046094062,0,0.01,0.0
4.72,118,0.0042329699899578,0.0018554948378949,0,0.01,0.0
4.76,119,0.0019437253068171,0.001452218775845,0,0.01,0.0
4.8,120,0.0044672578924427,0.0015096689962395,0,0.01,0.0
4.84,121,0.0077060991911606,0.0033728746326041,0,0.0,0.0
4.88,122,0.0064405199322388,0.0027916018854046,0,0.0,0.0
4.92,123,0.0045987610827905,0.0041696511466581,0,0.0,0.0
4.96,124,0.0017729077190326,0.0018378344730989,0,0.0,0.0
5.0,125,0.0046105888516185,0.0041149879849373,0,0.0,0.0
5.04,126,0.0049050683522257,0.003705923544669,0,0.0,0.0
5.08,127,0.0048738521287012,0.0009473391508681,0,0.0,0.0
5.12,128,0.0043162384200585,0.0003366481507304,0,0.0,0.0
5.16,129,0.0019573137161629,0.0005134649949513,0,0.0,0.01
5.2,130,0.0017365118690692,0.0002925356447625,0,0.0,0.01
5.24,131,0.0022304209742926,0.0009205652903332,0,0.0,0.01
5.28,132,0.003617507792242,0.0025059016527415,0,0.0,0.01
5.32,133,0.0032705169690137,0.0038164433860731,0,0.0,0.01
5.36,134,0.0035888091244857,0.0047256349522698,0,0.0,0.02
5.4,135,0.0012755246596539,0.002619475974441,0,0.0,0.02
5.44,136,0.0005312896664363,0.0004243387452131,0,0.0,0.03
5.48,137,0.0005677151120104,0.0003751352409637,0,0.0,0.03
5.52,138,0.0010103038489307,0.0015088553304903,0,0.0,0.03
5.56,139,0.0009275986825436,0.0006124392625652,0,0.0,0.03
5.6,140,0.0052550343251319,0.0028876089753758,0,0.0,0.02
5.64,141,0.0118767880708065,0.0090544155864869,0,0.0,0.01
5.68,142,0.0093452766376975,0.0061474459744733,0,0.0,0.01
5.72,143,0.0118097904811777,0.0043432396480226,0,0.0,0.01
5.76,144,0.0035252325251844,0.0012821470538178,0,0.0,0.01
5.8,145,0.0027770744592711,0.0015357900197869,0,0.0,0.01
5.84,146,0.0027531859658087,0.0004874649605078,0,0.0,0.01
5.88,147,0.0022770974765039,0.0005335448808419,0,0.0,0.01
5.92,148,0.0049710624534978,0.0018545589180468,0,0.0,0.01
5.96,149,0.0053829525645567,0.0010657393109544,0,0.0,0.01
6.0,150,0.0032539566464399,0.0003709016046187,0,0.0,0.01
6.04,151,0.0011317264124494,0.0001464313954414,0,0.0,0.01
6.08,152,0.0001585629265401,6.436829107188843e-05,0,0.0,0.01
6.12,153,8.308294253540999e-05,0.0003605973470015,0,0.0,0.01
