Time,Frame,nose_dist,body_dist,freezing,Known,Novel
0.04,1,0.0,0.0,0,0.47,0.0
0.08,2,0.0,0.0,0,0.69,0.0
0.12,3,0.0,0.0,0,0.74,0.0
0.16,4,0.0,0.0,0,0.72,0.01
0.2,5,0.0,0.0,0,0.66,0.01
0.24,6,0.0,0.0,0,0.57,0.01
0.28,7,0.0,0.0,0,0.49,0.01
0.32,8,0.0,0.0,0,0.46,0.0
0.36,9,0.0,0.0,0,0.48,0.0
0.4,10,0.0,0.0,0,0.54,0.0
0.44,11,0.0,0.0,0,0.67,0.0
0.48,12,0.0,0.0,0,0.83,0.0
0.52,13,0.0,0.0,0,0.91,0.0
0.56,14,0.0,0.0,0,0.93,0.0
0.6,15,0.0,0.0,0,0.94,0.01
0.64,16,0.0,0.0,0,0.94,0.01
0.68,17,0.0,0.0,0,0.94,0.01
0.72,18,0.0,0.0,0,0.94,0.01
0.76,19,0.0,0.0,0,0.93,0.01
0.8,20,0.0,0.0,0,0.93,0.01
0.84,21,0.0,0.0,0,0.92,0.01
0.88,22,0.0,0.0,0,0.9,0.01
0.92,23,0.0,0.0,0,0.85,0.01
0.96,24,0.0,0.0,0,0.71,0.0
1.0,25,0.0,0.0,0,0.28,0.0
1.04,26,0.0,0.0,0,0.06,0.01
1.08,27,0.0,0.0,0,0.02,0.01
1.12,28,0.0,0.0,0,0.01,0.01
1.16,29,0.0,0.0,0,0.01,0.01
1.2,30,0.0,0.0,0,0.01,0.01
1.24,31,0.0,0.0,0,0.01,0.0
1.28,32,0.0,0.0,0,0.01,0.0
1.32,33,0.0,0.0,0,0.01,0.0
1.36,34,0.0,0.0,0,0.01,0.0
1.4,35,0.0,0.0,0,0.01,0.0
1.44,36,0.0,0.0,0,0.01,0.0
1.48,37,0.0,0.0,0,0.01,0.0
1.52,38,0.0,0.0,0,0.01,0.01
1.56,39,0.0,0.0,0,0.01,0.01
1.6,40,0.0,0.0,0,0.0,0.01
1.64,41,0.0,0.0,0,0.0,0.01
1.68,42,0.0,0.0,0,0.0,0.01
1.72,43,0.0,0.0,0,0.01,0.01
1.76,44,0.0,0.0,0,0.01,0.0
1.8,45,0.0,0.0,0,0.0,0.0
1.84,46,0.0,0.0,0,0.0,0.0
1.88,47,0.0,0.0,0,0.0,0.01
1.92,48,0.0,0.0,0,0.0,0.01
1.96,49,0.0,0.0,0,0.0,0.01
2.0,50,0.0,0.0,0,0.0,0.0
2.04,51,0.0,0.0,0,0.01,0.0
2.08,52,0.0069581830349149,0.0079713055391014,0,0.01,0.0
2.12,53,0.0077740555241584,0.0080887235569859,0,0.01,0.0
2.16,54,0.0056861895796854,0.0056152279594135,0,0.01,0.0
2.2,55,0.0058188200555587,0.0062372851620729,0,0.01,0.0
2.24,56,0.00615782306623,0.0068912877027818,0,0.01,0.01
2.28,57,0.0093232541000367,0.0103174200604496,0,0.01,0.01
2.32,58,0.0089121869710481,0.0102319881425247,0,0.01,0.01
2.36,59,0.0131523274135204,0.012580370246965,0,0.01,0.01
2.4,60,0.0083676081658748,0.0088339042735771,0,0.01,0.01
2.44,61,0.0072246710799314,0.0073650087506733,0,0.01,0.01
2.48,62,0.0083095199493928,0.0093934808529522,0,0.01,0.01
2.52,63,0.0107744199208439,0.0107411891358389,0,0.01,0.0
2.56,64,0.0050751803769626,0.0054806684155056,0,0.01,0.0
2.6,65,0.0009996533734267,0.0010415005340435,0,0.01,0.0
2.64,66,0.0014792289162213,0.0013851697214329,0,0.01,0.0
2.68,67,0.0029085991949764,0.0015346461405051,0,0.01,0.0
2.72,68,0.0079996705709756,0.0013258756231476,0,0.01,0.0
2.76,69,0.0096883344730752,0.0016863082267978,0,0.01,0.0
2.8,70,0.007731860647465,0.0021980729084826,0,0.01,0.01
2.84,71,0.0079099649976236,0.0040604067518427,0,0.01,0.01
2.88,72,0.009462602842717,0.007313518470773,0,0.01,0.01
