Time,Frame,nose_dist,body_dist,freezing,body,Novel,Known
0.04,1,0.0,0.0,0,other,0,0
0.08,2,0.0,0.0,0,other,0,0
0.12,3,0.0,0.0,0,other,0,0
0.16,4,0.0,0.0,0,other,0,0
0.2,5,0.0,0.0,0,other,0,0
0.24,6,0.0,0.0,0,other,0,0
0.28,7,0.0,0.0,0,other,0,0
0.32,8,0.0,0.0,0,other,0,0
0.36,9,0.0,0.0,0,other,0,0
0.4,10,0.0,0.0,0,other,0,0
0.44,11,0.0,0.0,0,other,0,0
0.48,12,0.0,0.0,0,other,0,0
0.52,13,0.0,0.0,0,other,0,0
0.56,14,0.0,0.0,0,other,0,0
0.6,15,0.0,0.0,0,other,0,0
0.64,16,0.0,0.0,0,other,0,0
0.68,17,0.0,0.0,0,other,0,0
0.72,18,0.0,0.0,0,other,0,0
0.76,19,0.0,0.0,0,other,0,0
0.8,20,0.0,0.0,0,other,0,0
0.84,21,0.0,0.0,0,other,0,0
0.88,22,0.0,0.0,0,other,0,0
0.92,23,0.0,0.0,0,other,0,0
0.96,24,0.0,0.0,0,other,0,0
1.0,25,0.0,0.0,0,other,0,0
1.04,26,0.0,0.0,0,other,0,0
1.08,27,0.0,0.0,0,other,0,0
1.12,28,0.0,0.0,0,other,0,0
1.16,29,0.0,0.0,0,other,0,0
1.2,30,0.0,0.0,0,other,0,0
1.24,31,0.0,0.0,0,other,0,0
1.28,32,0.0,0.0,0,other,0,0
1.32,33,0.0,0.0,0,other,0,0
1.36,34,0.0,0.0,0,other,0,0
1.4,35,0.0,0.0,0,other,0,0
1.44,36,0.0,0.0,0,other,0,0
1.48,37,0.0,0.0,0,other,0,0
1.52,38,0.0,0.0,0,other,0,0
1.56,39,0.0,0.0,0,other,0,0
1.6,40,0.0,0.0,0,other,0,0
1.64,41,0.0,0.0,0,other,1,0
1.68,42,0.0,0.0,0,other,1,0
1.72,43,0.0,0.0,0,other,1,0
1.76,44,0.0,0.0,0,other,1,0
1.8,45,0.0,0.0,0,other,1,0
1.84,46,0.0,0.0,0,other,1,0
1.88,47,0.0,0.0,0,other,1,0
1.92,48,0.0,0.0,0,other,1,0
1.96,49,0.0,0.0,0,other,1,0
2.0,50,0.0,0.0,0,other,1,0
2.04,51,0.0,0.0,0,other,1,0
2.08,52,0.0,0.0,0,other,1,0
2.12,53,0.0,0.0,0,other,1,0
2.16,54,0.0,0.0,0,other,0,0
2.2,55,0.0,0.0,0,other,0,0
2.24,56,0.0,0.0,0,other,0,0
2.28,57,0.0,0.0,0,other,0,0
2.32,58,0.0,0.0,0,other,0,0
2.36,59,0.0,0.0,0,other,0,0
2.4,60,0.0,0.0,0,other,0,0
2.44,61,0.0,0.0,0,other,0,0
2.48,62,0.0046815506864058,0.0055058838542341,0,other,0,0
2.52,63,0.002392600041139,0.0041641397989523,0,other,0,0
2.56,64,0.0022187370516984,0.0034225236984158,0,other,0,0
2.6,65,0.0018343908365858,0.0022707597389315,0,other,0,0
2.64,66,0.0026079552618668,0.0019700322409532,0,other,0,0
2.68,67,0.0007121603461402,0.0014083843416922,0,other,0,0
2.72,68,2.9679047372166423e-05,0.0008063246348143,0,other,0,0
2.76,69,9.98381847272963e-05,0.0002448044310792,0,other,0,0
2.8,70,0.0016540381801562,0.0006052330987369,0,other,0,0
2.84,71,0.0060348568844212,0.0017688300632118,0,other,0,0
2.88,72,0.0056210429493645,0.0022947088835123,0,other,0,0
2.92,73,0.0054340779236885,0.0021217466505615,0,other,0,0
2.96,74,0.005320294619264,0.003745712991458,0,other,0,0
3.0,75,0.0088635596912102,0.0078977364263124,0,other,0,0
3.04,76,0.0068177902080391,0.0073458012639021,0,other,0,0
3.08,77,0.006138221406786,0.0071199517073193,0,other,0,0
3.12,78,0.0080770172157614,0.0081824099989475,0,other,0,0
3.16,79,0.0100967469298966,0.0098191009058055,0,other,0,0
3.2,80,0.0079709456319607,0.007782779810487,0,other,0,0
3.24,81,0.0076285426439555,0.008070907487605,0,other,0,0
3.28,82,0.0074073671466125,0.0087019995910975,0,other,0,0
3.32,83,0.0108837807293437,0.0108996676889028,0,other,0,0
3.36,84,0.0084502642902024,0.0079609677058085,0,other,0,0
3.4,85,0.0075629331338704,0.0070319576344487,0,other,0,0
3.44,86,0.0077673935182167,0.007670914470992,0,other,0,0
3.48,87,0.0090946091044036,0.0112160279275222,0,other,0,0
3.52,88,0.007141990324248,0.0077001107347459,0,other,0,0
3.56,89,0.0061356998029648,0.0058377297858535,0,other,0,0
3.6,90,0.0077036808833863,0.0064921201827302,0,other,0,0
3.64,91,0.0129598413135879,0.0118567228072218,0,other,0,0
3.68,92,0.0095136114598861,0.0099073817538968,0,other,0,0
3.72,93,0.006594861911737,0.0081087991593339,0,other,0,0
3.76,94,0.0026037677254722,0.0032718996445961,0,other,0,0
3.8,95,0.0080524736848337,0.0091938786947494,0,other,0,0
3.84,96,0.014163364014291,0.0142349649455132,0,other,0,0
3.88,97,0.0101925556261064,0.0088649643985081,0,other,0,0
3.92,98,0.0064136703323664,0.0056127556453182,0,other,0,0
3.96,99,0.0012750481955509,0.0031123709891723,0,other,0,0
4.0,100,0.0010570942553881,0.0015071958545957,0,other,0,0
4.04,101,0.0029102358485049,0.0006272614970758,0,other,0,0
4.08,102,0.0012487895978074,0.0006106906146309,0,other,0,0
4.12,103,0.0005645544222642,0.000854002188904,0,other,0,0
4.16,104,0.0002507722716703,0.0002714118985864,0,other,0,0
4.2,105,0.0006065974891906,0.0008941000032868,0,other,0,0
