Time,Frame,nose_dist,body_dist,freezing,darting,Left,Right
0.07,1,0.0,0.0,0,0,0,0
0.13,2,0.0,0.0,0,0,0,0
0.2,3,0.0,0.0,0,0,0,0
0.27,4,0.0,0.0,0,0,0,0
0.33,5,0.0,0.0,0,0,0,0
0.4,6,0.0,0.0,0,0,0,0
0.47,7,0.0,0.0,0,0,0,0
0.53,8,0.0,0.0,0,0,0,0
0.6,9,0.0,0.0,0,0,0,0
0.67,10,0.0,0.0,0,0,0,0
0.73,11,0.0,0.0,0,0,0,0
0.8,12,0.0,0.0,0,0,0,0
0.87,13,0.0,0.0,0,0,0,0
0.93,14,0.0,0.0,0,0,0,0
1.0,15,0.0,0.0,0,0,0,0
1.07,16,0.0,0.0,0,0,0,0
1.13,17,0.0,0.0,0,0,0,0
1.2,18,0.0,0.0,0,0,0,0
1.27,19,0.0,0.0,0,0,0,0
1.33,20,0.0,0.0,0,0,0,0
1.4,21,0.0,0.0,0,0,0,0
1.47,22,0.0,0.0,0,0,0,0
1.53,23,0.0,0.0,0,0,0,0
1.6,24,0.0,0.0,0,0,0,0
1.67,25,0.0,0.0,0,0,0,0
1.73,26,0.0,0.0,0,0,0,0
1.8,27,0.0,0.0,0,0,0,0
1.87,28,0.0,0.0,0,0,0,0
1.93,29,0.0,0.0,0,0,0,0
2.0,30,0.0,0.0,0,0,0,0
2.07,31,0.0,0.0,0,0,0,0
2.13,32,0.0211540817311656,0.0230475463813142,0,0,0,0
2.2,33,0.0237798689119997,0.0237251323332973,0,0,0,0
2.27,34,0.020376530674853,0.0224935394546204,0,0,0,0
2.33,35,0.0172787990887563,0.0170486081109864,0,0,0,0
2.4,36,0.0130986518629453,0.011452575245574,0,0,0,1
2.47,37,0.005338995879844,0.0045698355681463,0,0,0,1
2.53,38,0.0022238806839476,0.0011780702718106,0,0,0,1
2.6,39,0.0039084786190043,6.510335745081134e-05,0,0,0,1
2.67,40,0.0049273574887824,0.0008327864544537,0,0,0,1
2.73,41,0.0016324222002048,0.0003375711481078,0,0,0,1
2.8,42,0.0011497769506476,0.0003345629123916,0,0,0,1
2.87,43,0.0010816201498785,0.0001533402067767,0,0,0,1
2.93,44,0.0001268372050997,0.00018712169181,0,0,0,1
3.0,45,0.0013369942099699,0.000369295954681,0,0,0,1
3.07,46,0.0035945966463042,0.0004844452491859,0,0,0,1
3.13,47,0.0021577698523991,0.0008890192862919,0,0,0,1
3.2,48,0.0003829919061184,0.0008899554815423,0,0,0,1
3.27,49,0.002711175670308,0.0005805991767865,0,0,0,1
3.33,50,0.0018840235819122,0.0001061717339251,0,0,0,1
3.4,51,0.0009596578684486,0.0004206631206832,0,0,0,1
3.47,52,0.0016364227172805,8.654270379563519e-05,0,0,0,1
3.53,53,0.0023323492546821,0.0002164009843766,0,0,0,1
3.6,54,0.0029515545919591,0.0001971692236138,0,0,0,1
3.67,55,0.0110065480734321,0.0010285583814949,0,0,0,1
3.73,56,0.008954407928704,0.0019582011536798,0,0,0,1
3.8,57,0.0063120628604187,0.0021816087496423,0,0,0,1
3.87,58,0.0071342589934058,0.0039681928997746,0,0,0,1
3.93,59,0.0049008306099012,0.0031305366523964,0,0,0,1
4.0,60,0.0038661522639012,0.0008942456993918,0,0,0,1
4.07,61,0.0035293189905563,0.0006071179465831,0,0,0,1
4.13,62,0.000233865718953,8.31698185436904e-05,0,0,0,1
4.2,63,0.0028702117910571,0.0009489689883177,0,0,0,1
4.27,64,0.0034860286368701,0.0013200664635367,0,0,0,1
4.33,65,0.0055935441666328,0.000862530239313,0,0,0,1
4.4,66,0.0032572075931428,0.0008271668920427,0,0,0,1
4.47,67,0.0028754522155946,0.0003492559454307,0,0,0,1
4.53,68,0.0037133884690129,0.0003933773703794,0,0,0,1
4.6,69,0.0034372332323549,0.0006946891539051,0,0,0,1
4.67,70,0.0019440867997198,0.0003516491703194,0,0,0,1
4.73,71,0.001522493999944,0.000801841715222,0,0,0,1
4.8,72,0.0004345332697699,0.0001609567862583,0,0,0,1
4.87,73,0.0054254922458405,0.0011695868661352,0,0,0,1
4.93,74,0.0184703602532745,0.0058859275145827,0,0,0,1
5.0,75,0.0203310290275135,0.0088054135540541,0,0,0,1
