Time,Frame,nose_dist,body_dist,freezing,darting,Left,Right
0.07,1,0.0,0.0,0,0,0,0
0.13,2,0.0,0.0,0,0,0,0
0.2,3,0.0,0.0,0,0,0,0
0.27,4,0.0,0.0,0,0,0,0
0.33,5,0.0,0.0,0,0,0,0
0.4,6,0.0,0.0,0,0,0,0
0.47,7,0.0,0.0,0,0,0,0
0.53,8,0.0,0.0,0,0,0,0
0.6,9,0.0,0.0,0,0,0,0
0.67,10,0.0,0.0,0,0,0,0
0.73,11,0.0,0.0,0,0,0,0
0.8,12,0.0,0.0,0,0,0,0
0.87,13,0.0,0.0,0,0,0,0
0.93,14,0.0,0.0,0,0,0,0
1.0,15,0.0,0.0,0,0,0,0
1.07,16,0.0,0.0,0,0,0,0
1.13,17,0.0,0.0,0,0,0,0
1.2,18,0.0,0.0,0,0,0,0
1.27,19,0.0,0.0,0,0,0,0
1.33,20,0.0,0.0,0,0,0,0
1.4,21,0.0,0.0,0,0,0,0
1.47,22,0.0,0.0,0,0,0,0
1.53,23,0.0,0.0,0,0,0,0
1.6,24,0.0,0.0,0,0,0,0
1.67,25,0.0,0.0,0,0,0,0
1.73,26,0.0,0.0,0,0,0,0
1.8,27,0.0,0.0,0,0,0,0
1.87,28,0.0,0.0,0,0,0,0
1.93,29,0.0,0.0,0,0,0,0
2.0,30,0.0,0.0,0,0,0,0
2.07,31,0.0,0.0,0,0,0,0
2.13,32,0.0150862932669952,0.0126952510000611,0,0,0,0
2.2,33,0.0158135354073301,0.019257458318096,0,0,0,0
2.27,34,0.0219488351601857,0.0241826144846558,0,0,0,0
2.33,35,0.0257840032668648,0.0261772577936182,0,0,0,0
2.4,36,0.0254710154334582,0.0260367016317719,0,0,0,0
2.47,37,0.0251053427383358,0.0240223209049707,0,0,0,0
2.53,38,0.0218146776862563,0.0183301209975019,0,0,0,0
2.6,39,0.0155173206952763,0.0130879861399486,0,0,0,0
2.67,40,0.008858430352218,0.0105120120887537,0,0,0,0
2.73,41,0.0051266000073749,0.0042247412055613,0,0,0,0
2.8,42,0.0074499331160944,0.0006892349131796,0,0,0,0
2.87,43,0.0137350880878849,0.0039921867318946,0,0,0,0
2.93,44,0.0152138209912432,0.0021528148374217,0,0,0,0
3.0,45,0.0155281420123159,0.004081233280783,0,0,0,0
3.07,46,0.0117958741867723,0.0078889740708908,0,0,0,0
3.13,47,0.0085333120638367,0.0062606981503355,0,0,0,0
3.2,48,0.0057560750837763,0.0018573656653014,0,0,0,0
3.27,49,0.0034036863060836,0.002622363782625,0,0,0,0
3.33,50,0.0031159893393518,0.0025120785860743,0,0,0,0
3.4,51,0.0111586718954505,0.0041631602565503,0,0,0,0
3.47,52,0.0219913218148831,0.007851102354256,0,0,0,0
3.53,53,0.0236631154651304,0.0077287700093022,0,0,0,0
3.6,54,0.024375106646907,0.0090198820051857,0,0,0,0
3.67,55,0.0299672230139642,0.0246548294369117,0,0,0,0
3.73,56,0.0281124960227994,0.0314325614160006,0,0,0,0
3.8,57,0.0268667004892828,0.0233426864040685,0,0,0,0
3.87,58,0.021238096821568,0.0190608699838377,0,0,0,0
3.93,59,0.0180701317797934,0.0144883599700964,0,0,0,0
4.0,60,0.0185712685581162,0.0084103662785643,0,0,0,0
4.07,61,0.0128915163632906,0.0085781763448084,0,0,0,0
4.13,62,0.014685023543004,0.0082570830301357,0,0,0,0
4.2,63,0.0162112213715575,0.0103972063944616,0,0,0,0
4.27,64,0.0161215363707118,0.0117938130048181,0,0,0,0
4.33,65,0.0139936742041919,0.0105384313391541,0,0,0,0
4.4,66,0.0077061190570574,0.0082944396460031,0,0,0,0
4.47,67,0.0043787820352481,0.0047030109549868,0,0,0,0
4.53,68,0.0085759606171463,0.0021262065851482,0,0,0,0
4.6,69,0.0168549609347683,0.001449295619132,0,0,0,0
4.67,70,0.0215517248261285,0.0008076892381374,0,0,0,0
4.73,71,0.0185888425744843,0.0035469167793425,0,0,0,0
4.8,72,0.0154439381939828,0.0077736928477932,0,0,0,0
4.87,73,0.0131040015563828,0.0108458542065684,0,0,0,0
4.93,74,0.0168582110083187,0.0137376965719798,0,0,0,0
5.0,75,0.018088198685574,0.0162911387104894,0,0,0,0
