Frame,nose_dist,body_dist,freezing,Known,Novel
1,0.0,0.0,0,0,0
2,0.0,0.0,0,0,0
3,0.0,0.0,0,0,0
4,0.0,0.0,0,0,0
5,0.0,0.0,0,0,0
6,0.0,0.0,0,0,0
7,0.0,0.0,0,0,0
8,0.0,0.0,0,0,0
9,0.0,0.0,0,0,0
10,0.0,0.0,0,0,0
11,0.0,0.0,0,0,0
12,0.0,0.0,0,0,0
13,0.0,0.0,0,0,0
14,0.0,0.0,0,0,0
15,0.0,0.0,0,0,0
16,0.0,0.0,0,0,0
17,0.0,0.0,0,0,0
18,0.0,0.0,0,0,0
19,0.0,0.0,0,0,0
20,0.0,0.0,0,0,0
21,0.0,0.0,0,0,0
22,0.0,0.0,0,0,0
23,0.0,0.0,0,0,0
24,0.0,0.0,0,0,0
25,0.0,0.0,0,0,0
26,0.0,0.0,0,0,0
27,0.0,0.0,0,0,0
28,0.0,0.0,0,0,0
29,0.0,0.0,0,0,0
30,0.0,0.0,0,0,0
31,0.0,0.0,0,0,0
32,0.0,0.0,0,0,0
33,0.0,0.0,0,0,0
34,0.0,0.0,0,0,0
35,0.0,0.0,0,0,0
36,0.0,0.0,0,0,0
37,0.0,0.0,0,0,0
38,0.0,0.0,0,0,0
39,0.0,0.0,0,0,0
40,0.0,0.0,0,0,0
41,0.0,0.0,0,0,0
42,0.0,0.0,0,0,0
43,0.0,0.0,0,0,0
44,0.0,0.0,0,0,0
45,0.0,0.0,0,0,0
46,0.0,0.0,0,0,0
47,0.0,0.0,0,0,0
48,0.0,0.0,0,0,0
49,0.0,0.0,0,0,0
50,0.0,0.0,0,0,0
51,0.0,0.0,0,0,0
52,0.0,0.0,0,0,0
53,0.0,0.0,0,0,0
54,0.0,0.0,0,0,0
55,0.0,0.0,0,0,0
56,0.0,0.0,0,0,0
57,0.0,0.0,0,0,0
58,0.0,0.0,0,0,0
59,0.0,0.0,0,0,0
60,0.0,0.0,0,0,0
61,0.0,0.0,0,0,0
62,0.0038434297986098,0.0034010886992633,0,0,0
63,0.0012512077483587,0.0011912078287434,0,0,0
64,0.0042739842805663,0.0040910587110217,0,0,0
65,0.008069347440919,0.0067840253231784,0,0,0
66,0.0058682728475698,0.0047635373631853,0,0,0
67,0.0054981685065181,0.0046191947416077,0,0,0
68,0.0036359012261727,0.0035339573006408,0,0,0
69,0.0016889083420823,0.0015057149672458,0,0,0
70,0.0050939812698171,0.0043209483164591,0,0,0
71,0.0051147272249467,0.0053968910899497,0,0,0
72,0.0052268647029705,0.0040318957490856,0,0,0
73,0.0044893454100684,0.0051612640188575,0,0,0
74,0.003957373169688,0.0033903528893021,0,0,0
75,0.0025844416764107,0.0020483733419545,0,0,0
76,0.0083732166560832,0.0068497766145979,0,0,0
77,0.0087572557817287,0.0071973905889983,0,0,0
78,0.0087338451342401,0.0084517652449221,0,0,0
79,0.0058108886519512,0.0052733283766301,0,0,0
80,0.0036326563229914,0.0040839164056214,0,0,0
81,0.0017922890560263,0.0016389583219072,0,0,0
82,0.0051217211316548,0.0041029291391694,0,0,0
83,0.0055839172307632,0.0061666900416855,0,0,0
84,0.0076214814613249,0.0076125308287423,0,0,0
85,0.0054462560980021,0.0035202916842759,0,0,0
86,0.0024058597309625,0.0016327814926643,0,0,0
87,0.0006518343816742,0.0004679196861496,0,0,0
88,0.0012997342636465,0.000824144448006,0,0,0
89,0.0014222312040232,0.0010802860648295,0,0,1
90,0.0012588706175624,0.000758934933525,0,0,1
91,0.0016214315348435,0.0005208682645167,0,0,1
92,0.0006510932107291,0.001293431916312,0,0,1
93,0.0005313602450925,0.0006164185113556,0,0,1
94,0.0018929334769633,0.0014717863262507,0,0,1
95,0.0011399467847131,0.0016407584901131,0,0,1
96,0.001684309530744,0.001447338077381,0,0,1
97,0.0015552321859002,0.0006718391859461,0,0,1
98,0.0014915709053428,0.000191283781933,0,0,1
99,0.0004768104713144,7.32396185415166e-05,0,0,1
100,0.0015613894915721,7.487827807870515e-05,0,0,1
101,0.0024831867743848,3.426598657573155e-05,0,0,1
102,0.0016664717589469,0.0002677961212049,0,0,1
103,0.0009664170625548,0.0003126122724669,0,0,1
104,0.0006096142390047,0.0001443273796349,0,0,1
105,0.0004637152497542,0.0001102284554597,0,0,1
106,0.0015820615397348,0.0004010061035077,0,0,1
107,0.0016179189961715,0.0006718293490447,0,0,1
108,0.0016765854625526,0.0009296203193832,0,0,1
109,0.0022610761606014,0.0008100748739162,0,0,1
110,0.0006258555198152,0.0006340235141277,0,0,1
111,0.0001822576511177,0.000208320738491,0,0,1
112,0.0005922573699269,0.0004898150055516,0,0,1
113,0.0007920336434322,0.0008324032185315,0,0,1
114,0.0006308446209346,0.0009171745861687,0,0,1
115,0.000547970702232,0.0006795228977654,0,0,1
116,0.0004190705393231,0.0003250476938606,0,0,1
117,0.0002246895910714,0.0001172309997542,0,0,1
118,0.0007176558265928,0.0001521899391734,0,0,1
119,0.0006434604821226,0.0004738157392922,0,0,1
120,0.0037510453594207,0.00170551981265,0,0,1
121,0.007223695072422,0.0021674964149022,0,0,0
122,0.0065148630152836,0.0024398500970449,0,0,0
123,0.0023611413242712,0.0010442176460523,0,0,0
124,0.0056584149858615,0.002745857704008,0,0,0
125,0.0070442870183273,0.0044068572894099,0,0,0
126,0.008355408838487,0.0065645361318022,0,0,0
127,0.0077977090119131,0.0046594919129249,0,0,0
128,0.0073997860446703,0.0022421345134139,0,0,0
129,0.0035907276785585,0.0003782338167448,0,0,0
130,0.0108701032875998,0.0005944600687522,0,0,0
131,0.0139256952589899,0.0018424386171454,0,0,0
132,0.0093766404390209,0.0018923231160027,0,0,0
133,0.0063882784649019,0.0036190759226114,0,0,0
134,0.0040352194025159,0.0020334167649946,0,0,0
135,0.0015984805595953,0.0003798375966721,0,0,0
136,0.0040236859793705,0.0004579799828269,0,0,0
137,0.0044699046284523,0.0012546497527736,0,0,0
138,0.0057090334852865,0.0016861496250863,0,0,0
139,0.0042133806171162,0.0006035506750912,0,1,0
140,0.0017019300370317,0.0004801479697472,0,1,0
141,0.0004918296520847,0.0002695177575678,0,1,0
142,0.0018090093582705,0.0007789725384805,0,1,0
143,0.0035319665739011,0.0008610762287358,0,1,0
144,0.0032871515226853,0.0021744639875663,0,1,0
145,0.0030955634782276,0.0012776983737343,0,1,0
146,0.0027867097568011,0.0010659948452523,0,1,0
147,0.0021692215415081,0.0005761318132702,0,1,0
148,0.0014018533639348,0.0017953357876362,0,1,0
149,0.0027654244928403,0.0038610509466681,0,1,0
150,0.0092556973812461,0.0070764458024266,0,0,0
151,0.0058082772200157,0.0037465362601604,0,0,0
152,0.0023599212556089,0.0021666051145383,0,0,0
153,0.0010552729725658,0.0009313268703338,0,0,0
154,0.0035552511328789,0.0025176124415514,0,0,0
155,0.0047033151304835,0.0042708600631735,0,0,0
156,0.0097893738685948,0.0082221572256425,0,0,0
157,0.007894150677393,0.0067992276955817,0,0,0
158,0.0062581814804649,0.0056322171151958,0,0,0
159,0.0024518367947154,0.0024762609586548,0,0,0
160,0.0062714273444109,0.0068924086571414,0,0,0
161,0.0083505393110309,0.0094648596145745,0,0,0
162,0.0081169756725839,0.0096575238801197,0,0,0
163,0.0126237995950709,0.0133618323010646,0,0,0
164,0.0064641649909717,0.0055350842923278,0,0,0
165,0.0021139002841533,0.001746093517369,0,0,0
166,0.006171258785062,0.0053368147246007,0,0,0
167,0.0090888354628502,0.007190021286919,0,0,0
168,0.010515753933964,0.0109535795722294,0,0,0
169,0.0126109021233087,0.0159259812578557,0,0,0
170,0.0147026987203992,0.0112612285165128,0,0,0
171,0.004720555167959,0.0035990953401195,0,0,0
172,0.007516495412312,0.0075403085236657,0,0,0
173,0.008768865407879,0.0087987069689711,0,0,0
174,0.0095188081362468,0.0102810406701853,0,0,0
175,0.0088059126744023,0.0109407451534628,0,0,0
176,0.0063578742063456,0.0071199538108423,0,0,0
177,0.0028564606940795,0.0033066820510901,0,0,0
178,0.0066864634062193,0.0083016239359753,0,0,0
179,0.0021703855588542,0.0038191599952256,0,0,0
180,0.0004884854151835,0.0027564933520574,0,0,0
181,0.0011723162983346,0.0009479462227904,0,0,0
182,0.0032274227468023,0.0016991755146094,0,0,0
183,0.0021454767096224,0.0006766763153383,0,0,0
184,0.0066113472012077,0.0009182973621346,0,0,0
185,0.0072987489512604,0.0006132357655922,0,0,0
186,0.0079339100347717,0.0011167694594765,0,0,0
187,0.0042870036035806,0.001476629617831,0,0,0
188,0.001646439449506,0.0006302004876255,0,0,0
189,0.0003670028636733,0.0001065863117362,0,0,0
190,0.0002228738748266,0.0002937095618738,0,0,0
191,0.0001413083598237,0.0003261853385751,0,0,0
192,0.0005591070525645,0.0001696114674479,0,0,0
193,0.0002503443502223,6.721878495535423e-05,0,0,0
194,0.0007045140186474,0.0001605338144274,0,0,0
195,0.0002552994242619,7.437707932725335e-05,0,0,0
196,0.0003191630998305,0.0001221535765464,0,0,0
197,0.0002292658477964,0.0001262010437021,0,0,0
198,0.0003896493475132,0.0004894418245637,0,0,0
199,0.0012785183539338,0.0012583057269289,0,0,0
200,0.0018571786868284,0.0007662848698625,0,0,0
201,0.0010851065548359,0.0009366168710552,0,0,0
202,0.0029187704341729,0.0014392392423268,0,0,0
203,0.0024201298983816,0.002984145302222,0,0,0
204,0.0041694867686548,0.0044337876028146,0,0,0
205,0.0048351220164613,0.0021943415494963,0,0,0
206,0.0042274592474407,0.0016306504142782,0,0,0
207,0.0011843409941537,0.0005755475621943,0,0,0
208,0.00159595296337,0.001085647539588,0,0,0
209,0.0023219427571437,0.0018566587093907,0,0,0
210,0.0048265533353866,0.0033668185784965,0,0,0
211,0.0035197344671658,0.0022068111012678,0,0,0
212,0.0033049812938857,0.0019967730386424,0,0,0
213,0.0009348612973142,0.000637803962088,0,0,0
214,0.0005721032659115,0.0012264321009383,0,0,0
215,0.0013450804389734,0.0021320847007595,0,0,0
216,0.0038902335350947,0.0026502880914229,0,0,0
217,0.0027597116518328,0.0022575485495226,0,0,0
218,0.0022059095733647,0.0012560652565388,0,0,0
219,0.0009670642498029,0.0005478873508842,0,0,0
220,0.0033309123809673,0.0017623077792838,0,0,0
221,0.0045159847475552,0.003543581535009,0,0,0
222,0.0049813204799269,0.0058817456399846,0,0,0
223,0.0037936641522591,0.0033511468137188,0,0,0
224,0.0017020171896423,0.0014521898768739,0,0,0
225,0.000665359090674,0.0006913613962413,0,0,0
226,0.0016744910958119,0.0022018632769404,0,0,0
227,0.0022240930663562,0.0024116809022556,0,0,0
228,0.0097735480214849,0.0021566289596948,0,0,0
229,0.0073694942587509,0.0010344531388914,0,0,0
230,0.0031715963030785,0.0014745941730237,0,0,0
231,0.0013420532270911,0.0007421205961671,0,0,0
232,0.0040898760977926,0.0023819370871966,0,0,0
233,0.0047427898877089,0.0041452161583185,0,0,0
234,0.0045584879724223,0.0045063260344485,0,0,0
235,0.0061003230142506,0.0052229012173045,0,0,0
236,0.0066266158868462,0.0057685909397711,0,0,0
237,0.0020774736630815,0.0018546990333279,0,0,0
238,0.0032466588943232,0.0032041364246821,0,0,0
239,0.0034986487610853,0.0034901792870658,0,0,0
240,0.0037717418690499,0.0036520936041228,0,0,0
241,0.0053064577563945,0.0048373979941007,0,0,0
242,0.0077235953558621,0.0063385706981975,0,0,0
243,0.0027576142046254,0.0023429778874403,0,0,0
244,0.00566993844994,0.0047127130120214,0,0,0
245,0.0085800079599846,0.0075421528853314,0,0,0
246,0.0123330164493702,0.0133695466224561,0,0,0
247,0.0082962441537915,0.0094735069010686,0,0,0
248,0.0061127478965455,0.0051563681620887,0,0,0
249,0.0021507821912787,0.0018098329428382,0,0,0
250,0.0046748991001054,0.0044700947445446,0,0,0
251,0.0058965173083204,0.0058026663007983,0,0,0
252,0.0059580601254714,0.0066861076727974,0,0,0
253,0.0068206559168174,0.0061152565328105,0,0,0
254,0.0058293501418421,0.0056440024245513,0,0,0
255,0.0032608581208411,0.003880793940793,0,0,0
256,0.009741351282474,0.0117690860680451,0,0,0
257,0.0089731117335705,0.0081033406834982,0,0,0
258,0.0095839878855968,0.0088104477267443,0,0,0
259,0.0066986765346152,0.0068006276318729,0,0,0
260,0.0054870533076718,0.0044499457002534,0,0,0
261,0.0021080723321077,0.0021199744693558,0,0,0
262,0.0046682806458183,0.0059919534375239,0,0,0
263,0.0050577312522171,0.0067510127969231,0,0,0
264,0.0031541703307896,0.0047185561928851,0,0,0
265,0.0004939437805489,0.0021196838582713,0,0,0
266,0.0007007727593666,0.0003329453217917,0,0,0
267,0.000426049791368,0.0004315449053392,0,0,0
268,0.0011095333604685,0.0019824928794766,0,0,0
269,0.0042492650012848,0.0019359139090626,0,0,0
270,0.0151806321247556,0.0017177166818087,0,0,0
271,0.0133437022213538,0.0008150061892768,0,0,0
272,0.0079776909009559,0.0014172851247668,0,0,0
273,0.0025629448468788,0.0010270840335669,0,0,0
274,0.0056844752924859,0.0034174271946284,0,0,0
275,0.0068311113544746,0.0048168798655247,0,0,0
276,0.0076990759602346,0.0055324765247256,0,0,0
277,0.0039508603826453,0.0034046807149449,0,0,0
278,0.0021814018953535,0.0023177665043204,0,0,0
279,0.0009961910802099,0.0009589276778783,0,0,0
280,0.0031128414026008,0.0027117666268172,0,0,0
281,0.0046475670189436,0.0046901841185885,0,0,0
282,0.0073731117673232,0.0058413139580451,0,0,0
283,0.0047188703923714,0.002322966084493,0,0,0
284,0.0027078372761738,0.0014858079293868,0,0,0
285,0.0010120709032886,0.0010214681011253,0,0,0
286,0.0027360360493669,0.003208048915781,0,0,0
287,0.0039682056597209,0.0028067077647203,0,0,0
288,0.0029750623636033,0.0028940340534736,0,0,0
289,0.0025684631426381,0.0023774821310327,0,0,0
290,0.0033598626425446,0.0045507627742192,0,0,0
291,0.0010856877014337,0.0012283593245878,0,0,0
292,0.0017232789862275,0.0013135525720379,0,0,0
293,0.002280065398793,0.0010127222421517,0,0,0
294,0.0014694038288366,0.0006372029330671,0,0,0
295,0.0016923963366981,0.0006874944968727,0,0,0
296,0.001716074654327,0.0006511136999612,0,0,0
297,0.001310038328951,0.00065017779473,0,0,0
298,0.0039809646839403,0.0006668676390405,0,0,0
299,0.0020131583853218,0.0006762284586666,0,0,0
300,0.000751815144107,0.0006777924498253,0,0,1
301,0.0010475135040479,0.0006707998037888,0,0,1
302,0.0006629967546821,0.0006546888884447,0,0,1
303,0.000240763373741,0.0006290616540285,0,0,1
304,0.000634813209664,0.0005936050166825,0,0,1
305,0.0007630874891459,0.0005480892812012,0,0,1
306,0.0013887893596178,0.0004923502141281,0,0,1
307,0.0013637730051377,0.0004262121407329,0,0,1
308,0.0008075521435315,0.0003496042494537,0,0,0
309,0.0002371768627055,0.0002624280398367,0,0,0
310,0.0002593621324001,0.0001549702340589,0,0,0
311,0.0004416721775219,4.702379062784784e-05,0,0,0
312,6.076218674462264e-05,0.0002628150551734,0,0,0
313,0.0005401963388639,0.0003456993873042,0,0,0
314,0.0013940017256477,7.450220587166759e-05,0,0,1
315,0.0007934895295259,9.63039842940697e-06,0,0,1
