Frame,nose_dist,body_dist,freezing,darting
1,0.0,0.0,0,0
2,0.0,0.0,0,0
3,0.0,0.0,0,0
4,0.0,0.0,0,0
5,0.0,0.0,0,0
6,0.0,0.0,0,0
7,0.0,0.0,0,0
8,0.0,0.0,0,0
9,0.0,0.0,0,0
10,0.0,0.0,0,0
11,0.0,0.0,0,0
12,0.0,0.0,0,0
13,0.0,0.0,0,0
14,0.0,0.0,0,0
15,0.0,0.0,0,0
16,0.0,0.0,0,0
17,0.0,0.0,0,0
18,0.0,0.0,0,0
19,0.0,0.0,0,0
20,0.0,0.0,0,0
21,0.0,0.0,0,0
22,0.0,0.0,0,0
23,0.0,0.0,0,0
24,0.0,0.0,0,0
25,0.0,0.0,0,0
26,0.0,0.0,0,0
27,0.0,0.0,0,0
28,0.0,0.0,0,0
29,0.0,0.0,0,0
30,0.0,0.0,0,0
31,0.0,0.0,0,0
32,0.0024888230533284678,0.0026850909457196053,0,0
33,0.003750446957348178,0.000468036284811927,0,0
34,0.002181911460816548,0.00023375472879748712,0,0
35,0.011008953358802058,0.0017670224390732964,0,0
36,0.014109184159531083,0.0056404935559058785,0,0
37,0.014754969888230128,0.01040799168157802,0,0
38,0.007890153314175917,0.008230837684546098,0,0
39,0.0021349065946861413,0.0052482087395667254,0,0
40,0.004452585511494785,0.003280563749057871,0,0
41,0.0073116382560741155,0.006172340369666519,0,0
42,0.009439092071440476,0.010371037336604294,0,0
43,0.011806862896880876,0.011317521627834845,0,0
44,0.010879441752347547,0.010855111113108324,0,0
45,0.012730412734638444,0.014468677736839592,0,0
46,0.01576374489129019,0.0180265729324729,0,0
47,0.012740778888564609,0.01741674919718237,0,0
48,0.00836554904753835,0.013709974998513452,0,0
49,0.006314716464300287,0.0064265514392458515,0,0
50,0.006634004954492435,0.0005751236303748534,0,0
51,0.01124377524213278,0.0023833755888624884,0,0
52,0.010921354749361628,0.002666503542564192,0,0
53,0.009321637810071724,0.00045068145494269943,0,0
54,0.01219898749791116,0.004628495696171319,0,0
55,0.013131277027684731,0.005426082436901006,0,0
56,0.00991005917223154,0.004788499723715971,0,0
57,0.00473234832797524,0.003890705618864049,0,0
58,0.00199806717465732,0.0026975037867656877,0,0
59,0.006313182379365055,0.00015321001517015922,0,0
60,0.003242113272379149,0.0015370397105389261,0,0
61,0.0023548944911129842,0.0005350420892030893,0,0
62,0.0006840623670506668,0.00035832828885145837,0,0
63,0.002483919713236876,0.0007839537080372348,0,0
64,0.0005568219116496878,0.0002453581676576331,0,0
65,0.0017528127350843507,0.0007120442933431051,0,0
66,0.001750130592130003,0.001663546541203117,0,0
67,0.004818788828450127,0.005522157586087564,0,0
68,0.007113233775871258,0.006874456722626671,0,0
69,0.0038894513540863947,0.004925340156830113,0,0
70,0.0023420072548050626,0.004635756834737773,0,0
71,0.0032190434891262443,0.0033248440504601755,0,0
72,0.0056187071060947395,0.006028254956891441,0,0
73,0.0065869786006574884,0.005611731626539163,0,0
74,0.0025892112725923212,0.002909733701398614,0,0
75,0.0014070324947415486,0.0037079282721230716,0,0
76,0.0019695990345037816,0.002702656778280426,0,0
77,0.01301569069391939,0.0021505908144740086,0,0
78,0.022668868444993547,0.0009843970844825374,0,0
79,0.013667714181930834,0.0023061917304857617,0,0
80,0.013165189714106882,0.0046679498330859485,0,0
81,0.05252291615308983,0.005024703312250153,0,0
82,0.012452213521272761,0.004921134049864045,0,0
83,0.019160269373559538,0.0036206808214620844,0,0
84,0.06707993746452805,0.002630369981108268,0,0
85,0.019797507886553642,0.0009771534770139602,0,0
86,0.0033320730077050264,0.0005408032425254875,0,0
87,0.002065896344134145,0.0014292920534980799,0,0
88,0.008572798557523034,0.000958053173465202,0,0
89,0.014746340330015276,0.001817539552254992,0,0
90,0.013784782262391998,0.0009707190510830021,0,0
91,0.012757073844059351,0.007631604629753859,0,0
92,0.01287155208004445,0.014163570564796073,0,0
93,0.014524949278554128,0.018153846556725525,0,0
94,0.017138570274992198,0.018095933625449454,0,0
95,0.016435651946423248,0.016598829047025816,0,0
96,0.01249202496632002,0.012763070245556084,0,0
97,0.01196128263829292,0.013539009878549111,0,0
98,0.01527864136051923,0.015649846775069122,0,0
99,0.01968928769743839,0.016781901055942683,0,0
100,0.01907985886390949,0.017107407243320234,0,0
101,0.016982162302477316,0.014306668145370452,0,0
102,0.010542762431480975,0.008708108301903987,0,0
103,0.0017582686421244058,0.004449708440965555,0,0
104,0.008969059772914149,0.00023889872369945394,0,0
105,0.0121740365075254,0.003005945283488372,0,0
106,0.013560914436168595,0.0044145450302801635,0,0
107,0.013828331728663944,0.005061783960529544,0,0
108,0.015422297473322168,0.0036950967734065646,0,0
109,0.01711738394441048,0.00446978934481657,0,0
110,0.014854056330754055,0.009449747385098359,0,0
111,0.014688615627195605,0.012237739001621123,0,0
112,0.01173194301943763,0.008716699860987524,0,0
113,0.009877564429453476,0.006220741226549621,0,0
