nose_x,nose_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,head_x,head_y,neck_x,neck_y,body_x,body_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_midside_x,left_midside_y,right_midside_x,right_midside_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,tail_base_x,tail_base_y,tail_mid_x,tail_mid_y,tail_end_x,tail_end_y
276.7965387918112,166.5186068364141,301.09443620146266,172.44877233901786,301.4551829445915,171.4536279091364,302.87488285747907,171.8845072164988,326.89707895946304,180.9139329219217,327.03729504921074,182.6231793453656,302.0806637669559,173.13536599615355,322.57202243673186,181.50013962169817,325.3781687706046,180.6767510359701,323.0885092243951,182.45703076676983,312.5451298580069,177.1192325239004,325.2685082425922,184.66852633341077,328.2993253895004,185.5425624979811,322.9553887076008,157.762205107952,333.89139327170375,125.64114565394163
286.8817413151186,184.64781454219454,325.1838464955731,181.67370390624464,325.5965027450133,181.77946686088302,326.9107436227282,178.96710707711935,326.62623659768263,180.15399920698454,327.51453145628403,185.0094850283827,325.27557885178146,182.46266049429403,325.1783008246026,181.04026960926012,325.1168009663414,182.82611572841873,327.2364049459874,182.39926195783957,325.1508137748918,183.6990852645087,324.65018218304897,186.9460061372924,328.7068481445313,184.719132754963,294.6141766763248,158.86197091743864,300.5745670895525,116.60318701911973
134.89660188556502,176.43495240950094,319.97662012169314,182.0217161835798,323.1110219648983,182.1049859496859,321.58044711186955,177.69550889271974,323.77438289766286,179.4958271851603,325.2469041008003,187.67133648074395,319.9592622723535,183.13074373598621,324.9214722777994,180.84484797489688,323.7831680183249,187.14047983431908,327.02435967748085,181.62485651121165,325.0941508247177,187.93260738974016,322.4124969974142,186.85301228899257,329.90794379239986,183.57795632106036,278.59454232785197,156.50920878431128,273.6718570215563,93.0434499437709
116.05710433361625,158.8552684321948,311.9920500775873,181.53503164095292,313.1929626464844,180.5925048480182,311.45357842102237,176.44459650863368,317.87435000352895,177.05684096433757,323.94892210893136,187.02211857584444,313.5486210097411,182.70363736752944,321.34121533203313,180.03330471557217,322.6873723239276,190.9043065995343,322.52098539511604,177.94633963642406,326.13368487424395,189.38003834099163,319.8010757605384,182.47891180603202,330.0534039991772,180.52694175199406,288.8004439836483,145.40073732150796,273.45618136257565,88.00675790423429
205.62904773647097,159.7238304675681,305.22843643928127,181.04833945574077,303.4076791475102,177.86953315147818,301.65985346581385,175.47202987715656,310.7880581751598,173.87609665773277,323.85019579791077,180.74163762092013,310.4476023246963,182.53979251408762,315.95893971502903,178.6599108417838,322.4065527351797,191.40793569148133,317.32010292544993,174.33989133572308,331.22447159803244,188.90877369102083,319.5578649861153,173.22630471467804,318.8755052043256,173.54699541674816,293.82631134168355,140.47495684828232,292.4191543307838,143.7608757398658
278.1460712080455,179.49889080086086,303.551358877584,180.9795854453762,300.58586041018214,174.82164792581779,297.5402748395036,174.8039058377301,305.15187363328977,171.43711043691002,324.32073282578284,172.84436451913288,309.46392699105877,182.49444633450244,309.9373615088226,176.83198562066707,322.18502581828875,190.46662952729645,314.59072459227946,171.35255903077146,337.4482778849358,188.7030724574605,320.7860376017754,162.51302780602964,343.0941422915379,163.16635186608937,293.40959836741035,137.13879809774113,264.2968536938766,357.74733129107426
295.6392887864944,185.8801812306768,303.5942584148095,181.81168662618003,297.1015480370835,174.8922780610498,297.7463033070144,176.2150436925079,303.25836529423856,171.1557500976929,324.6737372350347,167.864490955548,310.46511959341774,183.1775378848084,304.1845922856797,174.60640617526175,322.4713486926253,190.20961752048007,307.99085798150264,164.44876012677915,339.64719799015506,187.8441605973973,319.9405171216074,150.91569615323263,363.1107257325752,159.9568930772786,273.971117141783,157.37538579749247,132.5524428759477,422.57282181949085
301.66304263788595,190.7265066977634,304.50478435165894,184.77738065710108,296.23272705078125,177.89192759417818,301.09279489920027,182.54092841632166,303.6026278605734,172.80738670630512,324.65301256481837,165.7338092269921,314.22157278770214,183.8672663776773,300.04832561891743,172.41642977909606,324.06585680863293,190.1906506343035,305.9811615121807,155.69649293116743,338.30365373281063,189.23198226852764,315.32147628659584,143.68212818370827,366.6339913910524,161.0977604513784,210.07357482233505,280.6092128894895,100.60669496178791,427.0271409478612
304.6770736321056,194.185396010248,306.7749548563769,186.50166455340008,297.2638950371129,179.88063159211936,303.6802443962016,185.61418379984408,306.55073960199843,177.6458710101458,325.5150474065315,165.39979553222656,323.83428263111045,186.51798323477178,299.3023692321871,171.5891400392067,331.6259518655743,190.12532043457034,304.55389409763103,157.7402331491066,336.46492561683846,191.37882775259794,315.40707226227903,136.8667161664675,366.85472141809834,162.12589567111513,198.36355024464353,313.5422526293394,105.44959500131472,428.93038370781784
312.70420659874094,198.06243454980256,311.25673425163325,190.67304725159295,302.1527991914827,183.5457614140732,308.78179883119253,190.21961851394863,310.6794121475149,183.5209615195579,326.5581779102857,165.54652677574782,334.0030782210907,190.0975648809758,300.3652555759808,172.57311548810873,340.0211191170805,190.05999023483716,305.28312530083423,156.0662822871255,339.2345682807224,191.25153306115374,320.5873317656661,135.54257566887068,364.7217454077828,158.38565161218781,200.76124544140885,313.92386505907,112.28332880910551,430.9080882478591
