Frame,nose_dist,body_dist,freezing,location,Left,Right
55,0.0,0.0,0,other,0.0,0.0
56,0.0,0.0,0,other,0.0,0.0
57,0.0,0.0,0,other,0.0,0.0
58,0.0,0.0,0,other,0.0,0.0
59,0.0,0.0,0,other,0.0,0.0
60,0.0,0.0,0,other,0.0,0.0
61,0.0,0.0,0,other,0.0,0.0
62,0.0080249923155479,0.0004957492706242,0,other,0.0,0.0
63,0.006709002071258,0.0006053621054868,0,other,0.0,0.0
64,0.0058606038835507,0.0008633147608273,0,other,0.0,0.0
65,0.0056298989470106,0.0006544976365015,0,other,0.0,0.0
66,0.0053858965563342,0.0006034428938445,0,other,0.0,0.0
67,0.0050045563016048,0.0010087133196409,0,other,0.0,0.0
68,0.0060728385438785,0.0011976482282232,0,other,0.0,0.0
69,0.0054565963271185,0.0012031162864843,0,other,0.0,0.0
70,0.0058146930445899,0.0022891735391296,0,other,0.0,0.0
71,0.0063831933736926,0.0033827467634933,0,other,0.0,0.0
72,0.0062759731165434,0.0039762660261913,0,other,0.0,0.0
73,0.0055925091667091,0.0040707835132967,0,other,0.0,0.0
74,0.0056245279368949,0.0034375176515877,0,other,0.0,0.0
75,0.005002185672768,0.0034307136216861,0,other,0.0,0.0
76,0.0059549960914143,0.0068550583434808,0,other,0.0,0.0
77,0.0073986627489372,0.0078481803510662,0,other,0.0,0.0
78,0.0073286311158957,0.0075192273900716,0,other,0.0,0.0
79,0.0071870412256427,0.0069107689849698,0,other,0.0,0.0
80,0.0075160256989278,0.0072527669898534,0,other,0.0,0.0
81,0.0069339607221637,0.0072375435469621,0,other,0.0,0.0
82,0.0070086796685698,0.0065130836263774,0,other,0.0,0.0
83,0.0066219666006886,0.0056230779657072,0,other,0.0,0.0
84,0.0071382521628346,0.0074998013349793,0,other,0.0,0.0
85,0.0074124573577756,0.0099399954305108,0,other,0.0,0.0
86,0.0071558089858446,0.0079327657688869,0,other,0.0,0.0
87,0.0061090588308519,0.0062976838939742,0,other,0.0,0.0
88,0.0028725424945173,0.0043904787407951,0,other,0.0,0.0
89,0.0015238407051828,0.0018686852522758,0,other,0.0,0.0
90,0.0018422472447019,0.0020912422453337,0,other,0.0,0.0
91,0.0010113649767035,0.0013122917541004,0,other,0.0,0.0
92,0.0071403400273741,0.0009140156428758,0,other,0.0,0.0
93,0.011234353254267,0.0017591493542388,0,other,0.0,0.0
94,0.00819325622372,0.0021360819180402,0,other,0.0,0.0
95,0.0058022614845272,0.0025884006543021,0,other,0.0,0.0
96,0.0062053747671683,0.0039824152278248,0,other,0.0,0.0
97,0.0052870476211658,0.0046087356399193,0,other,0.0,0.0
98,0.0049369000706102,0.0037526611950858,0,other,0.0,0.0
99,0.0055719972134259,0.0041263659402508,0,other,0.0,0.0
100,0.0066280826501021,0.0049069620149789,0,other,0.0,0.0
101,0.0067393880253576,0.0057734295037395,0,other,0.0,0.0
102,0.0069437316521743,0.0050498905691391,0,other,0.0,0.0
103,0.0070605926609256,0.0067214343633049,0,other,0.0,0.0
104,0.0065197989624448,0.0069312782349073,0,other,0.0,0.0
105,0.0054037050631306,0.0051178667442234,0,other,0.0,0.0
106,0.0055954277377432,0.005798207222637,0,other,0.0,0.0
107,0.0058154808292468,0.0063300549019809,0,other,0.0,0.0
108,0.0054076811286962,0.0054995405198227,0,other,0.0,0.0
109,0.0039721980281677,0.0030477229022593,0,other,0.0,0.0
110,0.0030712894315729,0.002158655889061,0,other,0.0,0.0
111,0.0037436628011582,0.001626823981186,0,other,0.0,0.0
112,0.0026161525882747,0.0009503161745065,0,other,0.0,0.1053883
113,0.002515080288079,0.0013858278720432,0,other,0.0,0.19375579
114,0.0016405738492741,0.0011790033095202,0,other,0.0,0.34109417
115,0.0009670579793959,0.0018461989299424,0,other,0.0,0.5048194
116,0.0005422678963038,0.0011685828008189,0,other,0.0,0.6147547
117,0.0003076513135405,0.0006318771209284,0,other,0.0,0.71463674
118,0.0008256815483341,0.0009035787813532,0,other,0.0,0.78939724
