nose_x,nose_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,head_x,head_y,neck_x,neck_y,body_x,body_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_midside_x,left_midside_y,right_midside_x,right_midside_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,tail_base_x,tail_base_y,tail_mid_x,tail_mid_y,tail_end_x,tail_end_y,blue_x,blue_y,red_x,red_y
30.145779198568707,36.51818905404017,30.51233617018758,34.952989704985555,29.127236476422755,35.139819192482854,29.935126739219434,35.567185454728985,29.763585832044367,34.73375276985168,29.680287721077168,32.11062631005395,30.75149179787697,33.91875577453114,28.497145655933455,34.29186732383797,30.82740776954757,32.893054050028766,28.4167918705234,32.41923328417759,31.513417156218033,31.45911463137374,28.463777721437637,30.64328155576586,30.094720563317978,29.32237820113757,31.784401048622243,26.70675621047958,34.491471075943736,25.044078537361653,9.82905982905983,7.905982905982906,59.82905982905983,7.905982905982906
31.232510086739623,36.953756461784494,31.18609629307227,35.6131751927858,29.862435412096318,36.048911064202564,30.738642532205713,36.18703029985093,30.435818098053943,35.465013868852985,29.803889236029015,32.797221584362376,31.264756043686617,34.459397102763326,29.02052591109336,35.189631585378955,31.14016389684302,33.29081517560832,28.806487614940643,33.35221976951721,31.529791387173617,31.721414365029414,28.458407321327925,31.635070225108116,30.02495092892293,29.852770685399886,31.62518658670292,26.916128650168933,34.29373945347996,25.23386664695506,9.82905982905983,7.905982905982906,59.82905982905983,7.905982905982906
32.15453016198214,37.454213849068736,31.89978260035127,36.137407116348854,30.672622906456866,36.89216053567184,31.590447257485415,36.82165467354384,31.139868804085417,36.144086176685356,30.08015537479282,33.674008406497805,31.925283448692376,34.98029411342064,29.770673391537187,36.09511912669654,31.405413797348427,33.77165825109407,29.151731201801706,34.444723807282124,31.500497572379878,32.09445773442247,28.43686991391514,32.729266877812954,29.63863335375675,30.56761159803364,30.760178256520174,27.494990841964636,33.18106065063856,25.459947256576832,9.82905982905983,7.905982905982906,59.82905982905983,7.905982905982906
33.2204046433526,37.674460965809686,32.64049377900189,36.46201572747297,31.620965756699263,37.49858345152378,32.5182100375795,37.276189107004754,31.921446224645113,36.68488665298668,30.572137335963294,34.64873414944462,32.41748953665188,35.43258068791173,30.693421067839544,36.9907017502278,31.58693215992092,34.33515053162876,29.539524942562547,35.656627335004735,31.366643673057276,32.569311903469426,28.47704484645306,33.9078805150341,29.14170078801677,31.52477665692992,29.580756581863977,28.31156058822184,31.497724356555974,26.027520186743345,9.82905982905983,7.905982905982906,59.82905982905983,7.905982905982906
34.49906358017034,37.85138606772728,33.4296738478865,36.78901472870969,32.788938822224274,37.92358511996004,33.620438797576064,37.55118792879306,32.882447396848534,37.18106224487379,31.34492751702099,35.691674135408746,32.98616419825122,35.902930493236546,31.806003161173177,37.7755416811423,32.063979631298686,35.126779874542194,30.39557539731144,36.84215449635901,31.48577939950461,33.57462221344019,28.958927671742273,35.35730801616918,29.18707687169125,32.94250183502618,28.905619714903587,29.672084180506687,30.303052914863112,27.12937609120308,9.82905982905983,7.905982905982906,59.82905982905983,7.905982905982906
36.00996365788604,38.35547713365446,34.79570148054323,37.38715850487362,34.486475260135315,38.52318539848839,35.173227976357275,38.109931312769916,34.34849841090162,37.93733812769006,32.350712382167515,36.70053905603617,34.25249651637141,36.53551311190597,33.477403128825415,38.600456661311576,33.07116426058191,35.95795712171512,31.86835601099254,38.05241292798123,32.28546826672196,34.902248975017784,30.491696689209,36.958919623724526,29.99850290786218,34.548552118328224,28.873098235397443,31.537484873789108,29.765776687209733,28.4593295597737,9.82905982905983,7.905982905982906,59.82905982905983,7.905982905982906
37.68231110924137,38.90559019838393,36.558521798411796,38.00340468014561,36.26654739641474,39.17444505341466,36.93014615835151,38.758696838897144,36.01539798899005,38.62036468005778,33.58686459785859,37.56743016428685,35.82449188580125,37.144267908459106,35.24319503040889,39.347282785953546,34.41975366899321,36.66403724222278,33.62200239580594,38.88445825745655,33.37039346424272,35.764527025265586,32.22569710042401,38.18269557701324,31.16464048262643,36.08237205825834,29.25758887333311,33.526094875833934,29.296537242565005,30.04407314242622,9.82905982905983,7.905982905982906,59.82905982905983,7.905982905982906
39.49298146772402,39.01792305638253,38.33340390177527,38.345966284253485,38.12393481973194,39.54738275404356,38.69373477271006,39.0725029074093,37.826934804846545,38.968284745972724,35.22662287746314,38.24550287036733,37.34650028428162,37.53573140955097,36.98534854637465,39.8975090776425,35.86081478796084,37.36297548681835,35.474429947736226,39.56454968725535,34.56864353062553,36.47457278749681,33.91567171701896,39.25288319972406,32.47843273412258,37.439976263332625,29.800587074110553,35.353148095349084,29.123162700541496,31.75309981659929,9.82905982905983,7.905982905982906,59.82905982905983,7.905982905982906
41.40580981585871,38.999151163172904,40.17851347032389,38.40188643429826,40.10111369775753,39.668332071815534,40.54497258115094,39.10313335511924,39.75678491698609,39.050228206540794,37.08051926282109,38.71701955757964,38.97838988860438,37.74030844292597,38.933382457155794,40.14657321343132,37.576303839738486,37.63810992537123,37.38404816302543,39.9138013082332,36.23335415354181,37.07913486653684,35.658693136467555,39.76240211076278,34.1981534263676,38.116453648602814,31.01451758750584,36.82340250223963,29.274628235649313,33.741544127542916,9.82905982905983,7.905982905982906,59.82905982905983,7.905982905982906
43.28821543370636,38.92152807454478,41.97601931285605,38.39381462453815,41.992902065988645,39.69625249341399,42.43529086856287,39.03134396849283,41.60627000348853,39.064718157944284,39.02098411682679,38.85288797699261,40.81716665779036,37.82868268610789,40.95672347877061,40.19745122614155,39.4074864137553,37.7635186002448,39.520479911268254,40.035915014966925,37.93724935895767,37.344897233773665,37.81841421909747,40.12752099113148,36.13771366595697,38.63087977207155,32.919965488385195,37.87033303900768,30.196261263746134,35.39603106994339,9.82905982905983,7.905982905982906,59.82905982905983,7.905982905982906
