nose_x,nose_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,head_x,head_y,neck_x,neck_y,body_x,body_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_midside_x,left_midside_y,right_midside_x,right_midside_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,tail_base_x,tail_base_y,tail_mid_x,tail_mid_y,tail_end_x,tail_end_y,blue_cyl_x,blue_cyl_y,red_cyl_x,red_cyl_y
368.4000104576097,526.4980712719278,386.72373201264156,510.0751957756552,366.6076562107187,502.3202658413115,373.3859921745083,511.71293987325964,378.31868429699267,501.29998685469445,393.390869140625,465.2246145380253,400.9150809910225,499.42069568675976,367.5845642089844,486.9799662065383,408.3816223144532,478.55783081054693,374.4853515625,466.6349029990884,419.9858703613282,455.3299775034592,375.66107177734375,444.43875526926314,405.2695617675781,425.8034571599013,425.75717163085943,391.8374328613281,447.5794988648597,372.9632873535156,138.0,111.0,840.0,111.0
368.7620989173903,533.4202723446951,386.8607329962013,516.066724633374,366.7968212525751,509.3609340933246,373.7117802994209,519.4891178775827,378.4081331149991,506.9962020139113,393.0243164845257,466.3221899018139,401.3597603175713,503.1672859935778,367.4370840387569,492.9243269357974,408.09125200615017,478.73054092520255,374.2059739750034,469.20577879006015,419.4985653328419,456.3439187301129,375.420480977025,445.89724054667005,404.6924769287923,426.8185442788901,424.8599269720056,391.4620606412377,452.80740299060915,372.0737198280841,138.0,111.0,840.0,111.0
368.4342771963077,535.7609669178,386.5526720754742,518.0587075686813,366.67273200936256,511.86879942562456,373.36262058380544,521.9267565551927,378.3030913890959,509.0689292200163,391.2893544541481,467.75834907535864,401.0555031310209,504.9443188313358,366.73941522691047,494.9107277898952,406.70013575984854,480.1126710450991,372.9822441056522,470.8566093904269,417.18378611149546,458.7173724081528,374.27902835466716,447.4045341627786,402.151919184491,429.0671305425179,421.1337637124069,389.9566710482155,453.99852141151024,368.50620570902527,138.0,111.0,840.0,111.0
362.22974334981785,537.1117509054669,383.4916025198859,519.2570746590084,363.92547082968855,514.9101689136025,373.1606701746873,522.6100162603715,377.3459431926566,511.1103152609875,388.1196212673327,476.40707003894096,395.767056833081,511.1441945711749,366.16596899605145,498.2774193295146,403.89538342588565,487.41757583746886,370.9745343494018,478.04750708768586,413.2260167111358,465.67899670195834,372.2998795607809,457.04136373274343,399.2912883400827,436.4123059622741,417.5145757554252,394.67139061118166,449.1680041517417,370.89357079471415,138.0,111.0,840.0,111.0
337.99331478062203,541.045547446829,372.4315714327513,522.6669100262984,348.9854981889429,523.056924209315,369.7945416622248,524.5699599892556,371.6959278422796,514.3991646923076,377.21592147662454,500.47877004413874,375.5378405352132,531.6898047162439,364.4615844466719,509.47135946539856,392.0596506926687,509.82590786012844,362.69620202885875,496.9496932911804,400.8601459364207,489.59929161710016,366.0021180556451,481.92863427825466,391.66689578833916,463.8068076003666,407.79693284544203,422.7060549897006,430.8758473997454,392.1195935906835,138.0,111.0,840.0,111.0
305.0781823777851,539.9324341851651,351.79732933564594,536.0185315221909,324.5279622072144,525.4000399186485,345.3340759567203,531.8085943035288,351.1744952444801,526.50473494191,355.53205834983805,523.9110772739475,343.4088471703914,546.6759020014701,350.0072897535221,516.484366658993,362.63409000132606,533.597829127966,345.67405159551646,510.45085917282654,377.6545485685987,520.1557842164639,353.9688272810893,501.71384111559996,380.10352926557835,498.50864704017147,401.80071941311553,465.2783088063768,423.5932365739688,435.068982753294,138.0,111.0,840.0,111.0
270.9943928457503,531.5899518443827,295.3791924849853,542.4638361089012,293.6869011269727,525.8332948442672,291.99191787568384,533.5259724691188,299.62380491987943,533.092105609133,325.0180178849604,534.8613275691213,302.9438732352129,549.6680481929641,310.2334071264714,519.4905604205038,322.75316834585635,548.3071846846086,321.4006978978782,519.3859780887612,343.2690648610859,544.1846581308812,334.8347779164966,515.1758045230291,362.65896657426475,527.3074634435156,392.63955436408673,504.0523875952921,420.4255759448739,474.11364418881703,138.0,111.0,840.0,111.0
237.04805155823823,529.4994173940295,253.01071116918763,543.4648746124683,260.6638443634799,526.1003494140284,252.5201953203656,533.8296707615164,261.2663827661439,534.7605967007185,291.32075303333426,539.7242412826456,266.8285648017151,551.6019759427668,273.65426962669966,520.4633527435046,284.61490146194825,552.9623151548521,291.46001440570535,525.6065998823179,299.59265800418564,555.7527265964978,306.3756917680481,523.7550960225522,334.09908430520875,544.0153826303557,367.6251817515761,528.253544222762,411.0668850748764,494.28447854171566,138.0,111.0,840.0,111.0
203.09504162454084,530.0184548187652,222.0292686410569,543.8537001704946,226.77839905993335,527.050951384785,218.56869994505016,534.9577427378465,227.42798547868244,536.0980171421838,257.9927037858244,542.3812428844641,233.8964282406651,554.3751444894694,242.55348270628156,522.3875436627995,249.76994431181987,556.7402656712202,258.9392670226782,527.2122218146415,263.49215550239336,561.8601078800776,274.3884513184672,526.9462148597748,298.7392372979725,549.5562239456223,336.63389943404474,546.1135701223432,374.8881444455475,518.3061765096054,138.0,111.0,840.0,111.0
171.1365269955565,533.4339832563495,192.01560518647577,545.8089705919596,193.6054911278108,528.842735211346,186.3924737926218,537.0030538528417,196.0758398550252,537.4242158194438,226.84087436414055,544.3266252040441,203.29407346976652,556.0085205916454,210.0934732037896,523.2903778495441,218.86935641250312,558.3166173095101,226.91992880095623,528.5077912416702,233.9486280159526,564.1409296430307,243.09061187615214,528.8246622406414,265.2773510742599,553.34441825576,293.68219411734884,549.7163696289062,318.0799458864082,525.9901952815526,138.0,111.0,840.0,111.0
