Time,Frame,nose_dist,body_dist,freezing,body,Object,Mice
0.07,1,0.0,0.0,0,blue_corner,0,0
0.13,2,0.0,0.0,0,blue_corner,0,0
0.2,3,0.0,0.0,0,blue_corner,0,0
0.27,4,0.0,0.0,0,blue_corner,0,0
0.33,5,0.0,0.0,0,blue_corner,0,0
0.4,6,0.0,0.0,0,blue_corner,0,0
0.47,7,0.0,0.0,0,blue_corner,0,0
0.53,8,0.0,0.0,0,blue_corner,0,0
0.6,9,0.0,0.0,0,blue_corner,0,0
0.67,10,0.0,0.0,0,blue_corner,0,0
0.73,11,0.0,0.0,0,blue_corner,0,0
0.8,12,0.0,0.0,0,blue_corner,0,0
0.87,13,0.0,0.0,0,blue_chamber,0,0
0.93,14,0.0,0.0,0,blue_chamber,0,0
1.0,15,0.0,0.0,0,blue_chamber,0,0
1.07,16,0.0,0.0,0,blue_chamber,1,0
1.13,17,0.0,0.0,0,blue_chamber,1,0
1.2,18,0.0,0.0,0,blue_chamber,1,0
1.27,19,0.0,0.0,0,blue_chamber,1,0
1.33,20,0.0,0.0,0,blue_chamber,1,0
1.4,21,0.0,0.0,0,blue_chamber,1,0
1.47,22,0.0,0.0,0,blue_chamber,1,0
1.53,23,0.0,0.0,0,blue_chamber,1,0
1.6,24,0.0,0.0,0,blue_chamber,1,0
1.67,25,0.0,0.0,0,blue_chamber,1,0
1.73,26,0.0,0.0,0,blue_chamber,1,0
1.8,27,0.0,0.0,0,blue_chamber,1,0
1.87,28,0.0,0.0,0,blue_chamber,1,0
1.93,29,0.0,0.0,0,blue_chamber,1,0
2.0,30,0.0,0.0,0,blue_chamber,1,0
2.07,31,0.0,0.0,0,blue_chamber,0,0
2.13,32,0.0122928220952485,0.0099918687735482,0,blue_chamber,0,0
2.2,33,0.0174560804516283,0.0147446373414234,0,blue_chamber,0,0
2.27,34,0.0191486844761473,0.019392139405703,0,blue_chamber,0,0
2.33,35,0.0197551582994592,0.0217005875891545,0,blue_chamber,0,0
2.4,36,0.0180671992143585,0.0201003969528552,0,blue_chamber,0,0
2.47,37,0.0141666120860879,0.0141304411542852,0,blue_chamber,0,0
2.53,38,0.0062261075797176,0.0090577412746841,0,blue_chamber,0,0
2.6,39,0.0069701424283831,0.0036475938957533,0,blue_chamber,0,0
2.67,40,0.0094422875450419,0.0044596711327936,0,blue_chamber,1,0
2.73,41,0.0060762257805992,0.0043192130153273,0,blue_chamber,1,0
2.8,42,0.0041178996710426,0.0033036830980253,0,blue_chamber,1,0
2.87,43,0.0042511241349404,0.0027765408920006,0,blue_chamber,1,0
2.93,44,0.002155309112192,0.0018524036414757,0,blue_chamber,1,0
3.0,45,0.0006013750456764,0.0008267625922094,0,blue_chamber,1,0
3.07,46,0.0007712177556487,0.0006910812397584,0,blue_chamber,1,0
3.13,47,0.00136075075704,0.0010878020324556,0,blue_chamber,1,0
3.2,48,0.0008288311844036,0.0004425761634022,0,blue_chamber,1,0
3.27,49,0.0011603074708975,0.0009814633349367,0,blue_chamber,1,0
3.33,50,0.0010670815059268,0.0043916854999094,0,blue_chamber,1,0
3.4,51,0.0010845817738019,0.0022330588215553,0,blue_chamber,1,0
3.47,52,0.0030579589785077,0.0010988403578805,0,blue_chamber,1,0
3.53,53,0.0070163756398887,0.0022688622242149,0,blue_chamber,1,0
3.6,54,0.0067266503880919,0.0019154476477358,0,blue_chamber,1,0
3.67,55,0.0056915573810105,0.0015230182812727,0,blue_chamber,1,0
3.73,56,0.0038095562186693,0.0013788408041114,0,blue_chamber,1,0
3.8,57,0.003876191283671,0.0021164424739571,0,blue_chamber,1,0
3.87,58,0.0044859030649317,0.0037940411214876,0,blue_chamber,1,0
3.93,59,0.0051413553952246,0.0055490136669537,0,blue_chamber,1,0
4.0,60,0.0051251342807349,0.0049765332506189,0,blue_chamber,1,0
4.07,61,0.0030403178040359,0.0035645469717369,0,blue_chamber,1,0
4.13,62,0.0008566920363445,0.0015125746983874,0,blue_chamber,1,0
4.2,63,0.0020752248214317,5.478115697491762e-05,0,blue_chamber,1,0
4.27,64,0.0026966513953342,0.0010875956623235,0,blue_chamber,1,0
4.33,65,0.0041567332940129,0.0036519120504392,0,blue_chamber,1,0
4.4,66,0.009966311372021,0.0083995045205922,0,blue_chamber,1,0
4.47,67,0.0094535479383192,0.0063178250367991,0,blue_chamber,1,0
4.53,68,0.0026412090333987,0.0030451565649269,0,blue_chamber,0,0
4.6,69,0.0021564757043618,0.0004140728038723,0,blue_chamber,1,0
4.67,70,0.0033423482254489,0.0004687622932737,0,blue_chamber,1,0
4.73,71,0.0037065127772364,0.0002741159759534,0,blue_chamber,1,0
4.8,72,0.0043098306382901,0.0002714897150188,0,blue_chamber,1,0
4.87,73,0.0024425293356377,0.0007488355369484,0,blue_chamber,1,0
4.93,74,0.0019265554377338,0.0015529705132963,0,blue_chamber,1,0
5.0,75,0.0010275894430749,0.0011521946032935,0,blue_chamber,1,0
5.07,76,0.0023237509290636,0.00103894382277,0,blue_chamber,1,0
5.13,77,0.0181452522737883,0.0005233986975925,0,blue_chamber,0,0
5.2,78,0.0462749163925838,0.0010152592164451,0,blue_chamber,0,0
5.27,79,0.0126027008593002,0.0017704526771518,0,blue_chamber,0,0
5.33,80,0.0129262798189678,0.0051243224371059,0,blue_chamber,0,0
5.4,81,0.051244620452057,0.0077826381691051,0,blue_chamber,0,0
5.47,82,0.0215017379035252,0.0097167729537787,0,blue_chamber,0,0
5.53,83,0.0141269991448818,0.0133208640851764,0,blue_chamber,0,0
5.6,84,0.0162799712278054,0.0155829439055842,0,blue_chamber,0,0
5.67,85,0.0175970015078158,0.0173524899872581,0,blue_chamber,0,0
5.73,86,0.0190020912619138,0.0169788711146961,0,blue_chamber,0,0
5.8,87,0.0183781459840276,0.0184719699480822,0,blue_chamber,0,0
5.87,88,0.0159285319548287,0.0164885824425336,0,blue_chamber,0,0
5.93,89,0.018521014448256,0.0189826706180084,0,blue_chamber,0,0
6.0,90,0.0229265591592652,0.023121558601761,0,blue_chamber,0,0
6.07,91,0.0221445578122326,0.0223423645574711,0,blue_corner,0,0
6.13,92,0.0207520858714411,0.0213289057567649,0,blue_corner,0,0
6.2,93,0.0224051653253294,0.0219450847813308,0,blue_corner,0,0
6.27,94,0.0217826090092204,0.0207968122386879,0,blue_corner,0,0
6.33,95,0.0148148945980323,0.0156210437654004,0,blue_corner,0,0
6.4,96,0.0026383502701222,0.0060929343871057,0,blue_corner,0,0
6.47,97,0.000859328726426,0.0007216649168013,0,blue_corner,0,0
6.53,98,0.0014842700823089,0.0008764771214608,0,blue_corner,0,0
6.6,99,0.0010101655039263,0.0010482343992418,0,blue_corner,0,0
6.67,100,0.0008454167664955,0.0010986038390439,0,blue_corner,0,0
6.73,101,0.0008900277686222,0.0007827650533917,0,blue_corner,0,0
6.8,102,0.0001863088173259,6.166068506724854e-05,0,blue_corner,0,0
6.87,103,0.0019141926902121,0.0014773695880376,0,blue_corner,0,0
6.93,104,0.0094145785859002,0.0050052237648653,0,blue_corner,0,0
7.0,105,0.0131981842398153,0.0092876175750248,0,blue_corner,0,0
7.07,106,0.0148774516186682,0.0124918068203811,0,blue_corner,0,0
7.13,107,0.0179218567147761,0.0143618686026785,0,blue_corner,0,0
7.2,108,0.0196956487703538,0.0158056077403746,0,blue_corner,0,0
7.27,109,0.0192630769014855,0.0193633158712656,0,blue_corner,0,0
7.33,110,0.0160691083544499,0.0166934606897404,0,blue_corner,0,0
7.4,111,0.0123908541681293,0.0118755079384311,0,blue_corner,0,0
7.47,112,0.0150794922815992,0.0122416717664257,0,center,0,0
7.53,113,0.0155249680098166,0.0158944927914439,0,center,0,0
7.6,114,0.0165251255959046,0.0163442945653045,0,center,0,0
7.67,115,0.0166727124857098,0.0170943597789399,0,center,0,0
7.73,116,0.0186725097250539,0.0190907128305102,0,center,0,0
7.8,117,0.0162249475639396,0.0166955262151601,0,center,0,0
7.87,118,0.0110697366009628,0.0112583756656606,0,center,0,0
7.93,119,0.0048570863764653,0.0040172610197895,0,center,0,0
8.0,120,0.0051216771235606,0.0005340579142951,0,center,0,0
8.07,121,0.0062226962259558,0.0016073192263946,0,center,0,0
8.13,122,0.005726678514125,0.0013940405406998,0,center,0,0
8.2,123,0.0015646018715244,0.0006681869267109,0,center,0,0
8.27,124,0.0001289927336746,0.0003874274287711,0,center,0,0
8.33,125,0.0011701569750927,0.000386822014708,0,center,0,0
8.4,126,0.0053183775238901,0.0014346753526216,0,center,0,0
8.47,127,0.0077042651439634,0.0004882086171312,0,center,0,0
8.53,128,0.009001027236026,0.0014691881054974,0,center,0,0
8.6,129,0.0129599862344206,0.0052636167567117,0,center,0,0
8.67,130,0.0129742270791475,0.0103339544612389,0,center,0,0
8.73,131,0.0154462431930249,0.0148901718163643,0,center,0,0
8.8,132,0.0169051345029357,0.0165664461809558,0,center,0,0
8.87,133,0.0161198128686913,0.0150487516719119,0,center,0,0
8.93,134,0.0165150943817096,0.0165575444324475,0,center,0,0
9.0,135,0.0162491189334282,0.0177664522041383,0,center,0,0
9.07,136,0.0179927794007722,0.0196759621271834,0,center,0,0
9.13,137,0.0187424330111836,0.0198965755565905,0,center,0,0
9.2,138,0.020681090194451,0.0203630358702938,0,red_corner,0,0
9.27,139,0.0228016180869054,0.0223426227355824,0,red_corner,0,0
9.33,140,0.02064448944641,0.020885157311225,0,red_corner,0,0
9.4,141,0.0177045150660347,0.0161308233546487,0,red_corner,0,0
9.47,142,0.0148386207323358,0.0131738985865305,0,red_corner,0,0
9.53,143,0.0137622597267038,0.0152610134177407,0,red_corner,0,0
9.6,144,0.0125269157739297,0.0148432411318988,0,red_corner,0,0
9.67,145,0.0082135190001315,0.0064305938753751,0,red_corner,0,0
9.73,146,0.0029426897207058,0.0008123707698629,0,red_corner,0,0
9.8,147,0.0003098861942608,0.0004772993331915,0,red_corner,0,0
9.87,148,0.0009954035283455,0.0002279419567278,0,red_corner,0,0
9.93,149,0.0037952390241456,0.0022224179573344,0,red_corner,0,0
10.0,150,0.0075466280851976,0.0050226086457187,0,red_corner,0,0
