Frame,nose_dist,body_dist,freezing,darting
1,0.0,0.0,0,0
2,0.0,0.0,0,0
3,0.0,0.0,0,0
4,0.0,0.0,0,0
5,0.0,0.0,0,0
6,0.0,0.0,0,0
7,0.0,0.0,0,0
8,0.0,0.0,0,0
9,0.0,0.0,0,0
10,0.0,0.0,0,0
11,0.0,0.0,0,0
12,0.0,0.0,0,0
13,0.0,0.0,0,0
14,0.0,0.0,0,0
15,0.0,0.0,0,0
16,0.0,0.0,0,0
17,0.0,0.0,0,0
18,0.0,0.0,0,0
19,0.0,0.0,0,0
20,0.0,0.0,0,0
21,0.0,0.0,0,0
22,0.0,0.0,0,0
23,0.0,0.0,0,0
24,0.0,0.0,0,0
25,0.0,0.0,0,0
26,0.0,0.0,0,0
27,0.0,0.0,0,0
28,0.0,0.0,0,0
29,0.0,0.0,0,0
30,0.0,0.0,0,0
31,0.0,0.0,0,0
32,0.0,0.0,0,0
33,0.0,0.0,0,0
34,0.0,0.0,0,0
35,0.0,0.0,0,0
36,0.0,0.0,0,0
37,0.0,0.0,0,0
38,0.0,0.0,0,0
39,0.0,0.0,0,0
40,0.0,0.0,0,0
41,0.0,0.0,0,0
42,0.0,0.0,0,0
43,0.0,0.0,0,0
44,0.0,0.0,0,0
45,0.0,0.0,0,0
46,0.0,0.0,0,0
47,0.0,0.0,0,0
48,0.0,0.0,0,0
49,0.0,0.0,0,0
50,0.0,0.0,0,0
51,0.0,0.0,0,0
52,0.0035577716378361567,0.0020449302646348855,0,0
53,0.0025567900680166134,0.0012481066080548772,0,0
54,0.0008536649358722643,0.0008327736831615384,0,0
55,0.0019923191470700157,0.0007420866424863521,0,0
56,0.0032329948347932045,0.00137622759544415,0,0
57,0.002434826660425228,0.0021548126704056475,0,0
58,0.0033466554099348504,0.002494531263125112,0,0
59,0.0038725641616497546,0.003319145532289432,0,0
60,0.003282905052251683,0.002767076159016596,0,0
61,0.004196778744451327,0.003135108837145234,0,0
62,0.004976587672888667,0.00539726333973839,0,0
63,0.0021965119093485972,0.0021833158534057453,0,0
64,0.002284005677375844,0.0014119507968724696,0,0
65,0.0016255025132104425,0.001168911657347398,0,0
66,0.000618386087828512,0.00031485094916276486,0,0
67,0.00067824955759832,0.00016850233761364606,0,0
68,0.0011891999034733813,0.00041614882419564893,0,0
69,0.0008862418069133347,0.0005417821749636397,0,0
70,0.0010731681516731762,0.0004886310112475584,0,0
71,0.0005608202000866677,0.00043957808301784877,0,0
72,0.0004958809724283561,0.00010994016676244367,0,0
73,0.0010059879885649715,0.0004472205241554178,0,0
74,0.003378981127126181,0.0016119435934936746,0,0
75,0.007777146716424956,0.0036889892625274314,0,0
76,0.010682664257090017,0.005271040482048977,0,0
77,0.012288243559281329,0.006040014939137314,0,0
78,0.012249504263463464,0.0044185628072324415,0,0
79,0.010837662661154442,0.0028548139992923206,0,0
80,0.010210417249375785,0.0027746509617683763,0,0
81,0.015145372487591641,0.006779285375530183,0,0
82,0.015937706263389195,0.011028915717701513,0,0
83,0.011912895091664879,0.01114184265229213,0,0
84,0.009895955465541848,0.00972014359604112,0,0
85,0.012030188640206416,0.012762262864837417,0,0
86,0.015522512687642325,0.01567221685412994,0,0
87,0.011993943725287852,0.011073221442494499,0,0
88,0.015094270724677656,0.015417389239930397,0,0
89,0.009488665672373471,0.010204061819361532,0,0
90,0.007657982628248269,0.009316312321162043,0,0
91,0.006859087663149855,0.007694612621142548,0,0
92,0.0065090366905970806,0.00660825190924196,0,0
93,0.00894476303554104,0.007848159989367262,0,0
94,0.01268903663502748,0.011629374137038382,0,0
95,0.007694697082392296,0.007683095178872706,0,0
96,0.005697594417140486,0.006857260984415632,0,0
97,0.007102475479187044,0.008727785288547911,0,0
98,0.010626414331810337,0.011498957385290071,0,0
99,0.0034238034599560524,0.003433249311351182,0,0
100,0.006050836711550819,0.005014701449865797,0,0
101,0.010181251556586163,0.008931357908521587,0,0
102,0.007403122883609432,0.008093462767631412,0,0
103,0.006082530534043435,0.006306567501418631,0,0
104,0.005610494658674922,0.005721893163837879,0,0
105,0.004906707313265926,0.0048679584898161325,0,0
106,0.002046948470429766,0.0014035319039801058,0,0
107,0.0009003655202165131,0.0002940493695322388,0,0
108,0.0025460077927438153,0.0006833698519442067,0,0
109,0.0034149383191771176,0.0013497377417042464,0,0
110,0.0017370348944590669,0.0016472814129861852,0,0
111,0.0008001101766201772,0.0010953169377195626,0,0
112,0.0014435001695900327,0.00046323965139813004,0,0
113,0.004752229238829508,0.00021474870502708637,0,0
114,0.009813302477759826,0.0010163553532801608,0,0
115,0.011269610159346456,0.0012462198314675621,0,0
116,0.009670137752566576,0.0009677359900758154,0,0
117,0.009512291048421146,0.0027302570740174547,0,0
118,0.004040229902508286,0.0017710084753251854,0,0
119,0.0018552215407847002,0.0013860948074454987,0,0
120,0.004263849959267728,0.001440929143359583,0,0
121,0.0073552168944462475,0.0032192973208851916,0,0
