Frame,nose_dist,body_dist,freezing,body
1,0.0,0.0,0,other
2,0.0,0.0,0,other
3,0.0,0.0,0,other
4,0.0,0.0,0,other
5,0.0,0.0,0,other
6,0.0,0.0,0,other
7,0.0,0.0,0,other
8,0.0,0.0,0,other
9,0.0,0.0,0,other
10,0.0,0.0,0,other
11,0.0,0.0,0,other
12,0.0,0.0,0,other
13,0.0,0.0,0,other
14,0.0,0.0,0,other
15,0.0,0.0,0,other
16,0.0,0.0,0,other
17,0.0,0.0,0,other
18,0.0,0.0,0,other
19,0.0,0.0,0,other
20,0.0,0.0,0,other
21,0.0,0.0,0,other
22,0.0,0.0,0,other
23,0.0,0.0,0,other
24,0.0,0.0,0,other
25,0.0,0.0,0,other
26,0.0,0.0,0,other
27,0.0,0.0,0,other
28,0.0,0.0,0,other
29,0.0,0.0,0,other
30,0.0,0.0,0,other
31,0.0,0.0,0,other
32,0.0,0.0,0,other
33,0.0,0.0,0,other
34,0.0,0.0,0,other
35,0.0,0.0,0,other
36,0.0,0.0,0,other
37,0.0,0.0,0,other
38,0.0,0.0,0,other
39,0.0,0.0,0,other
40,0.0,0.0,0,other
41,0.0,0.0,0,other
42,0.0,0.0,0,other
43,0.0,0.0,0,other
44,0.0,0.0,0,other
45,0.0,0.0,0,other
46,0.0,0.0,0,other
47,0.0,0.0,0,other
48,0.0,0.0,0,other
49,0.0,0.0,0,other
50,0.0,0.0,0,other
51,0.0,0.0,0,other
52,0.0,0.0,0,other
53,0.0,0.0,0,other
54,0.0,0.0,0,other
55,0.0,0.0,0,other
56,0.0,0.0,0,other
57,0.0,0.0,0,other
58,0.0,0.0,0,other
59,0.0,0.0,0,other
60,0.0,0.0,0,other
61,0.0,0.0,0,other
62,0.0022217473597451027,0.000493869824970732,0,other
63,0.005012617646021231,0.001838167877205088,0,other
64,0.009388394884238309,0.0033524704136443572,0,other
65,0.007856462046191613,0.0029526193886368272,0,other
66,0.007628841461645649,0.0029448592723720045,0,other
67,0.009058918838770582,0.0047678722889749545,0,other
68,0.009874949791933384,0.008969326893980311,0,other
69,0.005208651593903261,0.005668968828333285,0,other
70,0.0032708379037603764,0.005029041027287109,0,other
71,0.0034898997442997454,0.0024229115053216936,0,other
72,0.00331215829194347,0.001955631329081548,0,other
73,0.0034928865976857704,0.0025443253227727227,0,other
74,0.005668236321169244,0.0036065725026872097,0,other
75,0.005286588088584957,0.0036867806908527567,0,other
76,0.0069572922287317596,0.003944977628699068,0,other
77,0.005021512613538809,0.0037744620106486357,0,other
78,0.001409909098865244,0.0037571868087518828,0,other
79,0.0006185773493463056,0.0024889794027062304,0,other
80,0.0018518010329282215,0.0018070872178465964,0,other
81,0.003462165546237854,0.0021205261974311246,0,other
82,0.004424990458187653,0.0029159252014999493,0,other
83,0.005121761828532818,0.005239405193057727,0,other
84,0.0073541182049069965,0.006007278753364608,0,other
85,0.008281323252543618,0.004482189933925515,0,other
86,0.007682484478445051,0.0044663335611886314,0,other
87,0.002743328545940189,0.0009859742489087694,0,other
88,0.0004973990745381035,0.00013095442774846053,0,other
89,0.0009384259057035807,0.00016589218612364994,0,other
90,0.0023174480633669555,0.0006331505352459637,0,other
91,0.0017690690244375688,0.0005139401564372661,0,other
92,0.006948614494790985,0.002694509956884299,0,other
93,0.010737643955710948,0.005777527736801281,0,other
94,0.0067056086126241,0.004719489558013707,0,other
95,0.005119851924778893,0.004502837225694838,0,other
96,0.004855159261922771,0.005329170965039146,0,centre
97,0.005101073287865295,0.004359656922933756,0,centre
98,0.004462716105137445,0.005218369569930525,0,centre
99,0.006867080756030798,0.007149431454504027,0,centre
100,0.005418742370831531,0.005562809153410793,0,centre
101,0.005255872190317526,0.006375178572381295,0,centre
102,0.005893069105872897,0.007811000941963863,0,other
103,0.010184718028464821,0.01225632473909382,0,other
104,0.007415409338976271,0.006141724963324311,0,other
105,0.003968045881307097,0.003688343984855707,0,other
106,0.004688909271648344,0.005366050900583874,0,other
107,0.007512053141264101,0.007299040763917448,0,other
108,0.005598709920522521,0.004287589733077144,0,other
109,0.0032829225493956424,0.002394413918161874,0,other
110,0.0031741652561414367,0.0025036862657145335,0,other
111,0.002659108251999674,0.00323721999887176,0,other
112,0.0012281364359154525,0.0014710140243493377,0,other
113,0.0017512084426088534,0.0007727876053636724,0,other
114,0.0026086240044773377,0.0020597470836062367,0,other
115,0.0016010321150409013,0.0032482355173000933,0,other
116,0.00036418147798547904,0.0017482484289401826,0,other
117,0.000461635646385654,0.0012649565425393939,0,other
118,0.001650622909109053,0.0017291511731701026,0,other
119,0.003301711743082451,0.0025303410976498008,0,other
120,0.0020602448909280546,0.001818776760510969,0,other
121,0.001085190426814506,0.0023349822154953336,0,other
122,0.0012526175739058535,0.0014807278650056702,0,other
123,0.001450020149227814,0.000978552519622923,0,other
124,0.001601719524342318,0.0010607593857789464,0,other
125,0.002665445255341617,0.0012590584137437224,0,other
126,0.002622101968448615,0.0009815881296941025,0,other
127,0.002197226144210836,0.000826827012125848,0,other
128,0.0030957365861763943,0.0015309220261745108,0,other
129,0.0046275097360039905,0.005811479398350091,0,other
130,0.0030847577929173386,0.004178163466991614,0,other
131,0.002570263051116501,0.002400962754625151,0,other
132,0.001872701156467635,0.0021966729418464517,0,other
133,0.0018636533536998778,0.0028964543871058427,0,other
134,0.00231899038048115,0.0009283527189671723,0,other
135,0.0016642315695309792,0.0002756051912012915,0,other
136,0.00030488667591455033,0.00018383896182854804,0,other
137,0.00010150023459375252,0.0006655665702280983,0,other
138,0.00018777863609377354,0.0011623186019084015,0,other
139,0.0002330309654083113,0.00043258369624967814,0,other
140,8.461882516654479e-05,6.639835223580454e-05,0,other
141,0.00036233744145112496,5.732791303376357e-05,0,other
142,0.001485856571326012,0.0001848975694740622,0,other
143,0.0011093336211820352,5.0674405316067225e-05,0,other
144,0.0007327543964634114,7.430302464896388e-05,0,other
145,0.002072600005981223,0.00027117713076741686,0,other
146,0.0035199967394523774,0.00029695518778874685,0,other
147,0.0014383494909043807,0.00018758952645865672,0,other
148,0.00019623891009691854,9.743267318811328e-05,0,other
149,0.0003042941317791054,0.00039909133967837247,0,other
150,0.0016659885173153405,0.0011625677472022198,0,other
151,0.003049567009144721,0.0009192545367384655,0,other
152,0.002173981963339571,0.00047464497433021967,0,other
153,0.0014098045709690702,0.0002888350975090499,0,other
154,0.0013464186884513793,0.00035485262417056464,0,other
155,0.0006551419144907223,0.00010494269404396173,0,other
156,0.0007369797860001438,0.0001428725091880098,0,other
157,0.0010567842287905207,0.0007168958078436716,0,other
158,0.0026975791053032443,0.002213625788789507,0,other
159,0.0016404408382414656,0.001971360381206215,0,other
160,0.0011443952370594848,0.0011801385013941693,0,other
161,0.000798133013727247,0.00043288639224197393,0,other
162,0.003431390506073804,0.0012672523240457136,0,other
163,0.005535925589333637,0.001744230833953042,0,other
164,0.002872625320004372,0.0013284135860985474,0,other
165,0.0020822875967872177,0.0008641716373354129,0,other
166,0.002264738221383396,0.0007496229768054315,0,other
167,0.0011867841459478174,0.0005043930580594255,0,other
168,0.0008246436295674829,0.000258170098997398,0,other
169,0.00034129102984023274,6.95633183921169e-05,0,other
170,0.0008449750832771479,7.105559239359651e-05,0,other
171,0.0007756303972142253,0.0002073559645871922,0,other
172,0.0012626689167164263,0.0012050600967464437,0,other
173,0.00267943986655981,0.0030870070192877803,0,other
174,0.0019867043204635786,0.002496423685517521,0,other
175,0.0021460111610127714,0.0017672446961559968,0,other
176,0.002086477684578635,0.00144917308598179,0,other
177,0.002454220818810762,0.0019394292635535844,0,other
178,0.00227458660240559,0.0018198273103431988,0,other
179,0.0017988021932171736,0.0016542490757055475,0,other
180,0.0003638423886599258,0.0003861849305401251,0,other
181,0.00012321297315371634,7.934116831908256e-05,0,other
182,0.0007654040142065585,0.00041743543574215136,0,other
183,0.0017484903519229197,0.0005750762115333686,0,other
184,0.002481870791641234,0.0011317072676477068,0,other
185,0.004067358338982141,0.0015437990226992498,0,other
186,0.00318799252845867,0.0014961467922269057,0,other
187,0.003848602984411379,0.0009438350871926932,0,other
188,0.009298318074411574,0.0017168879546220759,0,other
189,0.014909961249855134,0.003517173553177578,0,other
190,0.010718445728688953,0.0031104206989984256,0,other
191,0.007323444503208689,0.002392726481257436,0,other
192,0.007066030528074271,0.001140999991418719,0,other
193,0.010486686126788783,0.0017662806772739425,0,other
194,0.006695318225548351,0.0023738258298783375,0,other
