Time,Frame,nose_dist,body_dist,freezing,body,Known,Homecage
0.07,1,0.0,0.0,0,center,0,0
0.13,2,0.0,0.0,0,center,0,0
0.2,3,0.0,0.0,0,center,0,0
0.27,4,0.0,0.0,0,center,0,0
0.33,5,0.0,0.0,0,center,0,0
0.4,6,0.0,0.0,0,center,0,0
0.47,7,0.0,0.0,0,center,0,0
0.53,8,0.0,0.0,0,center,0,0
0.6,9,0.0,0.0,0,center,0,0
0.67,10,0.0,0.0,0,center,0,0
0.73,11,0.0,0.0,0,center,0,0
0.8,12,0.0,0.0,0,center,0,0
0.87,13,0.0,0.0,0,center,0,0
0.93,14,0.0,0.0,0,center,0,0
1.0,15,0.0,0.0,0,center,0,0
1.07,16,0.0,0.0,0,center,0,0
1.13,17,0.0,0.0,0,center,0,0
1.2,18,0.0,0.0,0,center,0,0
1.27,19,0.0,0.0,0,center,0,0
1.33,20,0.0,0.0,0,center,0,0
1.4,21,0.0,0.0,0,center,0,0
1.47,22,0.0,0.0,0,center,0,0
1.53,23,0.0,0.0,0,center,0,0
1.6,24,0.0,0.0,0,center,0,0
1.67,25,0.0,0.0,0,center,0,0
1.73,26,0.0,0.0,0,center,0,0
1.8,27,0.0,0.0,0,center,0,0
1.87,28,0.0,0.0,0,center,0,0
1.93,29,0.0,0.0,0,center,0,0
2.0,30,0.0,0.0,0,center,0,0
2.07,31,0.0,0.0,0,red_corner,0,0
2.13,32,0.0137637855646559,0.014468961957818,0,red_corner,0,0
2.2,33,0.0143453763178943,0.0132875579000746,0,red_corner,0,0
2.27,34,0.0111203238902214,0.011034026549196,0,red_corner,0,0
2.33,35,0.0053388128540529,0.0078482997028468,0,red_corner,0,0
2.4,36,0.0096874142254264,0.0045621518682824,0,red_corner,0,0
2.47,37,0.0124190863404991,0.0068678886125395,0,red_corner,0,0
2.53,38,0.0120373514235751,0.009486099165623,0,red_corner,0,0
2.6,39,0.0096538072324972,0.0102127255157306,0,red_corner,0,0
2.67,40,0.0128149374853603,0.0147792288548112,0,red_corner,0,0
2.73,41,0.0181192436066469,0.0182956676414552,0,red_corner,0,0
2.8,42,0.0166330289621774,0.0149536850359794,0,red_corner,0,0
2.87,43,0.0106389143387324,0.0097090290647578,0,red_corner,0,0
2.93,44,0.0067186296191786,0.0061265292100928,0,red_corner,0,0
3.0,45,0.0057258002373773,0.0021857255500864,0,red_corner,0,0
3.07,46,0.0098224350954111,0.0008598863245539,0,red_corner,0,0
3.13,47,0.0103792790168355,0.000194478890623,0,red_corner,0,0
3.2,48,0.005086439889636,0.0002734716802253,0,red_corner,0,0
3.27,49,0.0015150486945655,0.0004594736771888,0,red_corner,0,0
3.33,50,0.0004434763734445,0.0002376189237873,0,red_corner,0,0
3.4,51,0.0009239018096198,0.0001752412129715,0,red_corner,0,0
3.47,52,0.0008653747134221,0.0003670682193053,0,red_corner,0,0
3.53,53,0.0005080062667974,0.0002257375148466,0,red_corner,0,0
3.6,54,0.000230167895543,9.460349312073252e-05,0,red_corner,0,0
3.67,55,0.0002059251768424,0.0001226721643112,0,red_corner,0,0
3.73,56,0.0001110762339092,0.0001679102176554,0,red_corner,0,0
3.8,57,0.0002797845554715,0.0001410596217494,0,red_corner,0,0
3.87,58,0.0027271162708735,0.0019264475973883,0,red_corner,0,0
3.93,59,0.0103395338743175,0.0092702709404089,0,red_corner,0,0
4.0,60,0.0150196077371726,0.0127730618297488,0,red_corner,0,0
4.07,61,0.011252570191903,0.0115386498832658,0,red_corner,0,0
4.13,62,0.0113936424180967,0.0112784137383469,0,red_corner,0,0
