Time,Frame,nose_dist,body_dist,freezing,darting
0.04,1,0.0,0.0,0,0
0.08,2,0.0,0.0,0,0
0.12,3,0.0,0.0,0,0
0.16,4,0.0,0.0,0,0
0.2,5,0.0,0.0,0,0
0.24,6,0.0,0.0,0,0
0.28,7,0.0,0.0,0,0
0.32,8,0.0,0.0,0,0
0.36,9,0.0,0.0,0,0
0.4,10,0.0,0.0,0,0
0.44,11,0.0,0.0,0,0
0.48,12,0.0,0.0,0,0
0.52,13,0.0,0.0,0,0
0.56,14,0.0,0.0,0,0
0.6,15,0.0,0.0,0,0
0.64,16,0.0,0.0,0,0
0.68,17,0.0,0.0,0,0
0.72,18,0.0,0.0,0,0
0.76,19,0.0,0.0,0,0
0.8,20,0.0,0.0,0,0
0.84,21,0.0,0.0,0,0
0.88,22,0.0,0.0,0,0
0.92,23,0.0,0.0,0,0
0.96,24,0.0,0.0,0,0
1.0,25,0.0,0.0,0,0
1.04,26,0.0,0.0,0,0
1.08,27,0.0,0.0,0,0
1.12,28,0.0,0.0,0,0
1.16,29,0.0,0.0,0,0
1.2,30,0.0,0.0,0,0
1.24,31,0.0,0.0,0,0
1.28,32,0.0,0.0,0,0
1.32,33,0.0,0.0,0,0
1.36,34,0.0,0.0,0,0
1.4,35,0.0,0.0,0,0
1.44,36,0.0,0.0,0,0
1.48,37,0.0,0.0,0,0
1.52,38,0.0,0.0,0,0
1.56,39,0.0,0.0,0,0
1.6,40,0.0,0.0,0,0
1.64,41,0.0,0.0,0,0
1.68,42,0.0,0.0,0,0
1.72,43,0.0,0.0,0,0
1.76,44,0.0,0.0,0,0
1.8,45,0.0,0.0,0,0
1.84,46,0.0,0.0,0,0
1.88,47,0.0,0.0,0,0
1.92,48,0.0,0.0,0,0
1.96,49,0.0,0.0,0,0
2.0,50,0.0,0.0,0,0
2.04,51,0.0,0.0,0,0
2.08,52,0.0039693787857747,0.0040493458458265,0,0
2.12,53,0.0038125488885244,0.004354698568228,0,0
2.16,54,0.0022083060935561,0.0028786892453817,0,0
2.2,55,0.0027306601536895,0.0033368789214767,0,0
2.24,56,0.0031388675760098,0.0035721316723265,0,0
2.28,57,0.0032078416451213,0.0034913903227899,0,0
2.32,58,0.0035246417091114,0.0042235097926132,0,0
2.36,59,0.0062581004186265,0.0066217114058179,0,0
2.4,60,0.0064059673192776,0.0030800570938069,0,0
2.44,61,0.0064795181991662,0.0011734478858526,0,0
2.48,62,0.0063871070586112,0.0020458754927211,0,0
2.52,63,0.0032934792674039,0.0017203614742361,0,0
2.56,64,0.0030258866820506,0.0003583036742415,0,0
2.6,65,0.001135071967003,0.0004254665531172,0,0
2.64,66,0.0016611873003751,0.0011311565392695,0,0
2.68,67,0.001349590076146,0.0013932491103985,0,0
2.72,68,0.0019265213024989,0.0013879923406539,0,0
2.76,69,0.0044052241473022,0.0017830377125487,0,0
2.8,70,0.0082800637474563,0.0025047801716663,0,0
2.84,71,0.0092175041783722,0.0022472971170616,0,0
2.88,72,0.0072476456108015,0.0012296804408881,0,0
2.92,73,0.0081639040884517,0.0009784042138844,0,0
2.96,74,0.0102880496231091,0.0008548405204923,0,0
3.0,75,0.0049711643263019,0.0003501841072069,0,0
3.04,76,0.0030215069695048,0.0006762160926604,0,0
3.08,77,0.004195125869547,0.0020249519822724,0,0
