Time,Frame,nose_dist,body_dist,freezing,darting,Mice,Object
0.07,1,0.0,0.0,0,0,0,0
0.13,2,0.0,0.0,0,0,0,0
0.2,3,0.0,0.0,0,0,0,0
0.27,4,0.0,0.0,0,0,0,0
0.33,5,0.0,0.0,0,0,0,0
0.4,6,0.0,0.0,0,0,0,0
0.47,7,0.0,0.0,0,0,0,0
0.53,8,0.0,0.0,0,0,0,0
0.6,9,0.0,0.0,0,0,0,0
0.67,10,0.0,0.0,0,0,0,0
0.73,11,0.0,0.0,0,0,0,0
0.8,12,0.0,0.0,0,0,0,0
0.87,13,0.0,0.0,0,0,0,0
0.93,14,0.0,0.0,0,0,0,0
1.0,15,0.0,0.0,0,0,0,0
1.07,16,0.0,0.0,0,0,0,0
1.13,17,0.0,0.0,0,0,0,0
1.2,18,0.0,0.0,0,0,0,0
1.27,19,0.0,0.0,0,0,0,0
1.33,20,0.0,0.0,0,0,0,0
1.4,21,0.0,0.0,0,0,0,0
1.47,22,0.0,0.0,0,0,0,0
1.53,23,0.0,0.0,0,0,0,0
1.6,24,0.0,0.0,0,0,0,0
1.67,25,0.0,0.0,0,0,0,0
1.73,26,0.0,0.0,0,0,0,1
1.8,27,0.0,0.0,0,0,0,1
1.87,28,0.0,0.0,0,0,0,1
1.93,29,0.0,0.0,0,0,0,1
2.0,30,0.0,0.0,0,0,0,1
2.07,31,0.0,0.0,0,0,0,1
2.13,32,0.0039048236375412,0.0013504897167667,0,0,0,1
2.2,33,0.0020970334353347,0.0017744633645235,0,0,0,1
2.27,34,0.0032927881030243,0.002534158762676,0,0,0,1
2.33,35,0.0113934095287275,0.0030272715183069,0,0,0,1
2.4,36,0.0090294941697029,1.897639977757261e-05,0,0,0,1
2.47,37,0.0079131456629419,0.0030235528436526,0,0,0,0
2.53,38,0.0096782147431595,0.0022974044542593,0,0,0,0
2.6,39,0.0139804199765794,0.0023615021341479,0,0,0,0
2.67,40,0.0136152315586874,0.00615972972025,0,0,0,0
2.73,41,0.0115965896943297,0.0111282460942274,0,0,0,0
2.8,42,0.010376595998675,0.0139829071437245,0,0,0,0
2.87,43,0.0086345972672707,0.0082246733911638,0,0,0,0
2.93,44,0.0071176270337119,0.0040799102121454,0,0,0,0
3.0,45,0.0109233329501822,0.009938142372967,0,0,0,0
3.07,46,0.0137948362085027,0.0164074597664608,0,0,0,0
3.13,47,0.0146449914330034,0.0128980208696897,0,0,0,0
3.2,48,0.0121401052152285,0.0099890339505963,0,0,0,0
3.27,49,0.0128808486175051,0.015607951687512,0,0,0,0
3.33,50,0.0127578309810068,0.0176293373878922,0,0,0,0
3.4,51,0.0134141718419294,0.0102214635162064,0,0,0,0
3.47,52,0.011832776813566,0.0130965639597086,0,0,0,0
3.53,53,0.0073170198778286,0.012646026987198,0,0,0,0
3.6,54,0.003600654107177,0.0089774262286849,0,0,0,0
3.67,55,0.0010726238025624,0.0026928367040354,0,0,0,0
3.73,56,0.0017409287124308,0.0004486835454061,0,0,0,0
3.8,57,0.0055995645900175,0.0005159864168224,0,0,0,0
3.87,58,0.0085062974734777,0.0009394182999694,0,0,0,0
3.93,59,0.0127863427239568,0.0018058307753686,0,0,0,0
4.0,60,0.0136318844275868,0.0033703408088634,0,0,0,0
4.07,61,0.0138214050111014,0.0037885533134981,0,0,0,0
4.13,62,0.0137347433815277,0.0051134873927207,0,0,0,0
4.2,63,0.0147768455701934,0.0068758126454984,0,0,0,0
4.27,64,0.0146362051385239,0.0065699956048108,0,0,0,1
4.33,65,0.0073823249621519,0.0028056374170864,0,0,0,1
4.4,66,0.0026534376400891,0.0019397075552243,0,0,0,1
4.47,67,0.0039294703273451,0.0022884004185884,0,0,0,1
4.53,68,0.0012091663240762,0.0007027709205101,0,0,0,1
4.6,69,0.0004204447757726,0.0002048219242707,0,0,0,1
4.67,70,0.0025971235102412,0.0008928500444136,0,0,0,1
4.73,71,0.0083738270899569,0.0022029533343316,0,0,0,1
4.8,72,0.0050233638325593,0.0011510867915105,0,0,0,1
4.87,73,0.0021261751829526,0.0004374892383972,0,0,0,1
4.93,74,0.0032830732484119,0.0003755736451774,0,0,0,1
5.0,75,0.0035490630968166,0.0003216877537428,0,0,0,1
