Time,Frame,nose_dist,body_dist,freezing,darting,Object,Mice
0.07,1,0.0,0.0,0,0,0,0
0.13,2,0.0,0.0,0,0,0,0
0.2,3,0.0,0.0,0,0,0,0
0.27,4,0.0,0.0,0,0,0,0
0.33,5,0.0,0.0,0,0,0,0
0.4,6,0.0,0.0,0,0,0,0
0.47,7,0.0,0.0,0,0,0,0
0.53,8,0.0,0.0,0,0,0,0
0.6,9,0.0,0.0,0,0,0,0
0.67,10,0.0,0.0,0,0,0,0
0.73,11,0.0,0.0,0,0,0,0
0.8,12,0.0,0.0,0,0,0,0
0.87,13,0.0,0.0,0,0,0,1
0.93,14,0.0,0.0,0,0,0,1
1.0,15,0.0,0.0,0,0,0,1
1.07,16,0.0,0.0,0,0,0,1
1.13,17,0.0,0.0,0,0,0,1
1.2,18,0.0,0.0,0,0,0,1
1.27,19,0.0,0.0,0,0,0,1
1.33,20,0.0,0.0,0,0,0,1
1.4,21,0.0,0.0,0,0,0,1
1.47,22,0.0,0.0,0,0,0,1
1.53,23,0.0,0.0,0,0,0,1
1.6,24,0.0,0.0,0,0,0,1
1.67,25,0.0,0.0,0,0,0,1
1.73,26,0.0,0.0,0,0,0,1
1.8,27,0.0,0.0,0,0,0,1
1.87,28,0.0,0.0,0,0,0,1
1.93,29,0.0,0.0,0,0,0,1
2.0,30,0.0,0.0,0,0,0,1
2.07,31,0.0,0.0,0,0,0,1
2.13,32,0.0008361462117144,0.0010187823365224,0,0,0,1
2.2,33,0.0010309611350605,0.0010964161173618,0,0,0,1
2.27,34,0.0014802736291659,0.0016142660318925,0,0,0,1
2.33,35,0.0008752180847034,0.001676310944006,0,0,0,1
2.4,36,0.0005779487901208,0.0020607197103973,0,0,0,1
2.47,37,0.0008056748370103,0.0025904381794805,0,0,0,1
2.53,38,0.0009134160933481,0.001582798745559,0,0,0,1
2.6,39,0.0002576997389269,0.0003998541080104,0,0,0,1
2.67,40,0.0009288324924911,0.0003431074334752,0,0,0,1
2.73,41,0.0007164049845665,0.0007407450836111,0,0,0,1
2.8,42,0.0002917031058646,0.0004060799193994,0,0,0,1
2.87,43,0.0001881033409682,0.0002568492208317,0,0,0,1
2.93,44,0.0009137343557153,0.0004900339909619,0,0,0,1
3.0,45,0.0015022030166535,0.0007579850400158,0,0,0,1
3.07,46,0.0002067621003422,0.0002218638012872,0,0,0,1
3.13,47,0.0009552461569609,0.0019793610023817,0,0,0,1
3.2,48,0.001119434859598,0.0022953265311046,0,0,0,1
3.27,49,0.001390558616319,0.0014336494791453,0,0,0,1
3.33,50,0.001058169090092,0.0009437489310999,0,0,0,1
3.4,51,0.0004056578310389,0.000349074353922,0,0,0,1
3.47,52,0.0003068001510317,0.0002743860555488,0,0,0,1
3.53,53,0.001349251396615,0.0006266849031895,0,0,0,1
3.6,54,0.0024165270590861,0.0007593151219496,0,0,0,1
3.67,55,0.001897561099439,0.0006076402328377,0,0,0,1
3.73,56,0.0001178883598858,4.1999291912250125e-05,0,0,0,1
3.8,57,0.0023246301934022,0.0005282791331227,0,0,0,1
3.87,58,0.0025707249870619,0.0009197857562005,0,0,0,1
3.93,59,0.0017213603406966,0.0006167075728968,0,0,0,1
4.0,60,0.0003375020992073,0.0003700591393596,0,0,0,1
4.07,61,0.0001709639274544,1.6722259719704717e-05,0,0,0,1
4.13,62,0.0001977661987829,0.0003864801584493,0,0,0,1
4.2,63,0.0007986095480666,0.000497977864917,0,0,0,1
4.27,64,0.0011957085645819,9.496861470072816e-05,0,0,0,1
4.33,65,0.0013111493708664,0.0002404147920569,0,0,0,1
4.4,66,0.0003649700454054,0.0005641196926079,0,0,0,1
4.47,67,0.0007938679146182,0.0006484861320306,0,0,0,1
4.53,68,0.0017611689878989,0.0010441125870397,0,0,0,1
4.6,69,0.0035748994230102,0.0010434816042187,0,0,0,1
4.67,70,0.0023018084953856,0.0003356895110919,0,0,0,1
4.73,71,0.0003021365557041,0.0002183874087711,0,0,0,1
4.8,72,0.0006868673533319,0.0002648483605297,0,0,0,1
4.87,73,0.0011641359990704,0.0002321753000302,0,0,0,1
4.93,74,0.0007041497887789,7.060223235027098e-05,0,0,0,1
5.0,75,0.0004970977434801,0.000174639320514,0,0,0,1
