Time,Frame,nose_dist,body_dist,freezing
0.04,1,0.0,0.0,0
0.08,2,0.0,0.0,0
0.12,3,0.0,0.0,0
0.16,4,0.0,0.0,0
0.2,5,0.0,0.0,0
0.24,6,0.0,0.0,0
0.28,7,0.0,0.0,0
0.32,8,0.0,0.0,0
0.36,9,0.0,0.0,0
0.4,10,0.0,0.0,0
0.44,11,0.0,0.0,0
0.48,12,0.0,0.0,0
0.52,13,0.0,0.0,0
0.56,14,0.0,0.0,0
0.6,15,0.0,0.0,0
0.64,16,0.0,0.0,0
0.68,17,0.0,0.0,0
0.72,18,0.0,0.0,0
0.76,19,0.0,0.0,0
0.8,20,0.0,0.0,0
0.84,21,0.0,0.0,0
0.88,22,0.0,0.0,0
0.92,23,0.0,0.0,0
0.96,24,0.0,0.0,0
1.0,25,0.0,0.0,0
1.04,26,0.0,0.0,0
1.08,27,0.0,0.0,0
1.12,28,0.0,0.0,0
1.16,29,0.0,0.0,0
1.2,30,0.0,0.0,0
1.24,31,0.0,0.0,0
1.28,32,0.0,0.0,0
1.32,33,0.0,0.0,0
1.36,34,0.0,0.0,0
1.4,35,0.0,0.0,0
1.44,36,0.0,0.0,0
1.48,37,0.0,0.0,0
1.52,38,0.0,0.0,0
1.56,39,0.0,0.0,0
1.6,40,0.0,0.0,0
1.64,41,0.0,0.0,0
1.68,42,0.0,0.0,0
1.72,43,0.0,0.0,0
1.76,44,0.0,0.0,0
1.8,45,0.0,0.0,0
1.84,46,0.0,0.0,0
1.88,47,0.0,0.0,0
1.92,48,0.0,0.0,0
1.96,49,0.0,0.0,0
2.0,50,0.0,0.0,0
2.04,51,0.0,0.0,0
2.08,52,0.0006744642870973,0.003226340787108,0
2.12,53,0.001314142599316,0.0011605731517629,0
2.16,54,0.006182884377115,0.0032249573889571,0
2.2,55,0.006105835306054,0.0032542196073505,0
2.24,56,0.0058345075129449,0.0030521625541503,0
2.28,57,0.0042736934720087,0.0011255090861579,0
2.32,58,0.001764087450798,0.0004744758318063,0
2.36,59,0.0044795380882991,0.0014968731238593,0
2.4,60,0.0044728269315854,0.0018471807204997,0
2.44,61,0.0057038516453882,0.0014689471621692,0
2.48,62,0.0122280515661758,0.0007368599497533,0
2.52,63,0.0051503504216971,0.0003949750875661,0
2.56,64,0.0092669870951913,0.0015659493816535,0
2.6,65,0.0054091238958072,0.0020204830024625,0
2.64,66,0.0032642741835457,0.0015482529025132,0
2.68,67,0.0034173055039515,0.0023195238128227,0
2.72,68,0.0021123691947943,0.0015856447635685,0
2.76,69,0.0003932292265274,0.0004764878458876,0
2.8,70,0.0002660118588265,0.0,0
2.84,71,0.0017669886497033,0.000584034489085,0
2.88,72,0.0035624158046388,0.0023775472103541,0
2.92,73,0.003986896394221,0.0046217745592032,0
2.96,74,0.0068262961466273,0.0070507094793441,0
