Video,Group,exploration_time_Novel,exploration_time_Known,DI,diff,freezing_time
2024_05-PD-TS-R13_C6n,PD,11.78316099,11.34958237,1.874306972,0.433578622,11.76666667
2024_05-PD-TS-R14_C6i,Veh,20.82044932,21.85956648,-2.434669114,-1.039117162,15.6
2024_05-PD-TS-R15_C6d,Veh,13.64036288,7.529874985,28.86357694,6.110487895,6.233333333
2024_05-PD-TS-R16_C6a,PD,23.93268963,18.89467612,11.76353816,5.038013514,21.5
2024_05-PD-TS-R17_C7n,PD,22.03214845,10.5249362,35.34472567,11.50721225,10.4
2024_05-PD-TS-R18_C7i,PD,23.82323153,7.997331275,49.73482196,15.82590026,9.1
2024_05-PD-TS-R19_C7d,Veh,17.53038664,19.78213127,-6.034823603,-2.251744638,1.966666667
2024_05-PD-TS-R21_C8n,Veh,31.12778096,12.72539318,41.96363923,18.40238779,9.433333333
2024_05-PD-TS-R22_C8i,PD,19.85707302,24.38007307,-10.22443907,-4.523000047,0
2024_05-PD-TS-R23_C8d,PD,10.56650152,15.76825866,-19.75243782,-5.201757131,2.1
2024_05-PD-TS-R24_C8a,Veh,31.62046566,11.67194689,46.07855649,19.94851877,1.866666667
2025_04-PD-TS-R01_C1i,PD,22.29824892,18.58162526,9.091573128,3.716623656,7.4
2025_04-PD-TS-R02_C1n,Veh,19.6810098,12.84926484,21.00119055,6.831744961,12.26666667
2025_04-PD-TS-R03_C1d,Veh,34.94032697,3.77250497,80.51031257,31.167822,39.8
2025_04-PD-TS-R04_C1a,PD,46.01003562,8.40032636,69.12232871,37.60970926,24.66666667
2025_04-PD-TS-R05_C2n,PD,14.01407208,12.74107659,4.757945864,1.272995489,93.56666667
2025_04-PD-TS-R06_C2d,PD,19.83154855,32.55627112,-24.28946775,-12.72472256,8.433333333
2025_04-PD-TS-R07_C2i,Veh,30.92746521,13.17108785,40.26521535,17.75637736,11.03333333
2025_04-PD-TS-R08_C2a,Veh,52.64247596,5.411562162,81.35681053,47.2309138,4.166666667
2025_04-PD-TS-R09_C3i,PD,60.62529369,32.323873,30.44827802,28.30142069,9.4
2025_04-PD-TS-R10_C3d,Veh,29.1610689,20.45191128,17.55419164,8.709157619,0.833333333
2025_04-PD-TS-R11_C4i,PD,36.73674388,6.164581351,71.26158077,30.57216253,4.5
2025_04-PD-TS-R12_C5i,Veh,43.41854143,14.41696323,50.14493844,29.0015782,1.166666667
