Video,Group,exploration_time_Novel,exploration_time_Known,DI,diff,freezing_time
2025_04-PD-TS-R02_C1n,Veh,23.617211758159982,15.419117804560011,21.001190545919606,8.19809395359997,24.76
2025_04-PD-TS-R03_C1d,Veh,41.92839236812005,4.527005963600001,80.51031257433465,37.40138640452005,60.28
2025_04-PD-TS-R07_C2i,Veh,37.11295825196002,15.805305424639991,40.26521534708269,21.307652827320034,19.16
2025_04-PD-TS-R08_C2a,Veh,63.170971155159926,6.493874593800002,81.35681052908394,56.677096561359924,7.44
2025_04-PD-TS-R10_C3d,Veh,34.99328267636006,24.54229353399999,17.554191640697425,10.450989142360068,2.8
2025_04-PD-TS-R12_C5i,Veh,52.102249716360014,17.30035587103999,50.14493843677575,34.80189384532002,2.16
2025_04-PD-TS-R01_C1i,PD,26.7578987022,22.297950315199998,9.09157312804446,4.459948387000001,13.2
2025_04-PD-TS-R04_C1a,PD,55.21204274547994,10.080391632359998,69.12232870955336,45.13165111311994,40.64
2025_04-PD-TS-R05_C2n,PD,16.816886493040013,15.289291905879978,4.757945863813617,1.527594587160035,126.24
2025_04-PD-TS-R06_C2d,PD,23.797858262240005,39.06752533924005,-24.28946775191641,-15.269667077000044,16.36
2025_04-PD-TS-R09_C3i,PD,72.75035242631999,38.788647599560015,30.448278018343327,33.96170482675998,15.88
2025_04-PD-TS-R11_C4i,PD,44.08409265811997,7.39749762168,71.26158076518243,36.68659503643997,7.88
